BONEID,MEASURE,MEASTYPE,SPECIES,ELEMENT,SIDE,COMMENTS,CONTEXT,PERIOD,CDATE,RANGE,PHASE,SITECODE,SITE,COUNTY,GRIDREF,REFERENCE
ABMAP8671,54.3,BFd,Horse,Astragalus,Unknown,CF PH 8-9,45,Post Medieval,M C16 - C17,1540 -- 1699,8,FAR,Farrier Street; Worcester,Hereford & Worcester,SO848551,Pinter-Bellows; S. (1994) Animal bones. 86-9.  In  C. H. Dalwood; V. A. Buteux and J. Darlington;  Excavations at Farrier Street and other sites north of the city wall; Worcester 1988-92.  Transactions of the Worcestershire Archaeological Society 14; 75-114.
ABMAP8671,61.7,GB,Horse,Astragalus,Unknown,CF PH 8-9,45,Post Medieval,M C16 - C17,1540 -- 1699,8,FAR,Farrier Street; Worcester,Hereford & Worcester,SO848551,Pinter-Bellows; S. (1994) Animal bones. 86-9.  In  C. H. Dalwood; V. A. Buteux and J. Darlington;  Excavations at Farrier Street and other sites north of the city wall; Worcester 1988-92.  Transactions of the Worcestershire Archaeological Society 14; 75-114.
ABMAP8671,55.8,GH,Horse,Astragalus,Unknown,CF PH 8-9,45,Post Medieval,M C16 - C17,1540 -- 1699,8,FAR,Farrier Street; Worcester,Hereford & Worcester,SO848551,Pinter-Bellows; S. (1994) Animal bones. 86-9.  In  C. H. Dalwood; V. A. Buteux and J. Darlington;  Excavations at Farrier Street and other sites north of the city wall; Worcester 1988-92.  Transactions of the Worcestershire Archaeological Society 14; 75-114.
ABMAP8672,77.2,Bd,Horse,Tibia,Unknown,CF PH 8-9,45,Post Medieval,M C16 - C17,1540 -- 1699,8,FAR,Farrier Street; Worcester,Hereford & Worcester,SO848551,Pinter-Bellows; S. (1994) Animal bones. 86-9.  In  C. H. Dalwood; V. A. Buteux and J. Darlington;  Excavations at Farrier Street and other sites north of the city wall; Worcester 1988-92.  Transactions of the Worcestershire Archaeological Society 14; 75-114.
ABMAP8672,46.1,Dd,Horse,Tibia,Unknown,CF PH 8-9,45,Post Medieval,M C16 - C17,1540 -- 1699,8,FAR,Farrier Street; Worcester,Hereford & Worcester,SO848551,Pinter-Bellows; S. (1994) Animal bones. 86-9.  In  C. H. Dalwood; V. A. Buteux and J. Darlington;  Excavations at Farrier Street and other sites north of the city wall; Worcester 1988-92.  Transactions of the Worcestershire Archaeological Society 14; 75-114.
ABMAP2024,48.3,Bd,Horse,Metacarpal,Right,,1076,Roman,,43 -- 410,16,HG,Henley's Garage; Winchester,Hampshire,,Smith; P. and Serjeantson; D. (forthcoming)  Medieval and Post-Medieval Animal Bone from the Northern and Eastern Suburbs and the City Defences.  In D. Serjeantson and H. Rees (Eds.); Food; Craft and Status in Medieval Winchester: the plant and animal remains from the suburbs and city defences.  Winchester; Winchester City Council.
ABMAP2024,48.5,Bp,Horse,Metacarpal,Right,,1076,Roman,,43 -- 410,16,HG,Henley's Garage; Winchester,Hampshire,,Smith; P. and Serjeantson; D. (forthcoming)  Medieval and Post-Medieval Animal Bone from the Northern and Eastern Suburbs and the City Defences.  In D. Serjeantson and H. Rees (Eds.); Food; Craft and Status in Medieval Winchester: the plant and animal remains from the suburbs and city defences.  Winchester; Winchester City Council.
ABMAP2024,32.3,Dp,Horse,Metacarpal,Right,,1076,Roman,,43 -- 410,16,HG,Henley's Garage; Winchester,Hampshire,,Smith; P. and Serjeantson; D. (forthcoming)  Medieval and Post-Medieval Animal Bone from the Northern and Eastern Suburbs and the City Defences.  In D. Serjeantson and H. Rees (Eds.); Food; Craft and Status in Medieval Winchester: the plant and animal remains from the suburbs and city defences.  Winchester; Winchester City Council.
ABMAP2024,220,Ll,Horse,Metacarpal,Right,,1076,Roman,,43 -- 410,16,HG,Henley's Garage; Winchester,Hampshire,,Smith; P. and Serjeantson; D. (forthcoming)  Medieval and Post-Medieval Animal Bone from the Northern and Eastern Suburbs and the City Defences.  In D. Serjeantson and H. Rees (Eds.); Food; Craft and Status in Medieval Winchester: the plant and animal remains from the suburbs and city defences.  Winchester; Winchester City Council.
ABMAP2024,31.5,SD,Horse,Metacarpal,Right,,1076,Roman,,43 -- 410,16,HG,Henley's Garage; Winchester,Hampshire,,Smith; P. and Serjeantson; D. (forthcoming)  Medieval and Post-Medieval Animal Bone from the Northern and Eastern Suburbs and the City Defences.  In D. Serjeantson and H. Rees (Eds.); Food; Craft and Status in Medieval Winchester: the plant and animal remains from the suburbs and city defences.  Winchester; Winchester City Council.
ABMAP2074,77.5,Bd,Horse,Radius,Right,,194,Roman,,43 -- 410,32,HG,Henley's Garage; Winchester,Hampshire,,Smith; P. and Serjeantson; D. (forthcoming)  Medieval and Post-Medieval Animal Bone from the Northern and Eastern Suburbs and the City Defences.  In D. Serjeantson and H. Rees (Eds.); Food; Craft and Status in Medieval Winchester: the plant and animal remains from the suburbs and city defences.  Winchester; Winchester City Council.
ABMAP2074,64.5,BFd,Horse,Radius,Right,,194,Roman,,43 -- 410,32,HG,Henley's Garage; Winchester,Hampshire,,Smith; P. and Serjeantson; D. (forthcoming)  Medieval and Post-Medieval Animal Bone from the Northern and Eastern Suburbs and the City Defences.  In D. Serjeantson and H. Rees (Eds.); Food; Craft and Status in Medieval Winchester: the plant and animal remains from the suburbs and city defences.  Winchester; Winchester City Council.
ABMAP2074,75.8,BFp,Horse,Radius,Right,,194,Roman,,43 -- 410,32,HG,Henley's Garage; Winchester,Hampshire,,Smith; P. and Serjeantson; D. (forthcoming)  Medieval and Post-Medieval Animal Bone from the Northern and Eastern Suburbs and the City Defences.  In D. Serjeantson and H. Rees (Eds.); Food; Craft and Status in Medieval Winchester: the plant and animal remains from the suburbs and city defences.  Winchester; Winchester City Council.
ABMAP2074,83.6,Bp,Horse,Radius,Right,,194,Roman,,43 -- 410,32,HG,Henley's Garage; Winchester,Hampshire,,Smith; P. and Serjeantson; D. (forthcoming)  Medieval and Post-Medieval Animal Bone from the Northern and Eastern Suburbs and the City Defences.  In D. Serjeantson and H. Rees (Eds.); Food; Craft and Status in Medieval Winchester: the plant and animal remains from the suburbs and city defences.  Winchester; Winchester City Council.
ABMAP2074,315,Ll,Horse,Radius,Right,,194,Roman,,43 -- 410,32,HG,Henley's Garage; Winchester,Hampshire,,Smith; P. and Serjeantson; D. (forthcoming)  Medieval and Post-Medieval Animal Bone from the Northern and Eastern Suburbs and the City Defences.  In D. Serjeantson and H. Rees (Eds.); Food; Craft and Status in Medieval Winchester: the plant and animal remains from the suburbs and city defences.  Winchester; Winchester City Council.
ABMAP2074,39.1,SD,Horse,Radius,Right,,194,Roman,,43 -- 410,32,HG,Henley's Garage; Winchester,Hampshire,,Smith; P. and Serjeantson; D. (forthcoming)  Medieval and Post-Medieval Animal Bone from the Northern and Eastern Suburbs and the City Defences.  In D. Serjeantson and H. Rees (Eds.); Food; Craft and Status in Medieval Winchester: the plant and animal remains from the suburbs and city defences.  Winchester; Winchester City Council.
ABMAP11862,46.6,GB,Horse,Calcaneum,Left,,1363,Roman,,43 -- 410,,HOO88,Hooper Street; ,London,,
ABMAP11862,111.5,GL,Horse,Calcaneum,Left,,1363,Roman,,43 -- 410,,HOO88,Hooper Street; ,London,,
ABMAP11849,47.1,SD,Horse,Femur,Right,,1735,Roman,,43 -- 410,,HOO88,Hooper Street; ,London,,
ABMAP11851,32.8,SD,Horse,First phalanx,Unknown,,1735,Roman,,43 -- 410,,HOO88,Hooper Street; ,London,,
ABMAP11933,68.4,Bd,Horse,Radius,Right,,454,Roman,,43 -- 410,,HOO88,Hooper Street; ,London,,
ABMAP11933,58.2,BFd,Horse,Radius,Right,,454,Roman,,43 -- 410,,HOO88,Hooper Street; ,London,,
ABMAP11935,40.3,Dd,Horse,Tibia,Left,,454,Roman,,43 -- 410,,HOO88,Hooper Street; ,London,,
ABMAP11880,75,Bd,Horse,Radius,Left,,503,Roman,,43 -- 410,,HOO88,Hooper Street; ,London,,
ABMAP11880,64.4,BFd,Horse,Radius,Left,,503,Roman,,43 -- 410,,HOO88,Hooper Street; ,London,,
ABMAP11880,80,Bp,Horse,Radius,Left,,503,Roman,,43 -- 410,,HOO88,Hooper Street; ,London,,
ABMAP11880,345,GL,Horse,Radius,Left,,503,Roman,,43 -- 410,,HOO88,Hooper Street; ,London,,
ABMAP11880,38.5,SD,Horse,Radius,Left,,503,Roman,,43 -- 410,,HOO88,Hooper Street; ,London,,
ABMAP11881,75,Bd,Horse,Radius,Left,,503,Roman,,43 -- 410,,HOO88,Hooper Street; ,London,,
ABMAP11881,64.4,BFd,Horse,Radius,Left,,503,Roman,,43 -- 410,,HOO88,Hooper Street; ,London,,
ABMAP11881,80,Bp,Horse,Radius,Left,,503,Roman,,43 -- 410,,HOO88,Hooper Street; ,London,,
ABMAP11881,345,GL,Horse,Radius,Left,,503,Roman,,43 -- 410,,HOO88,Hooper Street; ,London,,
ABMAP11881,38.5,SD,Horse,Radius,Left,,503,Roman,,43 -- 410,,HOO88,Hooper Street; ,London,,
ABMAP11924,48.3,Bd,Horse,Metacarpal,Unknown,,590,Roman,,43 -- 410,,HOO88,Hooper Street; ,London,,
ABMAP11924,36,Dd,Horse,Metacarpal,Unknown,,590,Roman,,43 -- 410,,HOO88,Hooper Street; ,London,,
ABMAP11924,23.2,TD,Horse,Metacarpal,Unknown,,590,Roman,,43 -- 410,,HOO88,Hooper Street; ,London,,
ABMAP11925,48.3,Bd,Horse,Metacarpal,Unknown,,590,Roman,,43 -- 410,,HOO88,Hooper Street; ,London,,
ABMAP11925,36,Dd,Horse,Metacarpal,Unknown,,590,Roman,,43 -- 410,,HOO88,Hooper Street; ,London,,
ABMAP11925,23.2,TD,Horse,Metacarpal,Unknown,,590,Roman,,43 -- 410,,HOO88,Hooper Street; ,London,,
ABMAP11926,52.3,BFd,Horse,Astragalus,Left,,590,Roman,,43 -- 410,,HOO88,Hooper Street; ,London,,
ABMAP11926,60,GB,Horse,Astragalus,Left,,590,Roman,,43 -- 410,,HOO88,Hooper Street; ,London,,
ABMAP11926,59.5,GH,Horse,Astragalus,Left,,590,Roman,,43 -- 410,,HOO88,Hooper Street; ,London,,
ABMAP11927,52.3,BFd,Horse,Astragalus,Left,,590,Roman,,43 -- 410,,HOO88,Hooper Street; ,London,,
ABMAP11927,60,GB,Horse,Astragalus,Left,,590,Roman,,43 -- 410,,HOO88,Hooper Street; ,London,,
ABMAP11927,59.5,GH,Horse,Astragalus,Left,,590,Roman,,43 -- 410,,HOO88,Hooper Street; ,London,,
ABMAP11928,68.8,Bd,Horse,Tibia,Right,,590,Roman,,43 -- 410,,HOO88,Hooper Street; ,London,,
ABMAP11928,95.5,Bp,Horse,Tibia,Right,,590,Roman,,43 -- 410,,HOO88,Hooper Street; ,London,,
ABMAP11928,45.5,Dd,Horse,Tibia,Right,,590,Roman,,43 -- 410,,HOO88,Hooper Street; ,London,,
ABMAP11928,346,GL,Horse,Tibia,Right,,590,Roman,,43 -- 410,,HOO88,Hooper Street; ,London,,
ABMAP11928,42.5,SD,Horse,Tibia,Right,,590,Roman,,43 -- 410,,HOO88,Hooper Street; ,London,,
ABMAP11929,68.8,Bd,Horse,Tibia,Right,,590,Roman,,43 -- 410,,HOO88,Hooper Street; ,London,,
ABMAP11929,95.5,Bp,Horse,Tibia,Right,,590,Roman,,43 -- 410,,HOO88,Hooper Street; ,London,,
ABMAP11929,45.5,Dd,Horse,Tibia,Right,,590,Roman,,43 -- 410,,HOO88,Hooper Street; ,London,,
ABMAP11929,346,GL,Horse,Tibia,Right,,590,Roman,,43 -- 410,,HOO88,Hooper Street; ,London,,
ABMAP11929,42.5,SD,Horse,Tibia,Right,,590,Roman,,43 -- 410,,HOO88,Hooper Street; ,London,,
ABMAP14549,87,GLP,Horse,Scapula,Right,,2,Post Medieval,C17,1600 -- 1650,,HSC94,3 - 11 High Street; Croydon,London,,
ABMAP14549,54.5,LG,Horse,Scapula,Right,,2,Post Medieval,C17,1600 -- 1650,,HSC94,3 - 11 High Street; Croydon,London,,
ABMAP16906,77.1,Bd,Horse,Humerus,Right,,7498,Early Medieval,,700 -- 899,,IAR,Abbots Worthy; Itchen Abbas Road,Hampshire,,Coy; J. P. (1991) The Environmental Evidence: the Animal Bones.  In P. J. Fasham and R. J. B. Whinney; Archaeology and the M3: the Watching Brief; the Anglo-Saxon settlement at Abbots Worthy and retrospective sections.  Hampshire Field Club and Archaeological Society: 60-67.
ABMAP16907,70.1,Bd,Horse,Tibia,Right,,7498,Early Medieval,,700 -- 899,,IAR,Abbots Worthy; Itchen Abbas Road,Hampshire,,Coy; J. P. (1991) The Environmental Evidence: the Animal Bones.  In P. J. Fasham and R. J. B. Whinney; Archaeology and the M3: the Watching Brief; the Anglo-Saxon settlement at Abbots Worthy and retrospective sections.  Hampshire Field Club and Archaeological Society: 60-67.
ABMAP16907,44.3,Dd,Horse,Tibia,Right,,7498,Early Medieval,,700 -- 899,,IAR,Abbots Worthy; Itchen Abbas Road,Hampshire,,Coy; J. P. (1991) The Environmental Evidence: the Animal Bones.  In P. J. Fasham and R. J. B. Whinney; Archaeology and the M3: the Watching Brief; the Anglo-Saxon settlement at Abbots Worthy and retrospective sections.  Hampshire Field Club and Archaeological Society: 60-67.
ABMAP16908,53,BFd,Horse,Astragalus,Right,,7681,Early Medieval,,700 -- 899,,IAR,Abbots Worthy; Itchen Abbas Road,Hampshire,,Coy; J. P. (1991) The Environmental Evidence: the Animal Bones.  In P. J. Fasham and R. J. B. Whinney; Archaeology and the M3: the Watching Brief; the Anglo-Saxon settlement at Abbots Worthy and retrospective sections.  Hampshire Field Club and Archaeological Society: 60-67.
ABMAP16908,63.7,GB,Horse,Astragalus,Right,,7681,Early Medieval,,700 -- 899,,IAR,Abbots Worthy; Itchen Abbas Road,Hampshire,,Coy; J. P. (1991) The Environmental Evidence: the Animal Bones.  In P. J. Fasham and R. J. B. Whinney; Archaeology and the M3: the Watching Brief; the Anglo-Saxon settlement at Abbots Worthy and retrospective sections.  Hampshire Field Club and Archaeological Society: 60-67.
