,BONEID,ELEMENT,MEASURE,MEASTYPE,PERIOD,RANGE
0,ABMAP8671,Astragalus,54.3,BFd,Medieval,1540 -- 1699
1,ABMAP8671,Astragalus,61.7,GB,Medieval,1540 -- 1699
2,ABMAP8671,Astragalus,55.8,GH,Medieval,1540 -- 1699
39,ABMAP11926,Astragalus,52.3,BFd,Roman - Saxon,43 -- 410
40,ABMAP11926,Astragalus,60.0,GB,Roman - Saxon,43 -- 410
41,ABMAP11926,Astragalus,59.5,GH,Roman - Saxon,43 -- 410
42,ABMAP11927,Astragalus,52.3,BFd,Roman - Saxon,43 -- 410
43,ABMAP11927,Astragalus,60.0,GB,Roman - Saxon,43 -- 410
44,ABMAP11927,Astragalus,59.5,GH,Roman - Saxon,43 -- 410
60,ABMAP16908,Astragalus,53.0,BFd,Roman - Saxon,700 -- 899
61,ABMAP16908,Astragalus,63.7,GB,Roman - Saxon,700 -- 899
62,ABMAP16908,Astragalus,59.2,GH,Roman - Saxon,700 -- 899
63,ABMAP16908,Astragalus,62.7,LmT,Roman - Saxon,700 -- 899
132,ABMAP3089,Astragalus,45.5,BFd,Roman - Saxon,800 -- 999
133,ABMAP3089,Astragalus,59.9,GB,Roman - Saxon,800 -- 999
152,ABMAP3119,Astragalus,60.9,GB,Roman - Saxon,43 -- 410
172,ABMAP75,Astragalus,63.6,GB,Roman - Saxon,840 -- 860
193,ABMAP74,Astragalus,65.0,GB,Roman - Saxon,840 -- 860
212,ABMAP73,Astragalus,59.0,GB,Roman - Saxon,775 -- 800
214,ABMAP17212,Astragalus,41.0,BFd,Roman - Saxon,100 -- 299
215,ABMAP17212,Astragalus,47.5,GB,Roman - Saxon,100 -- 299
216,ABMAP17212,Astragalus,46.1,GH,Roman - Saxon,100 -- 299
217,ABMAP17212,Astragalus,46.8,LmT,Roman - Saxon,100 -- 299
238,ABMAP17206,Astragalus,47.1,LmT,Bronze - Iron Age,-99 -- 99
282,ABMAP25552,Astragalus,53.6,LmT,Roman - Saxon,833 -- 932
283,ABMAP26514,Astragalus,53.6,LmT,Roman - Saxon,833 -- 932
287,ABMAP26001,Astragalus,62.4,GB,Roman - Saxon,700 -- 732
288,ABMAP26001,Astragalus,59.6,LmT,Roman - Saxon,700 -- 732
289,ABMAP26002,Astragalus,63.2,GB,Roman - Saxon,700 -- 732
290,ABMAP26002,Astragalus,59.7,LmT,Roman - Saxon,700 -- 732
356,ABMAP26123,Astragalus,58.9,GB,Roman - Saxon,733 -- 832
357,ABMAP26123,Astragalus,55.8,LmT,Roman - Saxon,733 -- 832
377,ABMAP26124,Astragalus,59.9,GB,Roman - Saxon,733 -- 832
378,ABMAP26124,Astragalus,57.2,GH,Roman - Saxon,733 -- 832
379,ABMAP26124,Astragalus,58.0,LmT,Roman - Saxon,733 -- 832
460,ABMAP25551,Astragalus,57.7,GB,Roman - Saxon,833 -- 932
461,ABMAP25551,Astragalus,55.2,GH,Roman - Saxon,833 -- 932
462,ABMAP25551,Astragalus,56.0,LmT,Roman - Saxon,833 -- 932
512,ABMAP26513,Astragalus,57.7,GB,Roman - Saxon,833 -- 932
513,ABMAP26513,Astragalus,55.2,GH,Roman - Saxon,833 -- 932
514,ABMAP26513,Astragalus,56.0,LmT,Roman - Saxon,833 -- 932
614,ABMAP2984,Astragalus,51.4,GB,Roman - Saxon,900 -- 999
615,ABMAP2984,Astragalus,53.9,GH,Roman - Saxon,900 -- 999
616,ABMAP2985,Astragalus,53.7,GB,Roman - Saxon,900 -- 999
617,ABMAP2985,Astragalus,52.8,GH,Roman - Saxon,900 -- 999
655,ABMAP2986,Astragalus,60.0,GB,Medieval,1200 -- 1399
656,ABMAP2986,Astragalus,42.4,GH,Medieval,1200 -- 1399
657,ABMAP2987,Astragalus,57.8,GB,Medieval,1200 -- 1399
658,ABMAP2987,Astragalus,50.6,GH,Medieval,1200 -- 1399
705,ABMAP16580,Astragalus,45.6,BFd,Medieval,1139 -- 1200
706,ABMAP16580,Astragalus,56.7,GB,Medieval,1139 -- 1200
707,ABMAP16580,Astragalus,54.4,GH,Medieval,1139 -- 1200
708,ABMAP16580,Astragalus,55.5,LmT,Medieval,1139 -- 1200
710,ABMAP16376,Astragalus,51.9,LmT,Roman - Saxon,600 -- 1099
715,ABMAP16375,Astragalus,56.0,LmT,Roman - Saxon,600 -- 1099
752,ABMAP20059,Astragalus,53.7,BFd,Medieval,1700 -- 1899
753,ABMAP20059,Astragalus,53.7,GB,Medieval,1700 -- 1899
754,ABMAP20059,Astragalus,61.2,LmT,Medieval,1700 -- 1899
772,ABMAP477,Astragalus,57.6,GB,Bronze - Iron Age,-100 -- -43
773,ABMAP477,Astragalus,56.5,LmT,Bronze - Iron Age,-100 -- -43
786,ABMAP481,Astragalus,50.6,GB,Bronze - Iron Age,-100 -- -43
902,ABMAP28908,Astragalus,50.6,BFd,Medieval,1100 -- 1250
903,ABMAP28908,Astragalus,55.9,GB,Medieval,1100 -- 1250
904,ABMAP28908,Astragalus,57.4,GH,Medieval,1100 -- 1250
905,ABMAP28908,Astragalus,56.1,LmT,Medieval,1100 -- 1250
911,ABMAP28622,Astragalus,41.6,BFd,Medieval,1300 -- 1450
912,ABMAP28622,Astragalus,48.5,GB,Medieval,1300 -- 1450
913,ABMAP28622,Astragalus,46.5,GH,Medieval,1300 -- 1450
914,ABMAP28622,Astragalus,46.6,LmT,Medieval,1300 -- 1450
923,ABMAP28553,Astragalus,49.4,BFd,Medieval,1450 -- 1800
924,ABMAP28553,Astragalus,58.8,GB,Medieval,1450 -- 1800
925,ABMAP28553,Astragalus,58.8,GH,Medieval,1450 -- 1800
926,ABMAP28553,Astragalus,58.4,LmT,Medieval,1450 -- 1800
936,ABMAP29028,Astragalus,46.3,BFd,Medieval,1250 -- 1400
937,ABMAP29028,Astragalus,56.0,GB,Medieval,1250 -- 1400
938,ABMAP29028,Astragalus,53.6,GH,Medieval,1250 -- 1400
939,ABMAP29028,Astragalus,55.9,LmT,Medieval,1250 -- 1400
940,ABMAP29029,Astragalus,51.5,BFd,Medieval,1300 -- 1450
941,ABMAP29029,Astragalus,58.9,GB,Medieval,1300 -- 1450
942,ABMAP29029,Astragalus,53.7,GH,Medieval,1300 -- 1450
943,ABMAP29029,Astragalus,55.6,LmT,Medieval,1300 -- 1450
948,ABMAP29039,Astragalus,49.7,BFd,Medieval,1250 -- 1400
949,ABMAP29039,Astragalus,57.9,GB,Medieval,1250 -- 1400
950,ABMAP29039,Astragalus,53.8,GH,Medieval,1250 -- 1400
951,ABMAP29039,Astragalus,54.8,LmT,Medieval,1250 -- 1400
953,ABMAP29059,Astragalus,44.5,BFd,Medieval,1250 -- 1400
954,ABMAP29059,Astragalus,50.1,GB,Medieval,1250 -- 1400
955,ABMAP29059,Astragalus,47.5,GH,Medieval,1250 -- 1400
956,ABMAP29059,Astragalus,48.7,LmT,Medieval,1250 -- 1400
957,ABMAP29061,Astragalus,50.0,BFd,Medieval,1250 -- 1400
981,ABMAP29446,Astragalus,48.1,BFd,Medieval,1100 -- 1250
982,ABMAP29446,Astragalus,61.0,GB,Medieval,1100 -- 1250
983,ABMAP29446,Astragalus,57.8,GH,Medieval,1100 -- 1250
984,ABMAP29446,Astragalus,59.2,LmT,Medieval,1100 -- 1250
1013,ABMAP29254,Astragalus,47.4,BFd,Medieval,1300 -- 1450
1014,ABMAP29254,Astragalus,56.5,GB,Medieval,1300 -- 1450
1015,ABMAP29254,Astragalus,55.4,GH,Medieval,1300 -- 1450
1016,ABMAP29254,Astragalus,57.1,LmT,Medieval,1300 -- 1450
1038,ABMAP29286,Astragalus,47.9,BFd,Medieval,1450 -- 1800
1039,ABMAP29286,Astragalus,55.3,GB,Medieval,1450 -- 1800
1040,ABMAP29286,Astragalus,51.0,GH,Medieval,1450 -- 1800
1041,ABMAP29286,Astragalus,54.5,LmT,Medieval,1450 -- 1800
1058,ABMAP29310,Astragalus,52.4,BFd,Medieval,1250 -- 1400
1059,ABMAP29310,Astragalus,59.0,GB,Medieval,1250 -- 1400
1060,ABMAP29310,Astragalus,57.5,GH,Medieval,1250 -- 1400
1061,ABMAP29310,Astragalus,57.3,LmT,Medieval,1250 -- 1400
1129,ABMAP29497,Astragalus,46.8,BFd,Medieval,1100 -- 1250
1131,ABMAP28751,Astragalus,53.0,BFd,Medieval,1250 -- 1400
1132,ABMAP28751,Astragalus,59.9,GB,Medieval,1250 -- 1400
1133,ABMAP28751,Astragalus,55.3,GH,Medieval,1250 -- 1400
1134,ABMAP28751,Astragalus,57.1,LmT,Medieval,1250 -- 1400
1187,ABMAP28656,Astragalus,51.0,BFd,Medieval,1450 -- 1800
1188,ABMAP28656,Astragalus,58.6,GB,Medieval,1450 -- 1800
1189,ABMAP28656,Astragalus,56.9,GH,Medieval,1450 -- 1800
1190,ABMAP28656,Astragalus,56.4,LmT,Medieval,1450 -- 1800
1240,ABMAP28959,Astragalus,47.5,BFd,Medieval,1100 -- 1250
1241,ABMAP28959,Astragalus,55.2,GB,Medieval,1100 -- 1250
1242,ABMAP28959,Astragalus,57.3,GH,Medieval,1100 -- 1250
1243,ABMAP28959,Astragalus,56.3,LmT,Medieval,1100 -- 1250
1259,ABMAP28829,Astragalus,48.3,BFd,Medieval,1300 -- 1450
1260,ABMAP28829,Astragalus,57.7,GB,Medieval,1300 -- 1450
1261,ABMAP28829,Astragalus,54.4,GH,Medieval,1300 -- 1450
1262,ABMAP28829,Astragalus,54.4,LmT,Medieval,1300 -- 1450
1268,ABMAP28996,Astragalus,45.8,BFd,Medieval,1100 -- 1250
1269,ABMAP28996,Astragalus,57.1,GB,Medieval,1100 -- 1250
1270,ABMAP28996,Astragalus,51.0,GH,Medieval,1100 -- 1250
1271,ABMAP28996,Astragalus,54.2,LmT,Medieval,1100 -- 1250
1278,ABMAP28784,Astragalus,44.5,BFd,Medieval,1250 -- 1400
1279,ABMAP28784,Astragalus,51.2,GB,Medieval,1250 -- 1400
1280,ABMAP28784,Astragalus,47.1,GH,Medieval,1250 -- 1400
1281,ABMAP28784,Astragalus,48.2,LmT,Medieval,1250 -- 1400
1297,ABMAP28858,Astragalus,45.2,BFd,Medieval,1100 -- 1250
