,BONEID,ELEMENT,MEASURE,MEASTYPE,PERIOD,RANGE
0,ABMAP8671,Astragalus,54.3,BFd,Medieval,1540 -- 1699
39,ABMAP11926,Astragalus,52.3,BFd,Roman - Saxon,43 -- 410
42,ABMAP11927,Astragalus,52.3,BFd,Roman - Saxon,43 -- 410
60,ABMAP16908,Astragalus,53.0,BFd,Roman - Saxon,700 -- 899
132,ABMAP3089,Astragalus,45.5,BFd,Roman - Saxon,800 -- 999
214,ABMAP17212,Astragalus,41.0,BFd,Roman - Saxon,100 -- 299
705,ABMAP16580,Astragalus,45.6,BFd,Medieval,1139 -- 1200
752,ABMAP20059,Astragalus,53.7,BFd,Medieval,1700 -- 1899
902,ABMAP28908,Astragalus,50.6,BFd,Medieval,1100 -- 1250
911,ABMAP28622,Astragalus,41.6,BFd,Medieval,1300 -- 1450
923,ABMAP28553,Astragalus,49.4,BFd,Medieval,1450 -- 1800
936,ABMAP29028,Astragalus,46.3,BFd,Medieval,1250 -- 1400
940,ABMAP29029,Astragalus,51.5,BFd,Medieval,1300 -- 1450
948,ABMAP29039,Astragalus,49.7,BFd,Medieval,1250 -- 1400
953,ABMAP29059,Astragalus,44.5,BFd,Medieval,1250 -- 1400
957,ABMAP29061,Astragalus,50.0,BFd,Medieval,1250 -- 1400
981,ABMAP29446,Astragalus,48.1,BFd,Medieval,1100 -- 1250
1013,ABMAP29254,Astragalus,47.4,BFd,Medieval,1300 -- 1450
1038,ABMAP29286,Astragalus,47.9,BFd,Medieval,1450 -- 1800
1058,ABMAP29310,Astragalus,52.4,BFd,Medieval,1250 -- 1400
1129,ABMAP29497,Astragalus,46.8,BFd,Medieval,1100 -- 1250
1131,ABMAP28751,Astragalus,53.0,BFd,Medieval,1250 -- 1400
1187,ABMAP28656,Astragalus,51.0,BFd,Medieval,1450 -- 1800
1240,ABMAP28959,Astragalus,47.5,BFd,Medieval,1100 -- 1250
1259,ABMAP28829,Astragalus,48.3,BFd,Medieval,1300 -- 1450
1268,ABMAP28996,Astragalus,45.8,BFd,Medieval,1100 -- 1250
1278,ABMAP28784,Astragalus,44.5,BFd,Medieval,1250 -- 1400
1297,ABMAP28858,Astragalus,45.2,BFd,Medieval,1100 -- 1250
1323,ABMAP28902,Astragalus,50.1,BFd,Medieval,1250 -- 1400
1378,ABMAP16631,Astragalus,44.5,BFd,Medieval,1367 -- 1499
1400,ABMAP16632,Astragalus,47.0,BFd,Medieval,1167 -- 1399
1440,ABMAP16633,Astragalus,47.6,BFd,Medieval,1033 -- 1199
1444,ABMAP16634,Astragalus,47.4,BFd,Medieval,1033 -- 1199
1629,ABMAP1863,Astragalus,52.0,BFd,Roman - Saxon,43 -- 410
1667,ABMAP1909,Astragalus,46.3,BFd,Roman - Saxon,43 -- 410
1828,ABMAP1391,Astragalus,47.9,BFd,Roman - Saxon,43 -- 410
1855,ABMAP1016,Astragalus,47.4,BFd,Roman - Saxon,43 -- 410
2023,J_GRIMM_08WA56530-278,Astragalus,48.8,BFd,Roman - Saxon,43 -- 200
2027,J_GRIMM_08WA56530-405,Astragalus,45.7,BFd,Roman - Saxon,200 -- 400
2047,J_GRIMM_08WA56530-1265,Astragalus,45.9,BFd,Roman - Saxon,300 -- 400
2188,J_GRIMM_08WA59480-2013,Astragalus,40.4,BFd,Bronze - Iron Age,100 -- 150
2315,J_GRIMM_08WA63220-1178,Astragalus,47.9,BFd,Roman - Saxon,850 -- 1066
2469,ABMAP1491,Astragalus,47.4,BFd,Roman - Saxon,43 -- 1066
2563,ABMAP15714,Astragalus,43.0,BFd,Bronze - Iron Age,-400 -- -100
2579,ABMAP15681,Astragalus,43.9,BFd,Bronze - Iron Age,-400 -- -100
2701,ABMAP15817,Astragalus,47.4,BFd,Roman - Saxon,43 -- 410
2711,ABMAP16077,Astragalus,47.4,BFd,Roman - Saxon,43 -- 410
2808,ABMAP432,Astragalus,43.3,BFd,Bronze - Iron Age,-50 -- 75
2858,ABMAP9254,Astragalus,45.0,BFd,Bronze - Iron Age,-99 -- 99
2868,ABMAP9253,Astragalus,45.75,BFd,Bronze - Iron Age,-99 -- 0
3024,ABMAP5550,Astragalus,51.0,BFd,Medieval,1540 -- 1901
