,BONEID,ELEMENT,MEASURE,MEASTYPE,PERIOD,RANGE
1,ABMAP8671,Astragalus,61.7,GB,Medieval,1540 -- 1699
40,ABMAP11926,Astragalus,60.0,GB,Roman - Saxon,43 -- 410
43,ABMAP11927,Astragalus,60.0,GB,Roman - Saxon,43 -- 410
61,ABMAP16908,Astragalus,63.7,GB,Roman - Saxon,700 -- 899
133,ABMAP3089,Astragalus,59.9,GB,Roman - Saxon,800 -- 999
152,ABMAP3119,Astragalus,60.9,GB,Roman - Saxon,43 -- 410
172,ABMAP75,Astragalus,63.6,GB,Roman - Saxon,840 -- 860
193,ABMAP74,Astragalus,65.0,GB,Roman - Saxon,840 -- 860
212,ABMAP73,Astragalus,59.0,GB,Roman - Saxon,775 -- 800
215,ABMAP17212,Astragalus,47.5,GB,Roman - Saxon,100 -- 299
287,ABMAP26001,Astragalus,62.4,GB,Roman - Saxon,700 -- 732
289,ABMAP26002,Astragalus,63.2,GB,Roman - Saxon,700 -- 732
356,ABMAP26123,Astragalus,58.9,GB,Roman - Saxon,733 -- 832
377,ABMAP26124,Astragalus,59.9,GB,Roman - Saxon,733 -- 832
460,ABMAP25551,Astragalus,57.7,GB,Roman - Saxon,833 -- 932
512,ABMAP26513,Astragalus,57.7,GB,Roman - Saxon,833 -- 932
614,ABMAP2984,Astragalus,51.4,GB,Roman - Saxon,900 -- 999
616,ABMAP2985,Astragalus,53.7,GB,Roman - Saxon,900 -- 999
655,ABMAP2986,Astragalus,60.0,GB,Medieval,1200 -- 1399
657,ABMAP2987,Astragalus,57.8,GB,Medieval,1200 -- 1399
706,ABMAP16580,Astragalus,56.7,GB,Medieval,1139 -- 1200
753,ABMAP20059,Astragalus,53.7,GB,Medieval,1700 -- 1899
772,ABMAP477,Astragalus,57.6,GB,Bronze - Iron Age,-100 -- -43
786,ABMAP481,Astragalus,50.6,GB,Bronze - Iron Age,-100 -- -43
903,ABMAP28908,Astragalus,55.9,GB,Medieval,1100 -- 1250
912,ABMAP28622,Astragalus,48.5,GB,Medieval,1300 -- 1450
924,ABMAP28553,Astragalus,58.8,GB,Medieval,1450 -- 1800
937,ABMAP29028,Astragalus,56.0,GB,Medieval,1250 -- 1400
941,ABMAP29029,Astragalus,58.9,GB,Medieval,1300 -- 1450
949,ABMAP29039,Astragalus,57.9,GB,Medieval,1250 -- 1400
954,ABMAP29059,Astragalus,50.1,GB,Medieval,1250 -- 1400
982,ABMAP29446,Astragalus,61.0,GB,Medieval,1100 -- 1250
1014,ABMAP29254,Astragalus,56.5,GB,Medieval,1300 -- 1450
1039,ABMAP29286,Astragalus,55.3,GB,Medieval,1450 -- 1800
1059,ABMAP29310,Astragalus,59.0,GB,Medieval,1250 -- 1400
1132,ABMAP28751,Astragalus,59.9,GB,Medieval,1250 -- 1400
1188,ABMAP28656,Astragalus,58.6,GB,Medieval,1450 -- 1800
1241,ABMAP28959,Astragalus,55.2,GB,Medieval,1100 -- 1250
1260,ABMAP28829,Astragalus,57.7,GB,Medieval,1300 -- 1450
1269,ABMAP28996,Astragalus,57.1,GB,Medieval,1100 -- 1250
1279,ABMAP28784,Astragalus,51.2,GB,Medieval,1250 -- 1400
1298,ABMAP28858,Astragalus,56.6,GB,Medieval,1100 -- 1250
1324,ABMAP28902,Astragalus,55.5,GB,Medieval,1250 -- 1400
1379,ABMAP16631,Astragalus,52.3,GB,Medieval,1367 -- 1499
1441,ABMAP16633,Astragalus,55.9,GB,Medieval,1033 -- 1199
1445,ABMAP16634,Astragalus,54.1,GB,Medieval,1033 -- 1199
1608,ABMAP3276,Astragalus,62.9,GB,Roman - Saxon,400 -- 1066
1788,ABMAP27285,Astragalus,63.2,GB,Roman - Saxon,800 -- 999
1829,ABMAP1391,Astragalus,60.2,GB,Roman - Saxon,43 -- 410
2024,J_GRIMM_08WA56530-278,Astragalus,53.8,GB,Roman - Saxon,43 -- 200
2028,J_GRIMM_08WA56530-405,Astragalus,52.0,GB,Roman - Saxon,200 -- 400
2048,J_GRIMM_08WA56530-1265,Astragalus,58.8,GB,Roman - Saxon,300 -- 400
2189,J_GRIMM_08WA59480-2013,Astragalus,53.0,GB,Bronze - Iron Age,100 -- 150
2316,J_GRIMM_08WA63220-1178,Astragalus,57.0,GB,Roman - Saxon,850 -- 1066
2470,ABMAP1491,Astragalus,59.0,GB,Roman - Saxon,43 -- 1066
2525,ABMAP16282,Astragalus,53.7,GB,Bronze - Iron Age,-400 -- -100
2564,ABMAP15714,Astragalus,52.4,GB,Bronze - Iron Age,-400 -- -100
2580,ABMAP15681,Astragalus,51.2,GB,Bronze - Iron Age,-400 -- -100
2681,ABMAP16119,Astragalus,56.5,GB,Bronze - Iron Age,-800 -- 43
2702,ABMAP15817,Astragalus,56.2,GB,Roman - Saxon,43 -- 410
2712,ABMAP16077,Astragalus,56.2,GB,Roman - Saxon,43 -- 410
2736,ABMAP16153,Astragalus,53.9,GB,Bronze - Iron Age,-400 -- -100
2859,ABMAP9254,Astragalus,55.0,GB,Bronze - Iron Age,-99 -- 99
2869,ABMAP9253,Astragalus,54.05,GB,Bronze - Iron Age,-99 -- 0
3025,ABMAP5550,Astragalus,66.2,GB,Medieval,1540 -- 1901
