,BONEID,ELEMENT,MEASURE,MEASTYPE,PERIOD,RANGE
2,ABMAP8671,Astragalus,55.8,GH,Medieval,1540 -- 1699
41,ABMAP11926,Astragalus,59.5,GH,Roman - Saxon,43 -- 410
44,ABMAP11927,Astragalus,59.5,GH,Roman - Saxon,43 -- 410
62,ABMAP16908,Astragalus,59.2,GH,Roman - Saxon,700 -- 899
216,ABMAP17212,Astragalus,46.1,GH,Roman - Saxon,100 -- 299
378,ABMAP26124,Astragalus,57.2,GH,Roman - Saxon,733 -- 832
461,ABMAP25551,Astragalus,55.2,GH,Roman - Saxon,833 -- 932
513,ABMAP26513,Astragalus,55.2,GH,Roman - Saxon,833 -- 932
615,ABMAP2984,Astragalus,53.9,GH,Roman - Saxon,900 -- 999
617,ABMAP2985,Astragalus,52.8,GH,Roman - Saxon,900 -- 999
656,ABMAP2986,Astragalus,42.4,GH,Medieval,1200 -- 1399
658,ABMAP2987,Astragalus,50.6,GH,Medieval,1200 -- 1399
707,ABMAP16580,Astragalus,54.4,GH,Medieval,1139 -- 1200
904,ABMAP28908,Astragalus,57.4,GH,Medieval,1100 -- 1250
913,ABMAP28622,Astragalus,46.5,GH,Medieval,1300 -- 1450
925,ABMAP28553,Astragalus,58.8,GH,Medieval,1450 -- 1800
938,ABMAP29028,Astragalus,53.6,GH,Medieval,1250 -- 1400
942,ABMAP29029,Astragalus,53.7,GH,Medieval,1300 -- 1450
950,ABMAP29039,Astragalus,53.8,GH,Medieval,1250 -- 1400
955,ABMAP29059,Astragalus,47.5,GH,Medieval,1250 -- 1400
983,ABMAP29446,Astragalus,57.8,GH,Medieval,1100 -- 1250
1015,ABMAP29254,Astragalus,55.4,GH,Medieval,1300 -- 1450
1040,ABMAP29286,Astragalus,51.0,GH,Medieval,1450 -- 1800
1060,ABMAP29310,Astragalus,57.5,GH,Medieval,1250 -- 1400
1133,ABMAP28751,Astragalus,55.3,GH,Medieval,1250 -- 1400
1189,ABMAP28656,Astragalus,56.9,GH,Medieval,1450 -- 1800
1242,ABMAP28959,Astragalus,57.3,GH,Medieval,1100 -- 1250
1261,ABMAP28829,Astragalus,54.4,GH,Medieval,1300 -- 1450
1270,ABMAP28996,Astragalus,51.0,GH,Medieval,1100 -- 1250
1280,ABMAP28784,Astragalus,47.1,GH,Medieval,1250 -- 1400
1299,ABMAP28858,Astragalus,54.1,GH,Medieval,1100 -- 1250
1325,ABMAP28902,Astragalus,51.4,GH,Medieval,1250 -- 1400
1380,ABMAP16631,Astragalus,49.5,GH,Medieval,1367 -- 1499
1442,ABMAP16633,Astragalus,52.7,GH,Medieval,1033 -- 1199
1446,ABMAP16634,Astragalus,53.5,GH,Medieval,1033 -- 1199
1524,ABMAP9506,Astragalus,57.6,GH,Roman - Saxon,367 -- 399
1525,ABMAP9507,Astragalus,57.5,GH,Roman - Saxon,367 -- 399
1630,ABMAP1863,Astragalus,57.1,GH,Roman - Saxon,43 -- 410
1668,ABMAP1909,Astragalus,49.6,GH,Roman - Saxon,43 -- 410
1789,ABMAP27285,Astragalus,58.0,GH,Roman - Saxon,800 -- 999
1830,ABMAP1391,Astragalus,56.1,GH,Roman - Saxon,43 -- 410
1857,ABMAP1016,Astragalus,52.4,GH,Roman - Saxon,43 -- 410
2025,J_GRIMM_08WA56530-278,Astragalus,51.0,GH,Roman - Saxon,43 -- 200
2029,J_GRIMM_08WA56530-405,Astragalus,53.0,GH,Roman - Saxon,200 -- 400
2049,J_GRIMM_08WA56530-1265,Astragalus,52.1,GH,Roman - Saxon,300 -- 400
2190,J_GRIMM_08WA59480-2013,Astragalus,49.0,GH,Bronze - Iron Age,100 -- 150
2317,J_GRIMM_08WA63220-1178,Astragalus,52.0,GH,Roman - Saxon,850 -- 1066
2500,ABMAP16094,Astragalus,50.9,GH,Bronze - Iron Age,-400 -- -100
2526,ABMAP16282,Astragalus,49.5,GH,Bronze - Iron Age,-400 -- -100
2565,ABMAP15714,Astragalus,44.4,GH,Bronze - Iron Age,-400 -- -100
2581,ABMAP15681,Astragalus,46.8,GH,Bronze - Iron Age,-400 -- -100
2682,ABMAP16119,Astragalus,51.3,GH,Bronze - Iron Age,-800 -- 43
2703,ABMAP15817,Astragalus,54.7,GH,Roman - Saxon,43 -- 410
2713,ABMAP16077,Astragalus,54.7,GH,Roman - Saxon,43 -- 410
2737,ABMAP16153,Astragalus,50.6,GH,Bronze - Iron Age,-400 -- -100
2763,ABMAP8663,Astragalus,63.0,GH,Roman - Saxon,43 -- 100
2809,ABMAP432,Astragalus,45.6,GH,Bronze - Iron Age,-50 -- 75
2860,ABMAP9254,Astragalus,54.25,GH,Bronze - Iron Age,-99 -- 99
2870,ABMAP9253,Astragalus,51.25,GH,Bronze - Iron Age,-99 -- 0
3026,ABMAP5550,Astragalus,56.2,GH,Medieval,1540 -- 1901
