,BONEID,ELEMENT,MEASURE,MEASTYPE,PERIOD,RANGE
63,ABMAP16908,Astragalus,62.7,LmT,Roman - Saxon,700 -- 899
217,ABMAP17212,Astragalus,46.8,LmT,Roman - Saxon,100 -- 299
238,ABMAP17206,Astragalus,47.1,LmT,Bronze - Iron Age,-99 -- 99
282,ABMAP25552,Astragalus,53.6,LmT,Roman - Saxon,833 -- 932
283,ABMAP26514,Astragalus,53.6,LmT,Roman - Saxon,833 -- 932
288,ABMAP26001,Astragalus,59.6,LmT,Roman - Saxon,700 -- 732
290,ABMAP26002,Astragalus,59.7,LmT,Roman - Saxon,700 -- 732
357,ABMAP26123,Astragalus,55.8,LmT,Roman - Saxon,733 -- 832
379,ABMAP26124,Astragalus,58.0,LmT,Roman - Saxon,733 -- 832
462,ABMAP25551,Astragalus,56.0,LmT,Roman - Saxon,833 -- 932
514,ABMAP26513,Astragalus,56.0,LmT,Roman - Saxon,833 -- 932
708,ABMAP16580,Astragalus,55.5,LmT,Medieval,1139 -- 1200
710,ABMAP16376,Astragalus,51.9,LmT,Roman - Saxon,600 -- 1099
715,ABMAP16375,Astragalus,56.0,LmT,Roman - Saxon,600 -- 1099
754,ABMAP20059,Astragalus,61.2,LmT,Medieval,1700 -- 1899
773,ABMAP477,Astragalus,56.5,LmT,Bronze - Iron Age,-100 -- -43
905,ABMAP28908,Astragalus,56.1,LmT,Medieval,1100 -- 1250
914,ABMAP28622,Astragalus,46.6,LmT,Medieval,1300 -- 1450
926,ABMAP28553,Astragalus,58.4,LmT,Medieval,1450 -- 1800
939,ABMAP29028,Astragalus,55.9,LmT,Medieval,1250 -- 1400
943,ABMAP29029,Astragalus,55.6,LmT,Medieval,1300 -- 1450
951,ABMAP29039,Astragalus,54.8,LmT,Medieval,1250 -- 1400
956,ABMAP29059,Astragalus,48.7,LmT,Medieval,1250 -- 1400
984,ABMAP29446,Astragalus,59.2,LmT,Medieval,1100 -- 1250
1016,ABMAP29254,Astragalus,57.1,LmT,Medieval,1300 -- 1450
1041,ABMAP29286,Astragalus,54.5,LmT,Medieval,1450 -- 1800
1061,ABMAP29310,Astragalus,57.3,LmT,Medieval,1250 -- 1400
1134,ABMAP28751,Astragalus,57.1,LmT,Medieval,1250 -- 1400
1190,ABMAP28656,Astragalus,56.4,LmT,Medieval,1450 -- 1800
1243,ABMAP28959,Astragalus,56.3,LmT,Medieval,1100 -- 1250
1262,ABMAP28829,Astragalus,54.4,LmT,Medieval,1300 -- 1450
1271,ABMAP28996,Astragalus,54.2,LmT,Medieval,1100 -- 1250
1281,ABMAP28784,Astragalus,48.2,LmT,Medieval,1250 -- 1400
1300,ABMAP28858,Astragalus,55.7,LmT,Medieval,1100 -- 1250
1326,ABMAP28902,Astragalus,51.3,LmT,Medieval,1250 -- 1400
1381,ABMAP16631,Astragalus,50.5,LmT,Medieval,1367 -- 1499
1401,ABMAP16632,Astragalus,55.3,LmT,Medieval,1167 -- 1399
1443,ABMAP16633,Astragalus,56.2,LmT,Medieval,1033 -- 1199
1447,ABMAP16634,Astragalus,56.2,LmT,Medieval,1033 -- 1199
1790,ABMAP27285,Astragalus,59.0,LmT,Roman - Saxon,800 -- 999
2026,J_GRIMM_08WA56530-278,Astragalus,53.0,LmT,Roman - Saxon,43 -- 200
2050,J_GRIMM_08WA56530-1265,Astragalus,53.8,LmT,Roman - Saxon,300 -- 400
2501,ABMAP16094,Astragalus,52.2,LmT,Bronze - Iron Age,-400 -- -100
2527,ABMAP16282,Astragalus,50.9,LmT,Bronze - Iron Age,-400 -- -100
2566,ABMAP15714,Astragalus,46.5,LmT,Bronze - Iron Age,-400 -- -100
2683,ABMAP16119,Astragalus,51.3,LmT,Bronze - Iron Age,-800 -- 43
2704,ABMAP15817,Astragalus,55.1,LmT,Roman - Saxon,43 -- 410
2714,ABMAP16077,Astragalus,55.1,LmT,Roman - Saxon,43 -- 410
2738,ABMAP16153,Astragalus,50.6,LmT,Bronze - Iron Age,-400 -- -100
2810,ABMAP432,Astragalus,47.6,LmT,Bronze - Iron Age,-50 -- 75
3027,ABMAP5550,Astragalus,61.5,LmT,Medieval,1540 -- 1901
