,BONEID,ELEMENT,MEASURE,MEASTYPE,PERIOD,RANGE
17,ABMAP11862,Calcaneum,111.5,GL,Roman - Saxon,43 -- 410
65,ABMAP1855,Calcaneum,103.2,GL,Roman - Saxon,43 -- 410
131,ABMAP3088,Calcaneum,109.4,GL,Roman - Saxon,800 -- 999
151,ABMAP3118,Calcaneum,106.2,GL,Roman - Saxon,43 -- 410
354,ABMAP26120,Calcaneum,102.4,GL,Roman - Saxon,733 -- 832
355,ABMAP26121,Calcaneum,101.3,GL,Roman - Saxon,733 -- 832
376,ABMAP26122,Calcaneum,109.4,GL,Roman - Saxon,733 -- 832
459,ABMAP25550,Calcaneum,104.3,GL,Roman - Saxon,833 -- 932
511,ABMAP26512,Calcaneum,104.3,GL,Roman - Saxon,833 -- 932
618,ABMAP2988,Calcaneum,101.7,GL,Roman - Saxon,900 -- 999
660,ABMAP2989,Calcaneum,105.0,GL,Medieval,1200 -- 1399
662,ABMAP2990,Calcaneum,104.5,GL,Medieval,1200 -- 1399
1343,ABMAP17501,Calcaneum,117.6,GL,Medieval,1600 -- 1799
1438,ABMAP16628,Calcaneum,101.2,GL,Medieval,1033 -- 1199
1439,ABMAP16629,Calcaneum,101.8,GL,Medieval,1033 -- 1199
1613,ABMAP3275,Calcaneum,107.0,GL,Roman - Saxon,400 -- 1066
1660,ABMAP2000,Calcaneum,98.6,GL,Roman - Saxon,43 -- 410
1690,ABMAP13140,Calcaneum,107.8,GL,Roman - Saxon,650 -- 850
1699,ABMAP28115,Calcaneum,107.2,GL,Roman - Saxon,800 -- 1066
1808,ABMAP26982,Calcaneum,95.2,GL,Roman - Saxon,900 -- 1099
2080,J_GRIMM_08WA58571-228,Calcaneum,92.0,GL,Roman - Saxon,43 -- 410
2345,J_GRIMM_08WA63220-5347,Calcaneum,98.0,GL,Roman - Saxon,850 -- 1066
