,BONEID,ELEMENT,MEASURE,MEASTYPE,PERIOD,RANGE
18,ABMAP11849,Femur,47.1,SD,Roman - Saxon,43 -- 410
66,ABMAP5452,Femur,32.0,SD,Bronze - Iron Age,-299 -- 42
97,ABMAP15415,Femur,52.5,DC,Roman - Saxon,100 -- 199
98,ABMAP15415,Femur,44.0,SD,Roman - Saxon,100 -- 199
125,ABMAP3087,Femur,85.8,Bd,Roman - Saxon,800 -- 999
126,ABMAP3087,Femur,113.9,Bp,Roman - Saxon,800 -- 999
127,ABMAP3087,Femur,52.4,DC,Roman - Saxon,800 -- 999
128,ABMAP3087,Femur,355.0,GLC,Roman - Saxon,800 -- 999
129,ABMAP3087,Femur,39.2,SD,Roman - Saxon,800 -- 999
313,ABMAP25997,Femur,55.2,DC,Roman - Saxon,700 -- 732
314,ABMAP25997,Femur,353.0,GLC,Roman - Saxon,700 -- 732
315,ABMAP25997,Femur,41.5,SD,Roman - Saxon,700 -- 732
344,ABMAP26116,Femur,109.5,Bd,Roman - Saxon,733 -- 832
371,ABMAP26115,Femur,56.7,DC,Roman - Saxon,733 -- 832
446,ABMAP25546,Femur,118.4,Bp,Roman - Saxon,833 -- 932
447,ABMAP25546,Femur,54.6,DC,Roman - Saxon,833 -- 932
448,ABMAP25547,Femur,91.0,Bd,Roman - Saxon,833 -- 932
449,ABMAP25547,Femur,375.5,GL,Roman - Saxon,833 -- 932
450,ABMAP25547,Femur,352.0,GLC,Roman - Saxon,833 -- 932
451,ABMAP25547,Femur,42.2,SD,Roman - Saxon,833 -- 932
498,ABMAP26508,Femur,91.0,Bd,Roman - Saxon,833 -- 932
499,ABMAP26508,Femur,375.5,GL,Roman - Saxon,833 -- 932
500,ABMAP26508,Femur,352.0,GLC,Roman - Saxon,833 -- 932
501,ABMAP26508,Femur,42.2,SD,Roman - Saxon,833 -- 932
502,ABMAP26509,Femur,118.4,Bp,Roman - Saxon,833 -- 932
503,ABMAP26509,Femur,54.6,DC,Roman - Saxon,833 -- 932
594,ABMAP2973,Femur,105.0,Bd,Roman - Saxon,900 -- 999
595,ABMAP2973,Femur,38.8,SD,Roman - Saxon,900 -- 999
633,ABMAP2974,Femur,309.0,GL,Medieval,1200 -- 1399
634,ABMAP2974,Femur,39.9,SD,Medieval,1200 -- 1399
635,ABMAP2975,Femur,50.7,DC,Medieval,1200 -- 1399
636,ABMAP2975,Femur,311.0,GL,Medieval,1200 -- 1399
637,ABMAP2975,Femur,38.1,SD,Medieval,1200 -- 1399
699,ABMAP16577,Femur,95.0,Bd,Medieval,1139 -- 1200
700,ABMAP16578,Femur,115.0,Bd,Medieval,1139 -- 1200
722,ABMAP20055,Femur,144.0,Bp,Medieval,1700 -- 1799
723,ABMAP20055,Femur,65.8,DC,Medieval,1700 -- 1799
724,ABMAP20055,Femur,435.0,GL,Medieval,1700 -- 1799
725,ABMAP20055,Femur,390.0,GLC,Medieval,1700 -- 1799
726,ABMAP20055,Femur,54.9,SD,Medieval,1700 -- 1799
838,ABMAP577,Femur,99.7,Bp,Bronze - Iron Age,-100 -- -43
839,ABMAP577,Femur,49.8,DC,Bronze - Iron Age,-100 -- -43
893,ABMAP549,Femur,77.6,Bd,Bronze - Iron Age,-100 -- -43
894,ABMAP549,Femur,97.0,Bp,Bronze - Iron Age,-100 -- -43
895,ABMAP549,Femur,44.5,DC,Bronze - Iron Age,-100 -- -43
896,ABMAP549,Femur,324.0,GL,Bronze - Iron Age,-100 -- -43
897,ABMAP549,Femur,35.3,SD,Bronze - Iron Age,-100 -- -43
1347,ABMAP17512,Femur,108.4,Bd,Medieval,1600 -- 1799
1348,ABMAP17512,Femur,134.3,Bp,Medieval,1600 -- 1799
1349,ABMAP17512,Femur,67.9,DC,Medieval,1600 -- 1799
1350,ABMAP17512,Femur,450.0,GL,Medieval,1600 -- 1799
1351,ABMAP17512,Femur,408.0,GLC,Medieval,1600 -- 1799
1352,ABMAP17512,Femur,49.7,SD,Medieval,1600 -- 1799
1364,ABMAP17677,Femur,53.2,SD,Medieval,1600 -- 1799
1366,ABMAP18343,Femur,52.6,DC,Medieval,1600 -- 1799
1370,ABMAP17728,Femur,149.7,Bp,Medieval,1600 -- 1799
1371,ABMAP17728,Femur,73.0,DC,Medieval,1600 -- 1799
1418,ABMAP16621,Femur,84.1,Bd,Medieval,1033 -- 1199
1420,ABMAP16622,Femur,83.5,Bd,Medieval,1033 -- 1199
1421,ABMAP16622,Femur,101.7,Bp,Medieval,1033 -- 1199
1422,ABMAP16622,Femur,52.4,DC,Medieval,1033 -- 1199
1423,ABMAP16622,Femur,348.0,GL,Medieval,1033 -- 1199
1424,ABMAP16622,Femur,326.0,GLC,Medieval,1033 -- 1199
1425,ABMAP16622,Femur,39.3,SD,Medieval,1033 -- 1199
1492,ABMAP16620,Femur,53.6,DC,Medieval,1033 -- 1499
1706,ABMAP28023,Femur,85.9,Bd,Roman - Saxon,800 -- 1066
1872,ABMAP1025,Femur,54.5,DC,Roman - Saxon,43 -- 410
1937,ABMAP1271,Femur,80.3,Bd,Roman - Saxon,43 -- 410
1940,ABMAP1276,Femur,113.3,Bp,Roman - Saxon,43 -- 410
1945,ABMAP618,Femur,94.0,Bd,Roman - Saxon,43 -- 410
1946,ABMAP618,Femur,111.0,Bp,Roman - Saxon,43 -- 410
1947,ABMAP618,Femur,55.7,DC,Roman - Saxon,43 -- 410
1948,ABMAP618,Femur,400.0,GL,Roman - Saxon,43 -- 410
1949,ABMAP618,Femur,362.0,GLC,Roman - Saxon,43 -- 410
1950,ABMAP618,Femur,40.1,SD,Roman - Saxon,43 -- 410
1975,ABMAP8848,Femur,98.0,Bd,Medieval,1066 -- 1540
1976,ABMAP8848,Femur,46.0,SD,Medieval,1066 -- 1540
1992,ABMAP8940,Femur,83.5,Bd,Bronze - Iron Age,-299 -- -100
1993,ABMAP8940,Femur,330.0,GL,Bronze - Iron Age,-299 -- -100
1994,ABMAP8940,Femur,33.0,SD,Bronze - Iron Age,-299 -- -100
2030,J_GRIMM_08WA56530-472,Femur,77.3,Bd,Roman - Saxon,300 -- 400
2066,J_GRIMM_08WA58571-826,Femur,36.4,SD,Bronze - Iron Age,100 -- 150
2124,J_GRIMM_08WA58720-27,Femur,120.0,CD,Medieval,1075 -- 1125
2125,J_GRIMM_08WA58720-27,Femur,32.9,SD,Medieval,1075 -- 1125
2129,J_GRIMM_08WA58720-25,Femur,142.0,CD,Medieval,1300 -- 1400
2130,J_GRIMM_08WA58720-25,Femur,38.1,SD,Medieval,1300 -- 1400
2133,J_GRIMM_08WA58720-26,Femur,137.0,CD,Roman - Saxon,43 -- 410
2134,J_GRIMM_08WA58720-26,Femur,40.0,SD,Roman - Saxon,43 -- 410
2254,J_GRIMM_08WA60010-163,Femur,46.5,DC,Roman - Saxon,250 -- 410
2442,ABMAP14066,Femur,55.5,DC,Medieval,1300 -- 1499
2443,ABMAP14067,Femur,62.7,DC,Medieval,1300 -- 1499
2552,ABMAP15712,Femur,74.4,Bd,Bronze - Iron Age,-400 -- -100
2553,ABMAP15712,Femur,44.3,DC,Bronze - Iron Age,-400 -- -100
2554,ABMAP15712,Femur,307.8,GL,Bronze - Iron Age,-400 -- -100
2555,ABMAP15712,Femur,278.3,GLC,Bronze - Iron Age,-400 -- -100
2556,ABMAP15712,Femur,31.9,SD,Bronze - Iron Age,-400 -- -100
2590,ABMAP15579,Femur,77.1,Bd,Bronze - Iron Age,-400 -- -100
2602,ABMAP16283,Femur,51.6,DC,Bronze - Iron Age,-400 -- -100
2650,ABMAP15788,Femur,46.5,DC,Bronze - Iron Age,-400 -- -100
2651,ABMAP15789,Femur,96.0,Bp,Bronze - Iron Age,-400 -- -100
2652,ABMAP15789,Femur,46.4,DC,Bronze - Iron Age,-400 -- -100
2653,ABMAP15790,Femur,83.1,Bd,Bronze - Iron Age,-400 -- -100
2700,ABMAP15622,Femur,81.0,Bd,Bronze - Iron Age,-400 -- -100
2728,ABMAP15689,Femur,78.5,Bd,Roman - Saxon,43 -- 410
2844,ABMAP9248,Femur,72.0,Bd,Bronze - Iron Age,0 -- 99
2845,ABMAP9248,Femur,326.0,GL,Bronze - Iron Age,0 -- 99
2846,ABMAP9248,Femur,235.0,GLC,Bronze - Iron Age,0 -- 99
3038,ABMAP10844,Femur,35.5,SD,Roman - Saxon,43 -- 410
