,BONEID,ELEMENT,MEASURE,MEASTYPE,PERIOD,RANGE
97,ABMAP15415,Femur,52.5,DC,Roman - Saxon,100 -- 199
127,ABMAP3087,Femur,52.4,DC,Roman - Saxon,800 -- 999
313,ABMAP25997,Femur,55.2,DC,Roman - Saxon,700 -- 732
371,ABMAP26115,Femur,56.7,DC,Roman - Saxon,733 -- 832
447,ABMAP25546,Femur,54.6,DC,Roman - Saxon,833 -- 932
503,ABMAP26509,Femur,54.6,DC,Roman - Saxon,833 -- 932
635,ABMAP2975,Femur,50.7,DC,Medieval,1200 -- 1399
723,ABMAP20055,Femur,65.8,DC,Medieval,1700 -- 1799
839,ABMAP577,Femur,49.8,DC,Bronze - Iron Age,-100 -- -43
895,ABMAP549,Femur,44.5,DC,Bronze - Iron Age,-100 -- -43
1349,ABMAP17512,Femur,67.9,DC,Medieval,1600 -- 1799
1366,ABMAP18343,Femur,52.6,DC,Medieval,1600 -- 1799
1371,ABMAP17728,Femur,73.0,DC,Medieval,1600 -- 1799
1422,ABMAP16622,Femur,52.4,DC,Medieval,1033 -- 1199
1492,ABMAP16620,Femur,53.6,DC,Medieval,1033 -- 1499
1872,ABMAP1025,Femur,54.5,DC,Roman - Saxon,43 -- 410
1947,ABMAP618,Femur,55.7,DC,Roman - Saxon,43 -- 410
2254,J_GRIMM_08WA60010-163,Femur,46.5,DC,Roman - Saxon,250 -- 410
2442,ABMAP14066,Femur,55.5,DC,Medieval,1300 -- 1499
2443,ABMAP14067,Femur,62.7,DC,Medieval,1300 -- 1499
2553,ABMAP15712,Femur,44.3,DC,Bronze - Iron Age,-400 -- -100
2602,ABMAP16283,Femur,51.6,DC,Bronze - Iron Age,-400 -- -100
2650,ABMAP15788,Femur,46.5,DC,Bronze - Iron Age,-400 -- -100
2652,ABMAP15789,Femur,46.4,DC,Bronze - Iron Age,-400 -- -100
