,BONEID,ELEMENT,MEASURE,MEASTYPE,PERIOD,RANGE
449,ABMAP25547,Femur,375.5,GL,Roman - Saxon,833 -- 932
499,ABMAP26508,Femur,375.5,GL,Roman - Saxon,833 -- 932
633,ABMAP2974,Femur,309.0,GL,Medieval,1200 -- 1399
636,ABMAP2975,Femur,311.0,GL,Medieval,1200 -- 1399
724,ABMAP20055,Femur,435.0,GL,Medieval,1700 -- 1799
896,ABMAP549,Femur,324.0,GL,Bronze - Iron Age,-100 -- -43
1350,ABMAP17512,Femur,450.0,GL,Medieval,1600 -- 1799
1423,ABMAP16622,Femur,348.0,GL,Medieval,1033 -- 1199
1948,ABMAP618,Femur,400.0,GL,Roman - Saxon,43 -- 410
1993,ABMAP8940,Femur,330.0,GL,Bronze - Iron Age,-299 -- -100
2554,ABMAP15712,Femur,307.8,GL,Bronze - Iron Age,-400 -- -100
2845,ABMAP9248,Femur,326.0,GL,Bronze - Iron Age,0 -- 99
