,BONEID,ELEMENT,MEASURE,MEASTYPE,PERIOD,RANGE
128,ABMAP3087,Femur,355.0,GLC,Roman - Saxon,800 -- 999
314,ABMAP25997,Femur,353.0,GLC,Roman - Saxon,700 -- 732
450,ABMAP25547,Femur,352.0,GLC,Roman - Saxon,833 -- 932
500,ABMAP26508,Femur,352.0,GLC,Roman - Saxon,833 -- 932
725,ABMAP20055,Femur,390.0,GLC,Medieval,1700 -- 1799
1351,ABMAP17512,Femur,408.0,GLC,Medieval,1600 -- 1799
1424,ABMAP16622,Femur,326.0,GLC,Medieval,1033 -- 1199
1949,ABMAP618,Femur,362.0,GLC,Roman - Saxon,43 -- 410
2555,ABMAP15712,Femur,278.3,GLC,Bronze - Iron Age,-400 -- -100
2846,ABMAP9248,Femur,235.0,GLC,Bronze - Iron Age,0 -- 99
