,BONEID,ELEMENT,MEASURE,MEASTYPE,PERIOD,RANGE
19,ABMAP11851,First phalanx,32.8,SD,Roman - Saxon,43 -- 410
64,ABMAP16909,First phalanx,74.4,GL,Roman - Saxon,700 -- 899
81,ABMAP15378,First phalanx,49.7,Bd,Roman - Saxon,43 -- 410
82,ABMAP15378,First phalanx,44.0,BFd,Roman - Saxon,43 -- 410
83,ABMAP15378,First phalanx,51.0,BFp,Roman - Saxon,43 -- 410
84,ABMAP15378,First phalanx,57.4,Bp,Roman - Saxon,43 -- 410
85,ABMAP15378,First phalanx,38.0,Dp,Roman - Saxon,43 -- 410
86,ABMAP15378,First phalanx,86.5,GL,Roman - Saxon,43 -- 410
87,ABMAP15378,First phalanx,38.5,SD,Roman - Saxon,43 -- 410
91,ABMAP15393,First phalanx,46.6,Bd,Roman - Saxon,43 -- 410
92,ABMAP15393,First phalanx,45.2,BFd,Roman - Saxon,43 -- 410
93,ABMAP15393,First phalanx,53.5,Bp,Roman - Saxon,43 -- 410
94,ABMAP15393,First phalanx,37.0,Dp,Roman - Saxon,43 -- 410
95,ABMAP15393,First phalanx,92.0,GL,Roman - Saxon,43 -- 410
96,ABMAP15393,First phalanx,33.3,SD,Roman - Saxon,43 -- 410
115,ABMAP3077,First phalanx,44.1,Bd,Roman - Saxon,800 -- 999
116,ABMAP3077,First phalanx,40.7,BFd,Roman - Saxon,800 -- 999
117,ABMAP3077,First phalanx,45.0,BFp,Roman - Saxon,800 -- 999
118,ABMAP3077,First phalanx,32.6,SD,Roman - Saxon,800 -- 999
221,ABMAP17357,First phalanx,36.5,Bd,Bronze - Iron Age,-99 -- 99
222,ABMAP17357,First phalanx,35.0,BFd,Bronze - Iron Age,-99 -- 99
223,ABMAP17357,First phalanx,64.2,GL,Bronze - Iron Age,-99 -- 99
224,ABMAP17357,First phalanx,25.8,SD,Bronze - Iron Age,-99 -- 99
239,ABMAP17372,First phalanx,44.9,Bd,Roman - Saxon,43 -- 410
240,ABMAP17372,First phalanx,50.4,Bp,Roman - Saxon,43 -- 410
241,ABMAP17372,First phalanx,30.1,Dp,Roman - Saxon,43 -- 410
242,ABMAP17372,First phalanx,76.7,GL,Roman - Saxon,43 -- 410
243,ABMAP17372,First phalanx,35.3,SD,Roman - Saxon,43 -- 410
257,ABMAP17348,First phalanx,51.0,Bd,Bronze - Iron Age,-800 -- -100
258,ABMAP17348,First phalanx,44.7,BFd,Bronze - Iron Age,-800 -- -100
259,ABMAP17348,First phalanx,52.8,BFp,Bronze - Iron Age,-800 -- -100
260,ABMAP17348,First phalanx,55.9,Bp,Bronze - Iron Age,-800 -- -100
261,ABMAP17348,First phalanx,35.8,Dp,Bronze - Iron Age,-800 -- -100
262,ABMAP17348,First phalanx,86.1,GL,Bronze - Iron Age,-800 -- -100
263,ABMAP17348,First phalanx,38.1,SD,Bronze - Iron Age,-800 -- -100
299,ABMAP26111,First phalanx,46.3,Bd,Roman - Saxon,733 -- 832
300,ABMAP26111,First phalanx,41.1,BFd,Roman - Saxon,733 -- 832
301,ABMAP26111,First phalanx,48.4,BFp,Roman - Saxon,733 -- 832
302,ABMAP26111,First phalanx,52.9,Bp,Roman - Saxon,733 -- 832
303,ABMAP26111,First phalanx,33.7,Dp,Roman - Saxon,733 -- 832
304,ABMAP26111,First phalanx,81.6,GL,Roman - Saxon,733 -- 832
305,ABMAP26111,First phalanx,34.0,SD,Roman - Saxon,733 -- 832
316,ABMAP25993,First phalanx,42.4,Bd,Roman - Saxon,700 -- 732
317,ABMAP25993,First phalanx,39.3,BFd,Roman - Saxon,700 -- 732
318,ABMAP25993,First phalanx,44.8,BFp,Roman - Saxon,700 -- 732
319,ABMAP25993,First phalanx,50.6,Bp,Roman - Saxon,700 -- 732
320,ABMAP25993,First phalanx,31.5,Dp,Roman - Saxon,700 -- 732
321,ABMAP25993,First phalanx,77.2,GL,Roman - Saxon,700 -- 732
322,ABMAP25993,First phalanx,33.9,SD,Roman - Saxon,700 -- 732
337,ABMAP25994,First phalanx,47.0,Bd,Roman - Saxon,700 -- 732
338,ABMAP25994,First phalanx,42.1,BFd,Roman - Saxon,700 -- 732
339,ABMAP25994,First phalanx,51.5,BFp,Roman - Saxon,700 -- 732
340,ABMAP25994,First phalanx,55.1,Bp,Roman - Saxon,700 -- 732
341,ABMAP25994,First phalanx,38.2,Dp,Roman - Saxon,700 -- 732
342,ABMAP25994,First phalanx,86.2,GL,Roman - Saxon,700 -- 732
343,ABMAP25994,First phalanx,32.6,SD,Roman - Saxon,700 -- 732
364,ABMAP26108,First phalanx,43.7,Bd,Roman - Saxon,733 -- 832
365,ABMAP26108,First phalanx,40.0,BFd,Roman - Saxon,733 -- 832
366,ABMAP26108,First phalanx,46.8,BFp,Roman - Saxon,733 -- 832
367,ABMAP26108,First phalanx,55.0,Bp,Roman - Saxon,733 -- 832
368,ABMAP26108,First phalanx,35.9,Dp,Roman - Saxon,733 -- 832
369,ABMAP26108,First phalanx,79.3,GL,Roman - Saxon,733 -- 832
370,ABMAP26108,First phalanx,32.5,SD,Roman - Saxon,733 -- 832
385,ABMAP26113,First phalanx,45.7,Bd,Roman - Saxon,733 -- 832
386,ABMAP26113,First phalanx,55.2,Bp,Roman - Saxon,733 -- 832
387,ABMAP26113,First phalanx,77.2,GL,Roman - Saxon,733 -- 832
388,ABMAP26113,First phalanx,34.8,SD,Roman - Saxon,733 -- 832
420,ABMAP26505,First phalanx,43.0,Bd,Roman - Saxon,833 -- 932
421,ABMAP26505,First phalanx,41.1,BFd,Roman - Saxon,833 -- 932
422,ABMAP26505,First phalanx,47.4,BFp,Roman - Saxon,833 -- 932
423,ABMAP26505,First phalanx,52.3,Bp,Roman - Saxon,833 -- 932
424,ABMAP26505,First phalanx,32.9,Dp,Roman - Saxon,833 -- 932
425,ABMAP26505,First phalanx,80.9,GL,Roman - Saxon,833 -- 932
426,ABMAP26505,First phalanx,33.2,SD,Roman - Saxon,833 -- 932
434,ABMAP25544,First phalanx,46.4,Bd,Roman - Saxon,833 -- 932
435,ABMAP25544,First phalanx,43.3,BFd,Roman - Saxon,833 -- 932
436,ABMAP25544,First phalanx,49.9,BFp,Roman - Saxon,833 -- 932
437,ABMAP25544,First phalanx,79.8,GL,Roman - Saxon,833 -- 932
438,ABMAP25544,First phalanx,35.6,SD,Roman - Saxon,833 -- 932
439,ABMAP25545,First phalanx,47.1,Bd,Roman - Saxon,833 -- 932
440,ABMAP25545,First phalanx,37.7,BFd,Roman - Saxon,833 -- 932
441,ABMAP25545,First phalanx,48.8,BFp,Roman - Saxon,833 -- 932
442,ABMAP25545,First phalanx,51.8,Bp,Roman - Saxon,833 -- 932
443,ABMAP25545,First phalanx,35.1,Dp,Roman - Saxon,833 -- 932
444,ABMAP25545,First phalanx,77.8,GL,Roman - Saxon,833 -- 932
445,ABMAP25545,First phalanx,32.2,SD,Roman - Saxon,833 -- 932
486,ABMAP26506,First phalanx,47.1,Bd,Roman - Saxon,833 -- 932
487,ABMAP26506,First phalanx,37.7,BFd,Roman - Saxon,833 -- 932
488,ABMAP26506,First phalanx,48.8,BFp,Roman - Saxon,833 -- 932
489,ABMAP26506,First phalanx,51.8,Bp,Roman - Saxon,833 -- 932
490,ABMAP26506,First phalanx,35.1,Dp,Roman - Saxon,833 -- 932
491,ABMAP26506,First phalanx,77.8,GL,Roman - Saxon,833 -- 932
492,ABMAP26506,First phalanx,32.2,SD,Roman - Saxon,833 -- 932
493,ABMAP26507,First phalanx,46.4,Bd,Roman - Saxon,833 -- 932
494,ABMAP26507,First phalanx,43.3,BFd,Roman - Saxon,833 -- 932
495,ABMAP26507,First phalanx,49.9,BFp,Roman - Saxon,833 -- 932
496,ABMAP26507,First phalanx,79.8,GL,Roman - Saxon,833 -- 932
497,ABMAP26507,First phalanx,35.6,SD,Roman - Saxon,833 -- 932
529,ABMAP26109,First phalanx,45.9,Bd,Roman - Saxon,733 -- 832
530,ABMAP26109,First phalanx,42.8,BFd,Roman - Saxon,733 -- 832
531,ABMAP26109,First phalanx,51.7,BFp,Roman - Saxon,733 -- 832
532,ABMAP26109,First phalanx,56.8,Bp,Roman - Saxon,733 -- 832
533,ABMAP26109,First phalanx,80.1,GL,Roman - Saxon,733 -- 832
534,ABMAP26109,First phalanx,36.7,SD,Roman - Saxon,733 -- 832
539,ABMAP26110,First phalanx,46.7,Bd,Roman - Saxon,733 -- 832
540,ABMAP26110,First phalanx,41.8,BFd,Roman - Saxon,733 -- 832
541,ABMAP26110,First phalanx,53.4,Bp,Roman - Saxon,733 -- 832
542,ABMAP26110,First phalanx,80.6,GL,Roman - Saxon,733 -- 832
543,ABMAP26110,First phalanx,35.3,SD,Roman - Saxon,733 -- 832
544,ABMAP26112,First phalanx,45.7,Bd,Roman - Saxon,733 -- 832
545,ABMAP26112,First phalanx,42.7,BFd,Roman - Saxon,733 -- 832
546,ABMAP26112,First phalanx,54.1,Bp,Roman - Saxon,733 -- 832
547,ABMAP26112,First phalanx,78.6,GL,Roman - Saxon,733 -- 832
548,ABMAP26112,First phalanx,35.0,SD,Roman - Saxon,733 -- 832
552,ABMAP25992,First phalanx,42.9,Bd,Roman - Saxon,700 -- 732
553,ABMAP25992,First phalanx,36.8,BFd,Roman - Saxon,700 -- 732
554,ABMAP25992,First phalanx,44.2,BFp,Roman - Saxon,700 -- 732
555,ABMAP25992,First phalanx,50.8,Bp,Roman - Saxon,700 -- 732
556,ABMAP25992,First phalanx,33.7,Dp,Roman - Saxon,700 -- 732
557,ABMAP25992,First phalanx,69.0,GL,Roman - Saxon,700 -- 732
558,ABMAP25992,First phalanx,32.0,SD,Roman - Saxon,700 -- 732
619,ABMAP2991,First phalanx,50.1,Bp,Roman - Saxon,900 -- 999
620,ABMAP2991,First phalanx,75.2,GL,Roman - Saxon,900 -- 999
621,ABMAP2991,First phalanx,33.5,SD,Roman - Saxon,900 -- 999
622,ABMAP2992,First phalanx,50.5,Bp,Roman - Saxon,900 -- 999
623,ABMAP2992,First phalanx,74.5,GL,Roman - Saxon,900 -- 999
624,ABMAP2992,First phalanx,33.8,SD,Roman - Saxon,900 -- 999
663,ABMAP2993,First phalanx,52.1,Bp,Medieval,1200 -- 1399
664,ABMAP2993,First phalanx,76.4,GL,Medieval,1200 -- 1399
665,ABMAP2993,First phalanx,31.0,SD,Medieval,1200 -- 1399
679,ABMAP2994,First phalanx,80.0,GL,Medieval,1300 -- 1499
680,ABMAP2994,First phalanx,31.6,SD,Medieval,1300 -- 1499
683,ABMAP16521,First phalanx,42.4,BFd,Roman - Saxon,950 -- 1139
684,ABMAP16521,First phalanx,49.7,BFp,Roman - Saxon,950 -- 1139
685,ABMAP16521,First phalanx,85.4,GL,Roman - Saxon,950 -- 1139
686,ABMAP16521,First phalanx,37.4,SD,Roman - Saxon,950 -- 1139
687,ABMAP16373,First phalanx,44.3,Bd,Roman - Saxon,600 -- 1099
688,ABMAP16373,First phalanx,40.0,BFd,Roman - Saxon,600 -- 1099
689,ABMAP16373,First phalanx,48.3,BFp,Roman - Saxon,600 -- 1099
690,ABMAP16373,First phalanx,54.1,Bp,Roman - Saxon,600 -- 1099
691,ABMAP16373,First phalanx,36.4,Dp,Roman - Saxon,600 -- 1099
