,BONEID,ELEMENT,MEASURE,MEASTYPE,PERIOD,RANGE
82,ABMAP15378,First phalanx,44.0,BFd,Roman - Saxon,43 -- 410
92,ABMAP15393,First phalanx,45.2,BFd,Roman - Saxon,43 -- 410
116,ABMAP3077,First phalanx,40.7,BFd,Roman - Saxon,800 -- 999
222,ABMAP17357,First phalanx,35.0,BFd,Bronze - Iron Age,-99 -- 99
258,ABMAP17348,First phalanx,44.7,BFd,Bronze - Iron Age,-800 -- -100
300,ABMAP26111,First phalanx,41.1,BFd,Roman - Saxon,733 -- 832
317,ABMAP25993,First phalanx,39.3,BFd,Roman - Saxon,700 -- 732
338,ABMAP25994,First phalanx,42.1,BFd,Roman - Saxon,700 -- 732
365,ABMAP26108,First phalanx,40.0,BFd,Roman - Saxon,733 -- 832
421,ABMAP26505,First phalanx,41.1,BFd,Roman - Saxon,833 -- 932
435,ABMAP25544,First phalanx,43.3,BFd,Roman - Saxon,833 -- 932
440,ABMAP25545,First phalanx,37.7,BFd,Roman - Saxon,833 -- 932
487,ABMAP26506,First phalanx,37.7,BFd,Roman - Saxon,833 -- 932
494,ABMAP26507,First phalanx,43.3,BFd,Roman - Saxon,833 -- 932
530,ABMAP26109,First phalanx,42.8,BFd,Roman - Saxon,733 -- 832
540,ABMAP26110,First phalanx,41.8,BFd,Roman - Saxon,733 -- 832
545,ABMAP26112,First phalanx,42.7,BFd,Roman - Saxon,733 -- 832
553,ABMAP25992,First phalanx,36.8,BFd,Roman - Saxon,700 -- 732
683,ABMAP16521,First phalanx,42.4,BFd,Roman - Saxon,950 -- 1139
688,ABMAP16373,First phalanx,40.0,BFd,Roman - Saxon,600 -- 1099
1345,ABMAP18428,First phalanx,44.2,BFd,Medieval,1600 -- 1799
1617,ABMAP28265,First phalanx,41.1,BFd,Roman - Saxon,850 -- 899
1694,ABMAP13143,First phalanx,43.7,BFd,Roman - Saxon,650 -- 850
1761,ABMAP18525,First phalanx,41.7,BFd,Bronze - Iron Age,-1000 -- -400
2041,J_GRIMM_08WA56530-1264,First phalanx,38.7,BFd,Roman - Saxon,300 -- 400
2068,J_GRIMM_08WA58571-59,First phalanx,41.4,BFd,Roman - Saxon,43 -- 410
2091,J_GRIMM_08WA58720-23,First phalanx,35.9,BFd,Medieval,1400 -- 1500
2136,J_GRIMM_08WA59480-2,First phalanx,37.2,BFd,Roman - Saxon,43 -- 150
2150,J_GRIMM_08WA59480-847,First phalanx,35.4,BFd,Bronze - Iron Age,100 -- 150
2182,J_GRIMM_08WA59480-1527,First phalanx,38.8,BFd,Bronze - Iron Age,-100 -- 43
2192,J_GRIMM_08WA59480-938,First phalanx,41.5,BFd,Bronze - Iron Age,100 -- 150
2199,J_GRIMM_08WA59480-939,First phalanx,40.6,BFd,Bronze - Iron Age,100 -- 150
2206,J_GRIMM_08WA59480-940,First phalanx,43.0,BFd,Bronze - Iron Age,100 -- 150
2213,J_GRIMM_08WA59480-941,First phalanx,40.6,BFd,Bronze - Iron Age,100 -- 150
2220,J_GRIMM_08WA59480-942,First phalanx,40.5,BFd,Bronze - Iron Age,100 -- 150
2227,J_GRIMM_08WA59480-943,First phalanx,40.9,BFd,Bronze - Iron Age,100 -- 150
2302,J_GRIMM_08WA61900-193,First phalanx,44.1,BFd,Medieval,1066 -- 1499
2312,J_GRIMM_08WA63220-730,First phalanx,30.7,BFd,Roman - Saxon,850 -- 1066
2331,J_GRIMM_08WA63220-5165,First phalanx,44.2,BFd,Roman - Saxon,850 -- 1066
2367,ABMAP9652,First phalanx,42.0,BFd,Medieval,1000 -- 1199
2379,ABMAP13874,First phalanx,45.1,BFd,Medieval,1300 -- 1499
2403,ABMAP13905,First phalanx,41.1,BFd,Medieval,1300 -- 1499
2888,ABMAP14186,First phalanx,38.2,BFd,Roman - Saxon,43 -- 410
2915,ABMAP14444,First phalanx,37.8,BFd,Roman - Saxon,43 -- 410
2939,ABMAP14317,First phalanx,38.7,BFd,Roman - Saxon,43 -- 410
3078,ABMAP3192,First phalanx,40.8,BFd,Roman - Saxon,400 -- 1066
3091,ABMAP3191,First phalanx,43.2,BFd,Roman - Saxon,400 -- 1066
