,BONEID,ELEMENT,MEASURE,MEASTYPE,PERIOD,RANGE
83,ABMAP15378,First phalanx,51.0,BFp,Roman - Saxon,43 -- 410
117,ABMAP3077,First phalanx,45.0,BFp,Roman - Saxon,800 -- 999
259,ABMAP17348,First phalanx,52.8,BFp,Bronze - Iron Age,-800 -- -100
301,ABMAP26111,First phalanx,48.4,BFp,Roman - Saxon,733 -- 832
318,ABMAP25993,First phalanx,44.8,BFp,Roman - Saxon,700 -- 732
339,ABMAP25994,First phalanx,51.5,BFp,Roman - Saxon,700 -- 732
366,ABMAP26108,First phalanx,46.8,BFp,Roman - Saxon,733 -- 832
422,ABMAP26505,First phalanx,47.4,BFp,Roman - Saxon,833 -- 932
436,ABMAP25544,First phalanx,49.9,BFp,Roman - Saxon,833 -- 932
441,ABMAP25545,First phalanx,48.8,BFp,Roman - Saxon,833 -- 932
488,ABMAP26506,First phalanx,48.8,BFp,Roman - Saxon,833 -- 932
495,ABMAP26507,First phalanx,49.9,BFp,Roman - Saxon,833 -- 932
531,ABMAP26109,First phalanx,51.7,BFp,Roman - Saxon,733 -- 832
554,ABMAP25992,First phalanx,44.2,BFp,Roman - Saxon,700 -- 732
684,ABMAP16521,First phalanx,49.7,BFp,Roman - Saxon,950 -- 1139
689,ABMAP16373,First phalanx,48.3,BFp,Roman - Saxon,600 -- 1099
834,ABMAP576,First phalanx,40.9,BFp,Bronze - Iron Age,-100 -- -43
1618,ABMAP28265,First phalanx,47.4,BFp,Roman - Saxon,850 -- 899
1735,ABMAP18524,First phalanx,42.8,BFp,Bronze - Iron Age,-1000 -- -400
1762,ABMAP18525,First phalanx,46.2,BFp,Bronze - Iron Age,-1000 -- -400
2008,J_GRIMM_08WA55024-574,First phalanx,41.8,BFp,Roman - Saxon,150 -- 200
2042,J_GRIMM_08WA56530-1264,First phalanx,45.2,BFp,Roman - Saxon,300 -- 400
2069,J_GRIMM_08WA58571-59,First phalanx,46.8,BFp,Roman - Saxon,43 -- 410
2137,J_GRIMM_08WA59480-2,First phalanx,42.7,BFp,Roman - Saxon,43 -- 150
2151,J_GRIMM_08WA59480-847,First phalanx,44.5,BFp,Bronze - Iron Age,100 -- 150
2183,J_GRIMM_08WA59480-1527,First phalanx,43.1,BFp,Bronze - Iron Age,-100 -- 43
2193,J_GRIMM_08WA59480-938,First phalanx,47.7,BFp,Bronze - Iron Age,100 -- 150
2200,J_GRIMM_08WA59480-939,First phalanx,46.9,BFp,Bronze - Iron Age,100 -- 150
2207,J_GRIMM_08WA59480-940,First phalanx,51.2,BFp,Bronze - Iron Age,100 -- 150
2214,J_GRIMM_08WA59480-941,First phalanx,46.7,BFp,Bronze - Iron Age,100 -- 150
2221,J_GRIMM_08WA59480-942,First phalanx,48.1,BFp,Bronze - Iron Age,100 -- 150
2228,J_GRIMM_08WA59480-943,First phalanx,45.9,BFp,Bronze - Iron Age,100 -- 150
2303,J_GRIMM_08WA61900-193,First phalanx,51.3,BFp,Medieval,1066 -- 1499
2332,J_GRIMM_08WA63220-5165,First phalanx,48.9,BFp,Roman - Saxon,850 -- 1066
2368,ABMAP9652,First phalanx,47.5,BFp,Medieval,1000 -- 1199
2380,ABMAP13874,First phalanx,51.8,BFp,Medieval,1300 -- 1499
2404,ABMAP13905,First phalanx,47.5,BFp,Medieval,1300 -- 1499
2889,ABMAP14186,First phalanx,48.0,BFp,Roman - Saxon,43 -- 410
2940,ABMAP14317,First phalanx,44.4,BFp,Roman - Saxon,43 -- 410
3092,ABMAP3191,First phalanx,48.2,BFp,Roman - Saxon,400 -- 1066
