,BONEID,ELEMENT,MEASURE,MEASTYPE,PERIOD,RANGE
81,ABMAP15378,First phalanx,49.7,Bd,Roman - Saxon,43 -- 410
91,ABMAP15393,First phalanx,46.6,Bd,Roman - Saxon,43 -- 410
115,ABMAP3077,First phalanx,44.1,Bd,Roman - Saxon,800 -- 999
221,ABMAP17357,First phalanx,36.5,Bd,Bronze - Iron Age,-99 -- 99
239,ABMAP17372,First phalanx,44.9,Bd,Roman - Saxon,43 -- 410
257,ABMAP17348,First phalanx,51.0,Bd,Bronze - Iron Age,-800 -- -100
299,ABMAP26111,First phalanx,46.3,Bd,Roman - Saxon,733 -- 832
316,ABMAP25993,First phalanx,42.4,Bd,Roman - Saxon,700 -- 732
337,ABMAP25994,First phalanx,47.0,Bd,Roman - Saxon,700 -- 732
364,ABMAP26108,First phalanx,43.7,Bd,Roman - Saxon,733 -- 832
385,ABMAP26113,First phalanx,45.7,Bd,Roman - Saxon,733 -- 832
420,ABMAP26505,First phalanx,43.0,Bd,Roman - Saxon,833 -- 932
434,ABMAP25544,First phalanx,46.4,Bd,Roman - Saxon,833 -- 932
439,ABMAP25545,First phalanx,47.1,Bd,Roman - Saxon,833 -- 932
486,ABMAP26506,First phalanx,47.1,Bd,Roman - Saxon,833 -- 932
493,ABMAP26507,First phalanx,46.4,Bd,Roman - Saxon,833 -- 932
529,ABMAP26109,First phalanx,45.9,Bd,Roman - Saxon,733 -- 832
539,ABMAP26110,First phalanx,46.7,Bd,Roman - Saxon,733 -- 832
544,ABMAP26112,First phalanx,45.7,Bd,Roman - Saxon,733 -- 832
552,ABMAP25992,First phalanx,42.9,Bd,Roman - Saxon,700 -- 732
687,ABMAP16373,First phalanx,44.3,Bd,Roman - Saxon,600 -- 1099
716,ABMAP20064,First phalanx,48.8,Bd,Medieval,1700 -- 1799
833,ABMAP576,First phalanx,46.7,Bd,Bronze - Iron Age,-100 -- -43
915,ABMAP28639,First phalanx,41.3,Bd,Medieval,1250 -- 1400
921,ABMAP28652,First phalanx,45.1,Bd,Medieval,1250 -- 1400
931,ABMAP29017,First phalanx,39.7,Bd,Medieval,1250 -- 1400
934,ABMAP29026,First phalanx,37.7,Bd,Medieval,1300 -- 1450
960,ABMAP29124,First phalanx,40.6,Bd,Roman - Saxon,400 -- 1066
989,ABMAP29233,First phalanx,44.9,Bd,Medieval,1450 -- 1800
1001,ABMAP29244,First phalanx,41.5,Bd,Medieval,1300 -- 1450
1042,ABMAP29288,First phalanx,40.7,Bd,Medieval,1250 -- 1400
1046,ABMAP29298,First phalanx,42.2,Bd,Medieval,1250 -- 1400
1051,ABMAP29304,First phalanx,36.7,Bd,Medieval,1250 -- 1400
1054,ABMAP29306,First phalanx,39.6,Bd,Medieval,1250 -- 1400
1062,ABMAP29311,First phalanx,38.9,Bd,Medieval,1250 -- 1400
1066,ABMAP29315,First phalanx,38.1,Bd,Medieval,1100 -- 1250
1074,ABMAP29322,First phalanx,40.5,Bd,Medieval,1250 -- 1400
1076,ABMAP29331,First phalanx,39.6,Bd,Medieval,1250 -- 1400
1082,ABMAP29347,First phalanx,41.9,Bd,Medieval,1100 -- 1250
1085,ABMAP29357,First phalanx,38.0,Bd,Medieval,1100 -- 1250
1090,ABMAP29366,First phalanx,42.3,Bd,Medieval,1100 -- 1250
1103,ABMAP29388,First phalanx,44.7,Bd,Medieval,1100 -- 1250
1111,ABMAP29398,First phalanx,44.8,Bd,Medieval,1100 -- 1250
1113,ABMAP29399,First phalanx,39.6,Bd,Medieval,1100 -- 1250
1118,ABMAP29413,First phalanx,38.0,Bd,Medieval,1100 -- 1250
1126,ABMAP29493,First phalanx,37.6,Bd,Medieval,1100 -- 1250
1149,ABMAP29518,First phalanx,40.0,Bd,Roman - Saxon,950 -- 1100
1169,ABMAP29508,First phalanx,42.1,Bd,Roman - Saxon,950 -- 1100
1191,ABMAP28658,First phalanx,41.3,Bd,Medieval,1450 -- 1800
1195,ABMAP28679,First phalanx,36.1,Bd,Medieval,1300 -- 1450
1200,ABMAP28707,First phalanx,41.0,Bd,Medieval,1300 -- 1450
1204,ABMAP28732,First phalanx,36.4,Bd,Medieval,1300 -- 1450
1208,ABMAP28740,First phalanx,40.6,Bd,Medieval,1300 -- 1450
1213,ABMAP28742,First phalanx,41.1,Bd,Medieval,1300 -- 1450
1230,ABMAP28984,First phalanx,40.6,Bd,Medieval,1450 -- 1800
1275,ABMAP28744,First phalanx,39.4,Bd,Medieval,1250 -- 1400
1307,ABMAP28872,First phalanx,39.0,Bd,Medieval,1250 -- 1400
1320,ABMAP28894,First phalanx,38.0,Bd,Medieval,1250 -- 1400
1333,ABMAP28942,First phalanx,44.0,Bd,Medieval,1100 -- 1250
1336,ABMAP28934,First phalanx,42.0,Bd,Medieval,1100 -- 1250
1339,ABMAP28936,First phalanx,45.6,Bd,Medieval,1100 -- 1250
1344,ABMAP18428,First phalanx,47.4,Bd,Medieval,1600 -- 1799
