,BONEID,ELEMENT,MEASURE,MEASTYPE,PERIOD,RANGE
84,ABMAP15378,First phalanx,57.4,Bp,Roman - Saxon,43 -- 410
93,ABMAP15393,First phalanx,53.5,Bp,Roman - Saxon,43 -- 410
240,ABMAP17372,First phalanx,50.4,Bp,Roman - Saxon,43 -- 410
260,ABMAP17348,First phalanx,55.9,Bp,Bronze - Iron Age,-800 -- -100
302,ABMAP26111,First phalanx,52.9,Bp,Roman - Saxon,733 -- 832
319,ABMAP25993,First phalanx,50.6,Bp,Roman - Saxon,700 -- 732
340,ABMAP25994,First phalanx,55.1,Bp,Roman - Saxon,700 -- 732
367,ABMAP26108,First phalanx,55.0,Bp,Roman - Saxon,733 -- 832
386,ABMAP26113,First phalanx,55.2,Bp,Roman - Saxon,733 -- 832
423,ABMAP26505,First phalanx,52.3,Bp,Roman - Saxon,833 -- 932
442,ABMAP25545,First phalanx,51.8,Bp,Roman - Saxon,833 -- 932
489,ABMAP26506,First phalanx,51.8,Bp,Roman - Saxon,833 -- 932
532,ABMAP26109,First phalanx,56.8,Bp,Roman - Saxon,733 -- 832
541,ABMAP26110,First phalanx,53.4,Bp,Roman - Saxon,733 -- 832
546,ABMAP26112,First phalanx,54.1,Bp,Roman - Saxon,733 -- 832
555,ABMAP25992,First phalanx,50.8,Bp,Roman - Saxon,700 -- 732
619,ABMAP2991,First phalanx,50.1,Bp,Roman - Saxon,900 -- 999
622,ABMAP2992,First phalanx,50.5,Bp,Roman - Saxon,900 -- 999
663,ABMAP2993,First phalanx,52.1,Bp,Medieval,1200 -- 1399
690,ABMAP16373,First phalanx,54.1,Bp,Roman - Saxon,600 -- 1099
717,ABMAP20064,First phalanx,65.8,Bp,Medieval,1700 -- 1799
742,ABMAP20063,First phalanx,57.6,Bp,Medieval,1500 -- 1901
835,ABMAP576,First phalanx,50.4,Bp,Bronze - Iron Age,-100 -- -43
1360,ABMAP18417,First phalanx,66.0,Bp,Medieval,1600 -- 1799
1389,ABMAP16646,First phalanx,57.9,Bp,Medieval,1167 -- 1399
1402,ABMAP16647,First phalanx,51.9,Bp,Medieval,1167 -- 1399
1462,ABMAP16644,First phalanx,49.3,Bp,Medieval,1033 -- 1199
1468,ABMAP16645,First phalanx,48.9,Bp,Medieval,1033 -- 1199
1602,ABMAP3372,First phalanx,53.6,Bp,Medieval,1000 -- 1199
1604,ABMAP3374,First phalanx,54.3,Bp,Medieval,1000 -- 1199
1619,ABMAP28265,First phalanx,52.3,Bp,Roman - Saxon,850 -- 899
1695,ABMAP13143,First phalanx,57.4,Bp,Roman - Saxon,650 -- 850
1736,ABMAP18524,First phalanx,45.8,Bp,Bronze - Iron Age,-1000 -- -400
1763,ABMAP18525,First phalanx,52.0,Bp,Bronze - Iron Age,-1000 -- -400
1782,ABMAP27182,First phalanx,56.6,Bp,Roman - Saxon,900 -- 1099
1799,ABMAP27183,First phalanx,58.6,Bp,Roman - Saxon,900 -- 1099
1848,ABMAP1429,First phalanx,56.3,Bp,Roman - Saxon,43 -- 410
1900,ABMAP1334,First phalanx,56.0,Bp,Roman - Saxon,43 -- 410
2009,J_GRIMM_08WA55024-574,First phalanx,44.4,Bp,Roman - Saxon,150 -- 200
2043,J_GRIMM_08WA56530-1264,First phalanx,50.1,Bp,Roman - Saxon,300 -- 400
