,BONEID,ELEMENT,MEASURE,MEASTYPE,PERIOD,RANGE
85,ABMAP15378,First phalanx,38.0,Dp,Roman - Saxon,43 -- 410
94,ABMAP15393,First phalanx,37.0,Dp,Roman - Saxon,43 -- 410
241,ABMAP17372,First phalanx,30.1,Dp,Roman - Saxon,43 -- 410
261,ABMAP17348,First phalanx,35.8,Dp,Bronze - Iron Age,-800 -- -100
303,ABMAP26111,First phalanx,33.7,Dp,Roman - Saxon,733 -- 832
320,ABMAP25993,First phalanx,31.5,Dp,Roman - Saxon,700 -- 732
341,ABMAP25994,First phalanx,38.2,Dp,Roman - Saxon,700 -- 732
368,ABMAP26108,First phalanx,35.9,Dp,Roman - Saxon,733 -- 832
424,ABMAP26505,First phalanx,32.9,Dp,Roman - Saxon,833 -- 932
443,ABMAP25545,First phalanx,35.1,Dp,Roman - Saxon,833 -- 932
490,ABMAP26506,First phalanx,35.1,Dp,Roman - Saxon,833 -- 932
556,ABMAP25992,First phalanx,33.7,Dp,Roman - Saxon,700 -- 732
691,ABMAP16373,First phalanx,36.4,Dp,Roman - Saxon,600 -- 1099
719,ABMAP20064,First phalanx,44.0,Dp,Medieval,1700 -- 1799
743,ABMAP20063,First phalanx,33.5,Dp,Medieval,1500 -- 1901
836,ABMAP576,First phalanx,34.4,Dp,Bronze - Iron Age,-100 -- -43
1361,ABMAP18417,First phalanx,44.0,Dp,Medieval,1600 -- 1799
1403,ABMAP16647,First phalanx,34.8,Dp,Medieval,1167 -- 1399
1464,ABMAP16644,First phalanx,35.7,Dp,Medieval,1033 -- 1199
1470,ABMAP16645,First phalanx,35.2,Dp,Medieval,1033 -- 1199
1620,ABMAP28265,First phalanx,32.9,Dp,Roman - Saxon,850 -- 899
1737,ABMAP18524,First phalanx,30.0,Dp,Bronze - Iron Age,-1000 -- -400
1764,ABMAP18525,First phalanx,30.7,Dp,Bronze - Iron Age,-1000 -- -400
1783,ABMAP27182,First phalanx,39.0,Dp,Roman - Saxon,900 -- 1099
1800,ABMAP27183,First phalanx,40.3,Dp,Roman - Saxon,900 -- 1099
1849,ABMAP1429,First phalanx,36.0,Dp,Roman - Saxon,43 -- 410
1878,ABMAP1040,First phalanx,34.2,Dp,Roman - Saxon,43 -- 410
2010,J_GRIMM_08WA55024-574,First phalanx,30.9,Dp,Roman - Saxon,150 -- 200
2044,J_GRIMM_08WA56530-1264,First phalanx,34.6,Dp,Roman - Saxon,300 -- 400
2071,J_GRIMM_08WA58571-59,First phalanx,32.1,Dp,Roman - Saxon,43 -- 410
2093,J_GRIMM_08WA58720-23,First phalanx,33.6,Dp,Medieval,1400 -- 1500
2139,J_GRIMM_08WA59480-2,First phalanx,30.0,Dp,Roman - Saxon,43 -- 150
2153,J_GRIMM_08WA59480-847,First phalanx,28.6,Dp,Bronze - Iron Age,100 -- 150
2185,J_GRIMM_08WA59480-1527,First phalanx,26.9,Dp,Bronze - Iron Age,-100 -- 43
2195,J_GRIMM_08WA59480-938,First phalanx,31.3,Dp,Bronze - Iron Age,100 -- 150
2202,J_GRIMM_08WA59480-939,First phalanx,29.7,Dp,Bronze - Iron Age,100 -- 150
2209,J_GRIMM_08WA59480-940,First phalanx,37.7,Dp,Bronze - Iron Age,100 -- 150
2216,J_GRIMM_08WA59480-941,First phalanx,28.9,Dp,Bronze - Iron Age,100 -- 150
2223,J_GRIMM_08WA59480-942,First phalanx,30.9,Dp,Bronze - Iron Age,100 -- 150
2299,J_GRIMM_08WA61900-154,First phalanx,35.0,Dp,Roman - Saxon,43 -- 410
2305,J_GRIMM_08WA61900-193,First phalanx,35.6,Dp,Medieval,1066 -- 1499
2334,J_GRIMM_08WA63220-5165,First phalanx,38.0,Dp,Roman - Saxon,850 -- 1066
2370,ABMAP9652,First phalanx,34.0,Dp,Medieval,1000 -- 1199
2382,ABMAP13874,First phalanx,39.0,Dp,Medieval,1300 -- 1499
2406,ABMAP13905,First phalanx,33.5,Dp,Medieval,1300 -- 1499
2465,ABMAP1489,First phalanx,35.5,Dp,Roman - Saxon,43 -- 1066
2480,ABMAP1542,First phalanx,30.1,Dp,Roman - Saxon,100 -- 399
2768,ABMAP425,First phalanx,32.2,Dp,Bronze - Iron Age,-50 -- 75
2778,ABMAP301,First phalanx,34.0,Dp,Bronze - Iron Age,-499 -- -200
2908,ABMAP14176,First phalanx,37.5,Dp,Roman - Saxon,43 -- 410
2917,ABMAP14444,First phalanx,31.5,Dp,Roman - Saxon,43 -- 410
2942,ABMAP14317,First phalanx,29.0,Dp,Roman - Saxon,43 -- 410
3094,ABMAP3191,First phalanx,34.3,Dp,Roman - Saxon,400 -- 1066
