,BONEID,ELEMENT,MEASURE,MEASTYPE,PERIOD,RANGE
64,ABMAP16909,First phalanx,74.4,GL,Roman - Saxon,700 -- 899
86,ABMAP15378,First phalanx,86.5,GL,Roman - Saxon,43 -- 410
95,ABMAP15393,First phalanx,92.0,GL,Roman - Saxon,43 -- 410
223,ABMAP17357,First phalanx,64.2,GL,Bronze - Iron Age,-99 -- 99
242,ABMAP17372,First phalanx,76.7,GL,Roman - Saxon,43 -- 410
262,ABMAP17348,First phalanx,86.1,GL,Bronze - Iron Age,-800 -- -100
304,ABMAP26111,First phalanx,81.6,GL,Roman - Saxon,733 -- 832
321,ABMAP25993,First phalanx,77.2,GL,Roman - Saxon,700 -- 732
342,ABMAP25994,First phalanx,86.2,GL,Roman - Saxon,700 -- 732
369,ABMAP26108,First phalanx,79.3,GL,Roman - Saxon,733 -- 832
387,ABMAP26113,First phalanx,77.2,GL,Roman - Saxon,733 -- 832
425,ABMAP26505,First phalanx,80.9,GL,Roman - Saxon,833 -- 932
437,ABMAP25544,First phalanx,79.8,GL,Roman - Saxon,833 -- 932
444,ABMAP25545,First phalanx,77.8,GL,Roman - Saxon,833 -- 932
491,ABMAP26506,First phalanx,77.8,GL,Roman - Saxon,833 -- 932
496,ABMAP26507,First phalanx,79.8,GL,Roman - Saxon,833 -- 932
533,ABMAP26109,First phalanx,80.1,GL,Roman - Saxon,733 -- 832
542,ABMAP26110,First phalanx,80.6,GL,Roman - Saxon,733 -- 832
547,ABMAP26112,First phalanx,78.6,GL,Roman - Saxon,733 -- 832
557,ABMAP25992,First phalanx,69.0,GL,Roman - Saxon,700 -- 732
620,ABMAP2991,First phalanx,75.2,GL,Roman - Saxon,900 -- 999
623,ABMAP2992,First phalanx,74.5,GL,Roman - Saxon,900 -- 999
664,ABMAP2993,First phalanx,76.4,GL,Medieval,1200 -- 1399
679,ABMAP2994,First phalanx,80.0,GL,Medieval,1300 -- 1499
685,ABMAP16521,First phalanx,85.4,GL,Roman - Saxon,950 -- 1139
692,ABMAP16373,First phalanx,77.6,GL,Roman - Saxon,600 -- 1099
720,ABMAP20064,First phalanx,93.2,GL,Medieval,1700 -- 1799
744,ABMAP20063,First phalanx,88.5,GL,Medieval,1500 -- 1901
837,ABMAP576,First phalanx,83.6,GL,Bronze - Iron Age,-100 -- -43
916,ABMAP28639,First phalanx,79.5,GL,Medieval,1250 -- 1400
932,ABMAP29017,First phalanx,78.7,GL,Medieval,1250 -- 1400
961,ABMAP29124,First phalanx,80.7,GL,Roman - Saxon,400 -- 1066
965,ABMAP29146,First phalanx,72.1,GL,Medieval,1100 -- 1250
990,ABMAP29233,First phalanx,83.7,GL,Medieval,1450 -- 1800
1002,ABMAP29244,First phalanx,78.5,GL,Medieval,1300 -- 1450
1032,ABMAP29275,First phalanx,77.7,GL,Medieval,1300 -- 1450
1043,ABMAP29288,First phalanx,79.5,GL,Medieval,1250 -- 1400
1047,ABMAP29298,First phalanx,84.2,GL,Medieval,1250 -- 1400
1052,ABMAP29304,First phalanx,70.2,GL,Medieval,1250 -- 1400
1055,ABMAP29306,First phalanx,76.1,GL,Medieval,1250 -- 1400
1063,ABMAP29311,First phalanx,73.4,GL,Medieval,1250 -- 1400
1067,ABMAP29315,First phalanx,68.8,GL,Medieval,1100 -- 1250
1075,ABMAP29322,First phalanx,76.8,GL,Medieval,1250 -- 1400
1077,ABMAP29331,First phalanx,79.0,GL,Medieval,1250 -- 1400
1083,ABMAP29347,First phalanx,82.6,GL,Medieval,1100 -- 1250
1086,ABMAP29357,First phalanx,79.5,GL,Medieval,1100 -- 1250
1091,ABMAP29366,First phalanx,84.2,GL,Medieval,1100 -- 1250
1104,ABMAP29388,First phalanx,88.9,GL,Medieval,1100 -- 1250
1112,ABMAP29398,First phalanx,87.7,GL,Medieval,1100 -- 1250
1114,ABMAP29399,First phalanx,78.7,GL,Medieval,1100 -- 1250
1119,ABMAP29413,First phalanx,71.0,GL,Medieval,1100 -- 1250
1127,ABMAP29493,First phalanx,75.8,GL,Medieval,1100 -- 1250
1146,ABMAP29515,First phalanx,75.0,GL,Medieval,1100 -- 1250
1150,ABMAP29518,First phalanx,75.6,GL,Roman - Saxon,950 -- 1100
1170,ABMAP29508,First phalanx,83.8,GL,Roman - Saxon,950 -- 1100
1192,ABMAP28658,First phalanx,78.7,GL,Medieval,1450 -- 1800
1196,ABMAP28679,First phalanx,72.2,GL,Medieval,1300 -- 1450
1201,ABMAP28707,First phalanx,79.0,GL,Medieval,1300 -- 1450
1205,ABMAP28732,First phalanx,73.8,GL,Medieval,1300 -- 1450
