,BONEID,ELEMENT,MEASURE,MEASTYPE,PERIOD,RANGE
19,ABMAP11851,First phalanx,32.8,SD,Roman - Saxon,43 -- 410
87,ABMAP15378,First phalanx,38.5,SD,Roman - Saxon,43 -- 410
96,ABMAP15393,First phalanx,33.3,SD,Roman - Saxon,43 -- 410
118,ABMAP3077,First phalanx,32.6,SD,Roman - Saxon,800 -- 999
224,ABMAP17357,First phalanx,25.8,SD,Bronze - Iron Age,-99 -- 99
243,ABMAP17372,First phalanx,35.3,SD,Roman - Saxon,43 -- 410
263,ABMAP17348,First phalanx,38.1,SD,Bronze - Iron Age,-800 -- -100
305,ABMAP26111,First phalanx,34.0,SD,Roman - Saxon,733 -- 832
322,ABMAP25993,First phalanx,33.9,SD,Roman - Saxon,700 -- 732
343,ABMAP25994,First phalanx,32.6,SD,Roman - Saxon,700 -- 732
370,ABMAP26108,First phalanx,32.5,SD,Roman - Saxon,733 -- 832
388,ABMAP26113,First phalanx,34.8,SD,Roman - Saxon,733 -- 832
426,ABMAP26505,First phalanx,33.2,SD,Roman - Saxon,833 -- 932
438,ABMAP25544,First phalanx,35.6,SD,Roman - Saxon,833 -- 932
445,ABMAP25545,First phalanx,32.2,SD,Roman - Saxon,833 -- 932
492,ABMAP26506,First phalanx,32.2,SD,Roman - Saxon,833 -- 932
497,ABMAP26507,First phalanx,35.6,SD,Roman - Saxon,833 -- 932
534,ABMAP26109,First phalanx,36.7,SD,Roman - Saxon,733 -- 832
543,ABMAP26110,First phalanx,35.3,SD,Roman - Saxon,733 -- 832
548,ABMAP26112,First phalanx,35.0,SD,Roman - Saxon,733 -- 832
558,ABMAP25992,First phalanx,32.0,SD,Roman - Saxon,700 -- 732
621,ABMAP2991,First phalanx,33.5,SD,Roman - Saxon,900 -- 999
624,ABMAP2992,First phalanx,33.8,SD,Roman - Saxon,900 -- 999
665,ABMAP2993,First phalanx,31.0,SD,Medieval,1200 -- 1399
680,ABMAP2994,First phalanx,31.6,SD,Medieval,1300 -- 1499
686,ABMAP16521,First phalanx,37.4,SD,Roman - Saxon,950 -- 1139
693,ABMAP16373,First phalanx,33.1,SD,Roman - Saxon,600 -- 1099
721,ABMAP20064,First phalanx,40.7,SD,Medieval,1700 -- 1799
745,ABMAP20063,First phalanx,33.9,SD,Medieval,1500 -- 1901
917,ABMAP28639,First phalanx,32.4,SD,Medieval,1250 -- 1400
922,ABMAP28652,First phalanx,34.9,SD,Medieval,1250 -- 1400
933,ABMAP29017,First phalanx,31.4,SD,Medieval,1250 -- 1400
935,ABMAP29026,First phalanx,27.9,SD,Medieval,1300 -- 1450
962,ABMAP29124,First phalanx,34.8,SD,Roman - Saxon,400 -- 1066
966,ABMAP29146,First phalanx,29.5,SD,Medieval,1100 -- 1250
980,ABMAP28708,First phalanx,29.7,SD,Medieval,1250 -- 1400
991,ABMAP29233,First phalanx,35.1,SD,Medieval,1450 -- 1800
998,ABMAP29237,First phalanx,30.0,SD,Medieval,1300 -- 1450
999,ABMAP29238,First phalanx,34.3,SD,Medieval,1250 -- 1400
1003,ABMAP29244,First phalanx,31.1,SD,Medieval,1300 -- 1450
1044,ABMAP29288,First phalanx,30.8,SD,Medieval,1250 -- 1400
1048,ABMAP29298,First phalanx,32.6,SD,Medieval,1250 -- 1400
1053,ABMAP29304,First phalanx,27.8,SD,Medieval,1250 -- 1400
1056,ABMAP29306,First phalanx,31.3,SD,Medieval,1250 -- 1400
1064,ABMAP29311,First phalanx,29.7,SD,Medieval,1250 -- 1400
1068,ABMAP29315,First phalanx,27.6,SD,Medieval,1100 -- 1250
1078,ABMAP29331,First phalanx,31.5,SD,Medieval,1250 -- 1400
1080,ABMAP29405,First phalanx,30.8,SD,Roman - Saxon,950 -- 1100
1081,ABMAP29341,First phalanx,32.3,SD,Medieval,1100 -- 1250
1084,ABMAP29347,First phalanx,36.8,SD,Medieval,1100 -- 1250
1087,ABMAP29357,First phalanx,28.0,SD,Medieval,1100 -- 1250
1092,ABMAP29366,First phalanx,31.1,SD,Medieval,1100 -- 1250
1105,ABMAP29388,First phalanx,34.9,SD,Medieval,1100 -- 1250
1115,ABMAP29399,First phalanx,28.2,SD,Medieval,1100 -- 1250
1120,ABMAP29413,First phalanx,32.1,SD,Medieval,1100 -- 1250
1128,ABMAP29493,First phalanx,28.7,SD,Medieval,1100 -- 1250
1147,ABMAP29515,First phalanx,32.6,SD,Medieval,1100 -- 1250
1151,ABMAP29518,First phalanx,32.2,SD,Roman - Saxon,950 -- 1100
1171,ABMAP29508,First phalanx,35.0,SD,Roman - Saxon,950 -- 1100
1193,ABMAP28658,First phalanx,34.0,SD,Medieval,1450 -- 1800
1197,ABMAP28679,First phalanx,29.1,SD,Medieval,1300 -- 1450
1202,ABMAP28707,First phalanx,30.3,SD,Medieval,1300 -- 1450
1206,ABMAP28732,First phalanx,27.7,SD,Medieval,1300 -- 1450
