,BONEID,ELEMENT,MEASURE,MEASTYPE,PERIOD,RANGE
57,ABMAP16906,Humerus,77.1,Bd,Roman - Saxon,700 -- 899
68,ABMAP5449,Humerus,30.5,SD,Bronze - Iron Age,-299 -- 42
72,ABMAP5470,Humerus,96.5,Bd,Medieval,1500 -- 1901
73,ABMAP5470,Humerus,89.5,BT,Medieval,1500 -- 1901
107,ABMAP2157,Humerus,68.7,BT,Roman - Saxon,43 -- 199
114,ABMAP3076,Humerus,68.0,BT,Roman - Saxon,800 -- 999
134,ABMAP3056,Humerus,78.8,Bd,Roman - Saxon,800 -- 999
135,ABMAP3056,Humerus,279.0,GLC,Roman - Saxon,800 -- 999
136,ABMAP3056,Humerus,33.6,SD,Roman - Saxon,800 -- 999
139,ABMAP3008,Humerus,75.7,Bd,Roman - Saxon,833 -- 966
140,ABMAP3008,Humerus,68.3,BT,Roman - Saxon,833 -- 966
141,ABMAP3008,Humerus,238.7,GLC,Roman - Saxon,833 -- 966
142,ABMAP3008,Humerus,34.6,SD,Roman - Saxon,833 -- 966
188,ABMAP62,Humerus,32.3,SD,Roman - Saxon,775 -- 800
189,ABMAP63,Humerus,64.0,Bd,Roman - Saxon,775 -- 800
190,ABMAP63,Humerus,77.2,Bp,Roman - Saxon,775 -- 800
191,ABMAP63,Humerus,253.0,GLl,Roman - Saxon,775 -- 800
192,ABMAP63,Humerus,27.0,SD,Roman - Saxon,775 -- 800
194,ABMAP66,Humerus,77.8,Bd,Roman - Saxon,840 -- 860
199,ABMAP61,Humerus,82.0,Bd,Roman - Saxon,775 -- 800
200,ABMAP61,Humerus,276.0,GLl,Roman - Saxon,775 -- 800
201,ABMAP61,Humerus,39.0,SD,Roman - Saxon,775 -- 800
203,ABMAP65,Humerus,37.5,SD,Roman - Saxon,775 -- 800
206,ABMAP64,Humerus,82.6,Bd,Roman - Saxon,775 -- 800
218,ABMAP17237,Humerus,65.0,Bd,Bronze - Iron Age,-99 -- 99
219,ABMAP17237,Humerus,59.4,BT,Bronze - Iron Age,-99 -- 99
234,ABMAP17101,Humerus,66.2,Bd,Bronze - Iron Age,-99 -- 99
235,ABMAP17101,Humerus,66.0,BT,Bronze - Iron Age,-99 -- 99
236,ABMAP17101,Humerus,28.8,SD,Bronze - Iron Age,-99 -- 99
266,ABMAP30459,Humerus,73.8,Bd,Roman - Saxon,900 -- 1032
267,ABMAP30459,Humerus,68.2,BT,Roman - Saxon,900 -- 1032
268,ABMAP30459,Humerus,34.2,SD,Roman - Saxon,900 -- 1032
274,ABMAP30460,Humerus,69.4,Bd,Roman - Saxon,900 -- 1032
275,ABMAP30460,Humerus,62.2,BT,Roman - Saxon,900 -- 1032
279,ABMAP30461,Humerus,74.6,Bd,Roman - Saxon,900 -- 1032
280,ABMAP30461,Humerus,33.7,SD,Roman - Saxon,900 -- 1032
281,ABMAP26099,Humerus,42.7,SD,Roman - Saxon,733 -- 832
346,ABMAP26096,Humerus,68.4,BT,Roman - Saxon,733 -- 832
347,ABMAP26097,Humerus,71.3,Bd,Roman - Saxon,733 -- 832
348,ABMAP26097,Humerus,68.1,BT,Roman - Saxon,733 -- 832
362,ABMAP26098,Humerus,97.2,Bd,Roman - Saxon,733 -- 832
363,ABMAP26098,Humerus,72.8,BT,Roman - Saxon,733 -- 832
