,BONEID,ELEMENT,MEASURE,MEASTYPE,PERIOD,RANGE
73,ABMAP5470,Humerus,89.5,BT,Medieval,1500 -- 1901
107,ABMAP2157,Humerus,68.7,BT,Roman - Saxon,43 -- 199
114,ABMAP3076,Humerus,68.0,BT,Roman - Saxon,800 -- 999
140,ABMAP3008,Humerus,68.3,BT,Roman - Saxon,833 -- 966
219,ABMAP17237,Humerus,59.4,BT,Bronze - Iron Age,-99 -- 99
235,ABMAP17101,Humerus,66.0,BT,Bronze - Iron Age,-99 -- 99
267,ABMAP30459,Humerus,68.2,BT,Roman - Saxon,900 -- 1032
275,ABMAP30460,Humerus,62.2,BT,Roman - Saxon,900 -- 1032
346,ABMAP26096,Humerus,68.4,BT,Roman - Saxon,733 -- 832
348,ABMAP26097,Humerus,68.1,BT,Roman - Saxon,733 -- 832
363,ABMAP26098,Humerus,72.8,BT,Roman - Saxon,733 -- 832
478,ABMAP26497,Humerus,71.2,BT,Roman - Saxon,833 -- 932
536,ABMAP25537,Humerus,71.2,BT,Roman - Saxon,833 -- 932
568,ABMAP5428,Humerus,62.4,BT,Bronze - Iron Age,-800 -- 43
589,ABMAP2966,Humerus,68.5,BT,Roman - Saxon,900 -- 999
626,ABMAP2967,Humerus,65.1,BT,Medieval,1200 -- 1399
630,ABMAP2968,Humerus,65.4,BT,Medieval,1200 -- 1399
671,ABMAP2971,Humerus,68.3,BT,Medieval,1300 -- 1499
682,ABMAP16520,Humerus,68.7,BT,Roman - Saxon,950 -- 1139
712,ABMAP16372,Humerus,70.4,BT,Roman - Saxon,600 -- 1099
734,ABMAP20054,Humerus,83.5,BT,Medieval,1700 -- 1799
747,ABMAP20050,Humerus,93.3,BT,Medieval,1700 -- 1899
757,ABMAP20053,Humerus,84.2,BT,Medieval,1700 -- 1899
787,ABMAP482,Humerus,64.5,BT,Bronze - Iron Age,-100 -- -43
844,ABMAP579,Humerus,63.3,BT,Bronze - Iron Age,-100 -- -43
845,ABMAP580,Humerus,69.0,BT,Bronze - Iron Age,-100 -- -43
909,ABMAP28619,Humerus,66.5,BT,Medieval,1300 -- 1450
958,ABMAP29117,Humerus,65.4,BT,Medieval,1100 -- 1250
1026,ABMAP29285,Humerus,68.6,BT,Medieval,1450 -- 1800
1030,ABMAP29272,Humerus,74.1,BT,Medieval,1250 -- 1400
1088,ABMAP29365,Humerus,74.9,BT,Medieval,1100 -- 1250
1124,ABMAP29480,Humerus,62.8,BT,Medieval,1100 -- 1250
1140,ABMAP29141,Humerus,61.2,BT,Medieval,1100 -- 1250
1183,ABMAP29008,Humerus,69.9,BT,Medieval,1250 -- 1400
1198,ABMAP28704,Humerus,64.0,BT,Medieval,1300 -- 1450
1216,ABMAP28743,Humerus,69.9,BT,Medieval,1300 -- 1450
1264,ABMAP28817,Humerus,63.9,BT,Medieval,1100 -- 1250
1266,ABMAP28833,Humerus,73.8,BT,Medieval,1100 -- 1250
1273,ABMAP28981,Humerus,60.1,BT,Medieval,1250 -- 1400
1305,ABMAP28867,Humerus,69.7,BT,Medieval,1300 -- 1450
1368,ABMAP18144,Humerus,90.6,BT,Medieval,1600 -- 1799
1407,ABMAP16616,Humerus,65.3,BT,Medieval,1167 -- 1399
1634,ABMAP1867,Humerus,69.2,BT,Roman - Saxon,43 -- 410
1673,ABMAP1895,Humerus,75.5,BT,Roman - Saxon,43 -- 410
1680,ABMAP2964,Humerus,69.4,BT,Roman - Saxon,900 -- 999
1745,ABMAP18517,Humerus,69.7,BT,Bronze - Iron Age,-1000 -- -400
1771,ABMAP2969,Humerus,69.0,BT,Medieval,1300 -- 1399
1773,ABMAP2970,Humerus,71.5,BT,Medieval,1300 -- 1399
1787,ABMAP27074,Humerus,74.2,BT,Roman - Saxon,900 -- 1099
1837,ABMAP886,Humerus,75.6,BT,Roman - Saxon,43 -- 410
1854,ABMAP1015,Humerus,73.0,BT,Roman - Saxon,43 -- 410
1903,ABMAP738,Humerus,77.1,BT,Roman - Saxon,43 -- 410
1904,ABMAP739,Humerus,69.8,BT,Roman - Saxon,43 -- 410
2082,J_GRIMM_08WA58571-439,Humerus,82.7,BT,Roman - Saxon,43 -- 410
2105,J_GRIMM_08WA58720-28,Humerus,74.2,BT,Medieval,1075 -- 1125
2377,ABMAP14016,Humerus,65.1,BT,Roman - Saxon,43 -- 99
2401,ABMAP13904,Humerus,71.8,BT,Medieval,1300 -- 1499
2449,ABMAP14071,Humerus,64.0,BT,Medieval,1300 -- 1499
2460,ABMAP1450,Humerus,70.1,BT,Bronze - Iron Age,-100 -- -43
2477,ABMAP1463,Humerus,68.7,BT,Roman - Saxon,43 -- 199
2483,ABMAP1458,Humerus,60.1,BT,Roman - Saxon,43 -- 199
2521,ABMAP15758,Humerus,64.5,BT,Bronze - Iron Age,-400 -- -100
2534,ABMAP15709,Humerus,59.9,BT,Bronze - Iron Age,-400 -- -100
2572,ABMAP16270,Humerus,67.4,BT,Bronze - Iron Age,-400 -- -100
2578,ABMAP16240,Humerus,61.8,BT,Roman - Saxon,43 -- 410
2630,ABMAP16214,Humerus,69.1,BT,Bronze - Iron Age,-800 -- -400
2680,ABMAP16284,Humerus,69.3,BT,Bronze - Iron Age,-400 -- -100
2685,ABMAP16276,Humerus,64.6,BT,Bronze - Iron Age,-800 -- 43
2689,ABMAP15621,Humerus,72.5,BT,Bronze - Iron Age,-400 -- -100
2752,ABMAP16136,Humerus,62.9,BT,Bronze - Iron Age,-400 -- -100
2843,ABMAP9241,Humerus,67.9,BT,Bronze - Iron Age,0 -- 99
2862,ABMAP9240,Humerus,67.85,BT,Bronze - Iron Age,-99 -- 0
3057,ABMAP10841,Humerus,68.0,BT,Roman - Saxon,200 -- 410
3097,ABMAP3194,Humerus,70.6,BT,Roman - Saxon,400 -- 1066
