,BONEID,ELEMENT,MEASURE,MEASTYPE,PERIOD,RANGE
57,ABMAP16906,Humerus,77.1,Bd,Roman - Saxon,700 -- 899
72,ABMAP5470,Humerus,96.5,Bd,Medieval,1500 -- 1901
134,ABMAP3056,Humerus,78.8,Bd,Roman - Saxon,800 -- 999
139,ABMAP3008,Humerus,75.7,Bd,Roman - Saxon,833 -- 966
189,ABMAP63,Humerus,64.0,Bd,Roman - Saxon,775 -- 800
194,ABMAP66,Humerus,77.8,Bd,Roman - Saxon,840 -- 860
199,ABMAP61,Humerus,82.0,Bd,Roman - Saxon,775 -- 800
206,ABMAP64,Humerus,82.6,Bd,Roman - Saxon,775 -- 800
218,ABMAP17237,Humerus,65.0,Bd,Bronze - Iron Age,-99 -- 99
234,ABMAP17101,Humerus,66.2,Bd,Bronze - Iron Age,-99 -- 99
266,ABMAP30459,Humerus,73.8,Bd,Roman - Saxon,900 -- 1032
274,ABMAP30460,Humerus,69.4,Bd,Roman - Saxon,900 -- 1032
279,ABMAP30461,Humerus,74.6,Bd,Roman - Saxon,900 -- 1032
347,ABMAP26097,Humerus,71.3,Bd,Roman - Saxon,733 -- 832
362,ABMAP26098,Humerus,97.2,Bd,Roman - Saxon,733 -- 832
477,ABMAP26497,Humerus,76.6,Bd,Roman - Saxon,833 -- 932
535,ABMAP25537,Humerus,76.6,Bd,Roman - Saxon,833 -- 932
586,ABMAP2965,Humerus,105.0,Bd,Roman - Saxon,900 -- 999
588,ABMAP2966,Humerus,78.5,Bd,Roman - Saxon,900 -- 999
625,ABMAP2967,Humerus,73.4,Bd,Medieval,1200 -- 1399
629,ABMAP2968,Humerus,68.8,Bd,Medieval,1200 -- 1399
670,ABMAP2971,Humerus,69.6,Bd,Medieval,1300 -- 1499
681,ABMAP16520,Humerus,76.5,Bd,Roman - Saxon,950 -- 1139
711,ABMAP16372,Humerus,75.7,Bd,Roman - Saxon,600 -- 1099
733,ABMAP20054,Humerus,98.0,Bd,Medieval,1700 -- 1799
746,ABMAP20050,Humerus,100.0,Bd,Medieval,1700 -- 1899
755,ABMAP20052,Humerus,80.0,Bd,Medieval,1700 -- 1899
756,ABMAP20053,Humerus,92.0,Bd,Medieval,1700 -- 1899
1367,ABMAP18144,Humerus,103.7,Bd,Medieval,1600 -- 1799
1375,ABMAP3430,Humerus,69.44,Bd,Bronze - Iron Age,-800 -- 43
1406,ABMAP16616,Humerus,71.8,Bd,Medieval,1167 -- 1399
1633,ABMAP1867,Humerus,74.6,Bd,Roman - Saxon,43 -- 410
1672,ABMAP1895,Humerus,78.0,Bd,Roman - Saxon,43 -- 410
1679,ABMAP2964,Humerus,72.5,Bd,Roman - Saxon,900 -- 999
1744,ABMAP18517,Humerus,80.2,Bd,Bronze - Iron Age,-1000 -- -400
1770,ABMAP2969,Humerus,73.0,Bd,Medieval,1300 -- 1399
1772,ABMAP2970,Humerus,78.8,Bd,Medieval,1300 -- 1399
1786,ABMAP27074,Humerus,77.1,Bd,Roman - Saxon,900 -- 1099
2081,J_GRIMM_08WA58571-439,Humerus,91.0,Bd,Roman - Saxon,43 -- 410
2104,J_GRIMM_08WA58720-28,Humerus,81.0,Bd,Medieval,1075 -- 1125
2376,ABMAP14016,Humerus,66.5,Bd,Roman - Saxon,43 -- 99
2400,ABMAP13904,Humerus,79.0,Bd,Medieval,1300 -- 1499
2448,ABMAP14071,Humerus,68.5,Bd,Medieval,1300 -- 1499
2459,ABMAP1450,Humerus,76.0,Bd,Bronze - Iron Age,-100 -- -43
2482,ABMAP1458,Humerus,65.3,Bd,Roman - Saxon,43 -- 199
2508,ABMAP16121,Humerus,69.8,Bd,Bronze - Iron Age,-400 -- -100
2520,ABMAP15758,Humerus,68.0,Bd,Bronze - Iron Age,-400 -- -100
2532,ABMAP15709,Humerus,63.1,Bd,Bronze - Iron Age,-400 -- -100
2571,ABMAP16270,Humerus,72.2,Bd,Bronze - Iron Age,-400 -- -100
2577,ABMAP16240,Humerus,69.0,Bd,Roman - Saxon,43 -- 410
2679,ABMAP16284,Humerus,76.6,Bd,Bronze - Iron Age,-400 -- -100
2684,ABMAP16276,Humerus,67.4,Bd,Bronze - Iron Age,-800 -- 43
2688,ABMAP15621,Humerus,76.4,Bd,Bronze - Iron Age,-400 -- -100
2753,ABMAP8659,Humerus,68.0,Bd,Roman - Saxon,43 -- 100
2842,ABMAP9241,Humerus,74.95,Bd,Bronze - Iron Age,0 -- 99
2861,ABMAP9240,Humerus,75.25,Bd,Bronze - Iron Age,-99 -- 0
3055,ABMAP10841,Humerus,71.0,Bd,Roman - Saxon,200 -- 410
3096,ABMAP3194,Humerus,77.6,Bd,Roman - Saxon,400 -- 1066
