,BONEID,ELEMENT,MEASURE,MEASTYPE,PERIOD,RANGE
191,ABMAP63,Humerus,253.0,GLl,Roman - Saxon,775 -- 800
200,ABMAP61,Humerus,276.0,GLl,Roman - Saxon,775 -- 800
591,ABMAP2966,Humerus,210.0,GLl,Roman - Saxon,900 -- 999
627,ABMAP2967,Humerus,216.0,GLl,Medieval,1200 -- 1399
631,ABMAP2968,Humerus,214.0,GLl,Medieval,1200 -- 1399
673,ABMAP2971,Humerus,250.0,GLl,Medieval,1300 -- 1499
759,ABMAP20053,Humerus,318.0,GLl,Medieval,1700 -- 1899
1184,ABMAP29008,Humerus,269.3,GLl,Medieval,1250 -- 1400
1376,ABMAP3430,Humerus,265.0,GLl,Bronze - Iron Age,-800 -- 43
2107,J_GRIMM_08WA58720-28,Humerus,282.0,GLl,Medieval,1075 -- 1125
2536,ABMAP15709,Humerus,226.0,GLl,Bronze - Iron Age,-400 -- -100
2754,ABMAP8659,Humerus,261.0,GLl,Roman - Saxon,43 -- 100
3058,ABMAP10841,Humerus,266.0,GLl,Roman - Saxon,200 -- 410
