,BONEID,ELEMENT,MEASURE,MEASTYPE,PERIOD,RANGE
910,ABMAP28619,Humerus,35.4,HTC,Medieval,1300 -- 1450
959,ABMAP29117,Humerus,33.0,HTC,Medieval,1100 -- 1250
979,ABMAP29199,Humerus,32.8,HTC,Medieval,1250 -- 1400
1027,ABMAP29285,Humerus,32.8,HTC,Medieval,1450 -- 1800
1031,ABMAP29272,Humerus,36.6,HTC,Medieval,1250 -- 1400
1065,ABMAP29312,Humerus,34.7,HTC,Medieval,1250 -- 1400
1089,ABMAP29365,Humerus,39.4,HTC,Medieval,1100 -- 1250
1110,ABMAP29396,Humerus,38.8,HTC,Medieval,1100 -- 1250
1125,ABMAP29480,Humerus,35.2,HTC,Medieval,1100 -- 1250
1141,ABMAP29141,Humerus,34.3,HTC,Medieval,1100 -- 1250
1182,ABMAP29001,Humerus,34.0,HTC,Medieval,1250 -- 1400
1185,ABMAP29008,Humerus,33.8,HTC,Medieval,1250 -- 1400
1199,ABMAP28704,Humerus,32.6,HTC,Medieval,1300 -- 1450
1217,ABMAP28743,Humerus,34.8,HTC,Medieval,1300 -- 1450
1221,ABMAP28694,Humerus,36.2,HTC,Medieval,1250 -- 1400
1265,ABMAP28817,Humerus,32.7,HTC,Medieval,1100 -- 1250
1267,ABMAP28833,Humerus,40.1,HTC,Medieval,1100 -- 1250
1274,ABMAP28981,Humerus,30.2,HTC,Medieval,1250 -- 1400
1306,ABMAP28867,Humerus,34.4,HTC,Medieval,1300 -- 1450
