,BONEID,ELEMENT,MEASURE,MEASTYPE,PERIOD,RANGE
68,ABMAP5449,Humerus,30.5,SD,Bronze - Iron Age,-299 -- 42
136,ABMAP3056,Humerus,33.6,SD,Roman - Saxon,800 -- 999
142,ABMAP3008,Humerus,34.6,SD,Roman - Saxon,833 -- 966
188,ABMAP62,Humerus,32.3,SD,Roman - Saxon,775 -- 800
192,ABMAP63,Humerus,27.0,SD,Roman - Saxon,775 -- 800
201,ABMAP61,Humerus,39.0,SD,Roman - Saxon,775 -- 800
203,ABMAP65,Humerus,37.5,SD,Roman - Saxon,775 -- 800
236,ABMAP17101,Humerus,28.8,SD,Bronze - Iron Age,-99 -- 99
268,ABMAP30459,Humerus,34.2,SD,Roman - Saxon,900 -- 1032
280,ABMAP30461,Humerus,33.7,SD,Roman - Saxon,900 -- 1032
281,ABMAP26099,Humerus,42.7,SD,Roman - Saxon,733 -- 832
587,ABMAP2965,Humerus,40.0,SD,Roman - Saxon,900 -- 999
592,ABMAP2966,Humerus,33.5,SD,Roman - Saxon,900 -- 999
628,ABMAP2967,Humerus,36.5,SD,Medieval,1200 -- 1399
632,ABMAP2968,Humerus,32.3,SD,Medieval,1200 -- 1399
674,ABMAP2971,Humerus,33.5,SD,Medieval,1300 -- 1499
748,ABMAP20050,Humerus,41.9,SD,Medieval,1700 -- 1899
751,ABMAP20051,Humerus,34.1,SD,Medieval,1700 -- 1899
760,ABMAP20053,Humerus,41.9,SD,Medieval,1700 -- 1899
847,ABMAP580,Humerus,30.9,SD,Bronze - Iron Age,-100 -- -43
1369,ABMAP18144,Humerus,44.4,SD,Medieval,1600 -- 1799
1377,ABMAP3430,Humerus,32.65,SD,Bronze - Iron Age,-800 -- 43
1408,ABMAP16616,Humerus,29.2,SD,Medieval,1167 -- 1399
1681,ABMAP2964,Humerus,35.2,SD,Roman - Saxon,900 -- 999
1746,ABMAP18517,Humerus,33.0,SD,Bronze - Iron Age,-1000 -- -400
1774,ABMAP2970,Humerus,33.0,SD,Medieval,1300 -- 1399
2083,J_GRIMM_08WA58571-439,Humerus,41.6,SD,Roman - Saxon,43 -- 410
2108,J_GRIMM_08WA58720-28,Humerus,35.9,SD,Medieval,1075 -- 1125
2450,ABMAP14071,Humerus,30.4,SD,Medieval,1300 -- 1499
2537,ABMAP15709,Humerus,28.7,SD,Bronze - Iron Age,-400 -- -100
3059,ABMAP10841,Humerus,28.4,SD,Roman - Saxon,200 -- 410
3098,ABMAP3194,Humerus,34.6,SD,Roman - Saxon,400 -- 1066
