,BONEID,MEASURE,MEASTYPE,PERIOD,RANGE,Unnamed: 0,ELEMENT
0,ABMAP8671,54.3,BFd,Medieval,1540 -- 1699,0.0,Astragalus
3,ABMAP11926,52.3,BFd,Roman - Saxon,43 -- 410,39.0,Astragalus
6,ABMAP11927,52.3,BFd,Roman - Saxon,43 -- 410,42.0,Astragalus
9,ABMAP16908,53.0,BFd,Roman - Saxon,700 -- 899,60.0,Astragalus
13,ABMAP3089,45.5,BFd,Roman - Saxon,800 -- 999,132.0,Astragalus
19,ABMAP17212,41.0,BFd,Roman - Saxon,100 -- 299,214.0,Astragalus
49,ABMAP16580,45.6,BFd,Medieval,1139 -- 1200,705.0,Astragalus
55,ABMAP20059,53.7,BFd,Medieval,1700 -- 1899,752.0,Astragalus
61,ABMAP28908,50.6,BFd,Medieval,1100 -- 1250,902.0,Astragalus
65,ABMAP28622,41.6,BFd,Medieval,1300 -- 1450,911.0,Astragalus
69,ABMAP28553,49.4,BFd,Medieval,1450 -- 1800,923.0,Astragalus
73,ABMAP29028,46.3,BFd,Medieval,1250 -- 1400,936.0,Astragalus
77,ABMAP29029,51.5,BFd,Medieval,1300 -- 1450,940.0,Astragalus
81,ABMAP29039,49.7,BFd,Medieval,1250 -- 1400,948.0,Astragalus
85,ABMAP29059,44.5,BFd,Medieval,1250 -- 1400,953.0,Astragalus
89,ABMAP29061,50.0,BFd,Medieval,1250 -- 1400,957.0,Astragalus
90,ABMAP29446,48.1,BFd,Medieval,1100 -- 1250,981.0,Astragalus
94,ABMAP29254,47.4,BFd,Medieval,1300 -- 1450,1013.0,Astragalus
98,ABMAP29286,47.9,BFd,Medieval,1450 -- 1800,1038.0,Astragalus
102,ABMAP29310,52.4,BFd,Medieval,1250 -- 1400,1058.0,Astragalus
106,ABMAP29497,46.8,BFd,Medieval,1100 -- 1250,1129.0,Astragalus
107,ABMAP28751,53.0,BFd,Medieval,1250 -- 1400,1131.0,Astragalus
111,ABMAP28656,51.0,BFd,Medieval,1450 -- 1800,1187.0,Astragalus
115,ABMAP28959,47.5,BFd,Medieval,1100 -- 1250,1240.0,Astragalus
119,ABMAP28829,48.3,BFd,Medieval,1300 -- 1450,1259.0,Astragalus
123,ABMAP28996,45.8,BFd,Medieval,1100 -- 1250,1268.0,Astragalus
127,ABMAP28784,44.5,BFd,Medieval,1250 -- 1400,1278.0,Astragalus
131,ABMAP28858,45.2,BFd,Medieval,1100 -- 1250,1297.0,Astragalus
135,ABMAP28902,50.1,BFd,Medieval,1250 -- 1400,1323.0,Astragalus
139,ABMAP16631,44.5,BFd,Medieval,1367 -- 1499,1378.0,Astragalus
143,ABMAP16632,47.0,BFd,Medieval,1167 -- 1399,1400.0,Astragalus
145,ABMAP16633,47.6,BFd,Medieval,1033 -- 1199,1440.0,Astragalus
149,ABMAP16634,47.4,BFd,Medieval,1033 -- 1199,1444.0,Astragalus
156,ABMAP1863,52.0,BFd,Roman - Saxon,43 -- 410,1629.0,Astragalus
158,ABMAP1909,46.3,BFd,Roman - Saxon,43 -- 410,1667.0,Astragalus
163,ABMAP1391,47.9,BFd,Roman - Saxon,43 -- 410,1828.0,Astragalus
166,ABMAP1016,47.4,BFd,Roman - Saxon,43 -- 410,1855.0,Astragalus
169,J_GRIMM_08WA56530-278,48.8,BFd,Roman - Saxon,43 -- 200,2023.0,Astragalus
173,J_GRIMM_08WA56530-405,45.7,BFd,Roman - Saxon,200 -- 400,2027.0,Astragalus
176,J_GRIMM_08WA56530-1265,45.9,BFd,Roman - Saxon,300 -- 400,2047.0,Astragalus
180,J_GRIMM_08WA59480-2013,40.4,BFd,Bronze - Iron Age,100 -- 150,2188.0,Astragalus
183,J_GRIMM_08WA63220-1178,47.9,BFd,Roman - Saxon,850 -- 1066,2315.0,Astragalus
187,ABMAP1491,47.4,BFd,Roman - Saxon,43 -- 1066,2469.0,Astragalus
194,ABMAP15714,43.0,BFd,Bronze - Iron Age,-400 -- -100,2563.0,Astragalus
198,ABMAP15681,43.9,BFd,Bronze - Iron Age,-400 -- -100,2579.0,Astragalus
204,ABMAP15817,47.4,BFd,Roman - Saxon,43 -- 410,2701.0,Astragalus
208,ABMAP16077,47.4,BFd,Roman - Saxon,43 -- 410,2711.0,Astragalus
216,ABMAP432,43.3,BFd,Bronze - Iron Age,-50 -- 75,2808.0,Astragalus
219,ABMAP9254,45.0,BFd,Bronze - Iron Age,-99 -- 99,2858.0,Astragalus
222,ABMAP9253,45.75,BFd,Bronze - Iron Age,-99 -- 0,2868.0,Astragalus
225,ABMAP5550,51.0,BFd,Medieval,1540 -- 1901,3024.0,Astragalus
1,ABMAP8671,61.7,GB,Medieval,1540 -- 1699,1.0,Astragalus
4,ABMAP11926,60.0,GB,Roman - Saxon,43 -- 410,40.0,Astragalus
7,ABMAP11927,60.0,GB,Roman - Saxon,43 -- 410,43.0,Astragalus
10,ABMAP16908,63.7,GB,Roman - Saxon,700 -- 899,61.0,Astragalus
14,ABMAP3089,59.9,GB,Roman - Saxon,800 -- 999,133.0,Astragalus
15,ABMAP3119,60.9,GB,Roman - Saxon,43 -- 410,152.0,Astragalus
16,ABMAP75,63.6,GB,Roman - Saxon,840 -- 860,172.0,Astragalus
17,ABMAP74,65.0,GB,Roman - Saxon,840 -- 860,193.0,Astragalus
18,ABMAP73,59.0,GB,Roman - Saxon,775 -- 800,212.0,Astragalus
20,ABMAP17212,47.5,GB,Roman - Saxon,100 -- 299,215.0,Astragalus
26,ABMAP26001,62.4,GB,Roman - Saxon,700 -- 732,287.0,Astragalus
28,ABMAP26002,63.2,GB,Roman - Saxon,700 -- 732,289.0,Astragalus
30,ABMAP26123,58.9,GB,Roman - Saxon,733 -- 832,356.0,Astragalus
32,ABMAP26124,59.9,GB,Roman - Saxon,733 -- 832,377.0,Astragalus
35,ABMAP25551,57.7,GB,Roman - Saxon,833 -- 932,460.0,Astragalus
38,ABMAP26513,57.7,GB,Roman - Saxon,833 -- 932,512.0,Astragalus
41,ABMAP2984,51.4,GB,Roman - Saxon,900 -- 999,614.0,Astragalus
43,ABMAP2985,53.7,GB,Roman - Saxon,900 -- 999,616.0,Astragalus
45,ABMAP2986,60.0,GB,Medieval,1200 -- 1399,655.0,Astragalus
47,ABMAP2987,57.8,GB,Medieval,1200 -- 1399,657.0,Astragalus
50,ABMAP16580,56.7,GB,Medieval,1139 -- 1200,706.0,Astragalus
56,ABMAP20059,53.7,GB,Medieval,1700 -- 1899,753.0,Astragalus
58,ABMAP477,57.6,GB,Bronze - Iron Age,-100 -- -43,772.0,Astragalus
60,ABMAP481,50.6,GB,Bronze - Iron Age,-100 -- -43,786.0,Astragalus
62,ABMAP28908,55.9,GB,Medieval,1100 -- 1250,903.0,Astragalus
66,ABMAP28622,48.5,GB,Medieval,1300 -- 1450,912.0,Astragalus
70,ABMAP28553,58.8,GB,Medieval,1450 -- 1800,924.0,Astragalus
74,ABMAP29028,56.0,GB,Medieval,1250 -- 1400,937.0,Astragalus
78,ABMAP29029,58.9,GB,Medieval,1300 -- 1450,941.0,Astragalus
82,ABMAP29039,57.9,GB,Medieval,1250 -- 1400,949.0,Astragalus
86,ABMAP29059,50.1,GB,Medieval,1250 -- 1400,954.0,Astragalus
91,ABMAP29446,61.0,GB,Medieval,1100 -- 1250,982.0,Astragalus
95,ABMAP29254,56.5,GB,Medieval,1300 -- 1450,1014.0,Astragalus
99,ABMAP29286,55.3,GB,Medieval,1450 -- 1800,1039.0,Astragalus
103,ABMAP29310,59.0,GB,Medieval,1250 -- 1400,1059.0,Astragalus
108,ABMAP28751,59.9,GB,Medieval,1250 -- 1400,1132.0,Astragalus
112,ABMAP28656,58.6,GB,Medieval,1450 -- 1800,1188.0,Astragalus
116,ABMAP28959,55.2,GB,Medieval,1100 -- 1250,1241.0,Astragalus
120,ABMAP28829,57.7,GB,Medieval,1300 -- 1450,1260.0,Astragalus
124,ABMAP28996,57.1,GB,Medieval,1100 -- 1250,1269.0,Astragalus
128,ABMAP28784,51.2,GB,Medieval,1250 -- 1400,1279.0,Astragalus
132,ABMAP28858,56.6,GB,Medieval,1100 -- 1250,1298.0,Astragalus
136,ABMAP28902,55.5,GB,Medieval,1250 -- 1400,1324.0,Astragalus
140,ABMAP16631,52.3,GB,Medieval,1367 -- 1499,1379.0,Astragalus
146,ABMAP16633,55.9,GB,Medieval,1033 -- 1199,1441.0,Astragalus
150,ABMAP16634,54.1,GB,Medieval,1033 -- 1199,1445.0,Astragalus
155,ABMAP3276,62.9,GB,Roman - Saxon,400 -- 1066,1608.0,Astragalus
160,ABMAP27285,63.2,GB,Roman - Saxon,800 -- 999,1788.0,Astragalus
164,ABMAP1391,60.2,GB,Roman - Saxon,43 -- 410,1829.0,Astragalus
170,J_GRIMM_08WA56530-278,53.8,GB,Roman - Saxon,43 -- 200,2024.0,Astragalus
174,J_GRIMM_08WA56530-405,52.0,GB,Roman - Saxon,200 -- 400,2028.0,Astragalus
177,J_GRIMM_08WA56530-1265,58.8,GB,Roman - Saxon,300 -- 400,2048.0,Astragalus
181,J_GRIMM_08WA59480-2013,53.0,GB,Bronze - Iron Age,100 -- 150,2189.0,Astragalus
184,J_GRIMM_08WA63220-1178,57.0,GB,Roman - Saxon,850 -- 1066,2316.0,Astragalus
188,ABMAP1491,59.0,GB,Roman - Saxon,43 -- 1066,2470.0,Astragalus
191,ABMAP16282,53.7,GB,Bronze - Iron Age,-400 -- -100,2525.0,Astragalus
195,ABMAP15714,52.4,GB,Bronze - Iron Age,-400 -- -100,2564.0,Astragalus
199,ABMAP15681,51.2,GB,Bronze - Iron Age,-400 -- -100,2580.0,Astragalus
201,ABMAP16119,56.5,GB,Bronze - Iron Age,-800 -- 43,2681.0,Astragalus
205,ABMAP15817,56.2,GB,Roman - Saxon,43 -- 410,2702.0,Astragalus
209,ABMAP16077,56.2,GB,Roman - Saxon,43 -- 410,2712.0,Astragalus
212,ABMAP16153,53.9,GB,Bronze - Iron Age,-400 -- -100,2736.0,Astragalus
220,ABMAP9254,55.0,GB,Bronze - Iron Age,-99 -- 99,2859.0,Astragalus
223,ABMAP9253,54.05,GB,Bronze - Iron Age,-99 -- 0,2869.0,Astragalus
226,ABMAP5550,66.2,GB,Medieval,1540 -- 1901,3025.0,Astragalus
2,ABMAP8671,55.8,GH,Medieval,1540 -- 1699,2.0,Astragalus
5,ABMAP11926,59.5,GH,Roman - Saxon,43 -- 410,41.0,Astragalus
8,ABMAP11927,59.5,GH,Roman - Saxon,43 -- 410,44.0,Astragalus
11,ABMAP16908,59.2,GH,Roman - Saxon,700 -- 899,62.0,Astragalus
21,ABMAP17212,46.1,GH,Roman - Saxon,100 -- 299,216.0,Astragalus
33,ABMAP26124,57.2,GH,Roman - Saxon,733 -- 832,378.0,Astragalus
36,ABMAP25551,55.2,GH,Roman - Saxon,833 -- 932,461.0,Astragalus
39,ABMAP26513,55.2,GH,Roman - Saxon,833 -- 932,513.0,Astragalus
42,ABMAP2984,53.9,GH,Roman - Saxon,900 -- 999,615.0,Astragalus
44,ABMAP2985,52.8,GH,Roman - Saxon,900 -- 999,617.0,Astragalus
46,ABMAP2986,42.4,GH,Medieval,1200 -- 1399,656.0,Astragalus
48,ABMAP2987,50.6,GH,Medieval,1200 -- 1399,658.0,Astragalus
51,ABMAP16580,54.4,GH,Medieval,1139 -- 1200,707.0,Astragalus
63,ABMAP28908,57.4,GH,Medieval,1100 -- 1250,904.0,Astragalus
67,ABMAP28622,46.5,GH,Medieval,1300 -- 1450,913.0,Astragalus
71,ABMAP28553,58.8,GH,Medieval,1450 -- 1800,925.0,Astragalus
75,ABMAP29028,53.6,GH,Medieval,1250 -- 1400,938.0,Astragalus
79,ABMAP29029,53.7,GH,Medieval,1300 -- 1450,942.0,Astragalus
83,ABMAP29039,53.8,GH,Medieval,1250 -- 1400,950.0,Astragalus
87,ABMAP29059,47.5,GH,Medieval,1250 -- 1400,955.0,Astragalus
92,ABMAP29446,57.8,GH,Medieval,1100 -- 1250,983.0,Astragalus
96,ABMAP29254,55.4,GH,Medieval,1300 -- 1450,1015.0,Astragalus
100,ABMAP29286,51.0,GH,Medieval,1450 -- 1800,1040.0,Astragalus
104,ABMAP29310,57.5,GH,Medieval,1250 -- 1400,1060.0,Astragalus
109,ABMAP28751,55.3,GH,Medieval,1250 -- 1400,1133.0,Astragalus
113,ABMAP28656,56.9,GH,Medieval,1450 -- 1800,1189.0,Astragalus
117,ABMAP28959,57.3,GH,Medieval,1100 -- 1250,1242.0,Astragalus
121,ABMAP28829,54.4,GH,Medieval,1300 -- 1450,1261.0,Astragalus
125,ABMAP28996,51.0,GH,Medieval,1100 -- 1250,1270.0,Astragalus
129,ABMAP28784,47.1,GH,Medieval,1250 -- 1400,1280.0,Astragalus
133,ABMAP28858,54.1,GH,Medieval,1100 -- 1250,1299.0,Astragalus
137,ABMAP28902,51.4,GH,Medieval,1250 -- 1400,1325.0,Astragalus
141,ABMAP16631,49.5,GH,Medieval,1367 -- 1499,1380.0,Astragalus
147,ABMAP16633,52.7,GH,Medieval,1033 -- 1199,1442.0,Astragalus
151,ABMAP16634,53.5,GH,Medieval,1033 -- 1199,1446.0,Astragalus
153,ABMAP9506,57.6,GH,Roman - Saxon,367 -- 399,1524.0,Astragalus
154,ABMAP9507,57.5,GH,Roman - Saxon,367 -- 399,1525.0,Astragalus
157,ABMAP1863,57.1,GH,Roman - Saxon,43 -- 410,1630.0,Astragalus
159,ABMAP1909,49.6,GH,Roman - Saxon,43 -- 410,1668.0,Astragalus
161,ABMAP27285,58.0,GH,Roman - Saxon,800 -- 999,1789.0,Astragalus
165,ABMAP1391,56.1,GH,Roman - Saxon,43 -- 410,1830.0,Astragalus
168,ABMAP1016,52.4,GH,Roman - Saxon,43 -- 410,1857.0,Astragalus
171,J_GRIMM_08WA56530-278,51.0,GH,Roman - Saxon,43 -- 200,2025.0,Astragalus
175,J_GRIMM_08WA56530-405,53.0,GH,Roman - Saxon,200 -- 400,2029.0,Astragalus
178,J_GRIMM_08WA56530-1265,52.1,GH,Roman - Saxon,300 -- 400,2049.0,Astragalus
182,J_GRIMM_08WA59480-2013,49.0,GH,Bronze - Iron Age,100 -- 150,2190.0,Astragalus
185,J_GRIMM_08WA63220-1178,52.0,GH,Roman - Saxon,850 -- 1066,2317.0,Astragalus
189,ABMAP16094,50.9,GH,Bronze - Iron Age,-400 -- -100,2500.0,Astragalus
192,ABMAP16282,49.5,GH,Bronze - Iron Age,-400 -- -100,2526.0,Astragalus
196,ABMAP15714,44.4,GH,Bronze - Iron Age,-400 -- -100,2565.0,Astragalus
200,ABMAP15681,46.8,GH,Bronze - Iron Age,-400 -- -100,2581.0,Astragalus
202,ABMAP16119,51.3,GH,Bronze - Iron Age,-800 -- 43,2682.0,Astragalus
206,ABMAP15817,54.7,GH,Roman - Saxon,43 -- 410,2703.0,Astragalus
210,ABMAP16077,54.7,GH,Roman - Saxon,43 -- 410,2713.0,Astragalus
213,ABMAP16153,50.6,GH,Bronze - Iron Age,-400 -- -100,2737.0,Astragalus
215,ABMAP8663,63.0,GH,Roman - Saxon,43 -- 100,2763.0,Astragalus
217,ABMAP432,45.6,GH,Bronze - Iron Age,-50 -- 75,2809.0,Astragalus
221,ABMAP9254,54.25,GH,Bronze - Iron Age,-99 -- 99,2860.0,Astragalus
224,ABMAP9253,51.25,GH,Bronze - Iron Age,-99 -- 0,2870.0,Astragalus
227,ABMAP5550,56.2,GH,Medieval,1540 -- 1901,3026.0,Astragalus
12,ABMAP16908,62.7,LmT,Roman - Saxon,700 -- 899,63.0,Astragalus
22,ABMAP17212,46.8,LmT,Roman - Saxon,100 -- 299,217.0,Astragalus
23,ABMAP17206,47.1,LmT,Bronze - Iron Age,-99 -- 99,238.0,Astragalus
24,ABMAP25552,53.6,LmT,Roman - Saxon,833 -- 932,282.0,Astragalus
25,ABMAP26514,53.6,LmT,Roman - Saxon,833 -- 932,283.0,Astragalus
27,ABMAP26001,59.6,LmT,Roman - Saxon,700 -- 732,288.0,Astragalus
29,ABMAP26002,59.7,LmT,Roman - Saxon,700 -- 732,290.0,Astragalus
31,ABMAP26123,55.8,LmT,Roman - Saxon,733 -- 832,357.0,Astragalus
34,ABMAP26124,58.0,LmT,Roman - Saxon,733 -- 832,379.0,Astragalus
37,ABMAP25551,56.0,LmT,Roman - Saxon,833 -- 932,462.0,Astragalus
40,ABMAP26513,56.0,LmT,Roman - Saxon,833 -- 932,514.0,Astragalus
52,ABMAP16580,55.5,LmT,Medieval,1139 -- 1200,708.0,Astragalus
53,ABMAP16376,51.9,LmT,Roman - Saxon,600 -- 1099,710.0,Astragalus
54,ABMAP16375,56.0,LmT,Roman - Saxon,600 -- 1099,715.0,Astragalus
57,ABMAP20059,61.2,LmT,Medieval,1700 -- 1899,754.0,Astragalus
59,ABMAP477,56.5,LmT,Bronze - Iron Age,-100 -- -43,773.0,Astragalus
64,ABMAP28908,56.1,LmT,Medieval,1100 -- 1250,905.0,Astragalus
68,ABMAP28622,46.6,LmT,Medieval,1300 -- 1450,914.0,Astragalus
72,ABMAP28553,58.4,LmT,Medieval,1450 -- 1800,926.0,Astragalus
76,ABMAP29028,55.9,LmT,Medieval,1250 -- 1400,939.0,Astragalus
80,ABMAP29029,55.6,LmT,Medieval,1300 -- 1450,943.0,Astragalus
84,ABMAP29039,54.8,LmT,Medieval,1250 -- 1400,951.0,Astragalus
88,ABMAP29059,48.7,LmT,Medieval,1250 -- 1400,956.0,Astragalus
93,ABMAP29446,59.2,LmT,Medieval,1100 -- 1250,984.0,Astragalus
97,ABMAP29254,57.1,LmT,Medieval,1300 -- 1450,1016.0,Astragalus
101,ABMAP29286,54.5,LmT,Medieval,1450 -- 1800,1041.0,Astragalus
105,ABMAP29310,57.3,LmT,Medieval,1250 -- 1400,1061.0,Astragalus
110,ABMAP28751,57.1,LmT,Medieval,1250 -- 1400,1134.0,Astragalus
114,ABMAP28656,56.4,LmT,Medieval,1450 -- 1800,1190.0,Astragalus
118,ABMAP28959,56.3,LmT,Medieval,1100 -- 1250,1243.0,Astragalus
122,ABMAP28829,54.4,LmT,Medieval,1300 -- 1450,1262.0,Astragalus
126,ABMAP28996,54.2,LmT,Medieval,1100 -- 1250,1271.0,Astragalus
130,ABMAP28784,48.2,LmT,Medieval,1250 -- 1400,1281.0,Astragalus
134,ABMAP28858,55.7,LmT,Medieval,1100 -- 1250,1300.0,Astragalus
138,ABMAP28902,51.3,LmT,Medieval,1250 -- 1400,1326.0,Astragalus
142,ABMAP16631,50.5,LmT,Medieval,1367 -- 1499,1381.0,Astragalus
144,ABMAP16632,55.3,LmT,Medieval,1167 -- 1399,1401.0,Astragalus
148,ABMAP16633,56.2,LmT,Medieval,1033 -- 1199,1443.0,Astragalus
152,ABMAP16634,56.2,LmT,Medieval,1033 -- 1199,1447.0,Astragalus
162,ABMAP27285,59.0,LmT,Roman - Saxon,800 -- 999,1790.0,Astragalus
172,J_GRIMM_08WA56530-278,53.0,LmT,Roman - Saxon,43 -- 200,2026.0,Astragalus
179,J_GRIMM_08WA56530-1265,53.8,LmT,Roman - Saxon,300 -- 400,2050.0,Astragalus
190,ABMAP16094,52.2,LmT,Bronze - Iron Age,-400 -- -100,2501.0,Astragalus
193,ABMAP16282,50.9,LmT,Bronze - Iron Age,-400 -- -100,2527.0,Astragalus
197,ABMAP15714,46.5,LmT,Bronze - Iron Age,-400 -- -100,2566.0,Astragalus
203,ABMAP16119,51.3,LmT,Bronze - Iron Age,-800 -- 43,2683.0,Astragalus
207,ABMAP15817,55.1,LmT,Roman - Saxon,43 -- 410,2704.0,Astragalus
211,ABMAP16077,55.1,LmT,Roman - Saxon,43 -- 410,2714.0,Astragalus
214,ABMAP16153,50.6,LmT,Bronze - Iron Age,-400 -- -100,2738.0,Astragalus
218,ABMAP432,47.6,LmT,Bronze - Iron Age,-50 -- 75,2810.0,Astragalus
228,ABMAP5550,61.5,LmT,Medieval,1540 -- 1901,3027.0,Astragalus
