,BONEID,MEASURE,MEASTYPE,PERIOD,RANGE,Unnamed: 0,ELEMENT
4,ABMAP3087,85.8,Bd,Roman - Saxon,800 -- 999,125.0,Femur
12,ABMAP26116,109.5,Bd,Roman - Saxon,733 -- 832,344.0,Femur
16,ABMAP25547,91.0,Bd,Roman - Saxon,833 -- 932,448.0,Femur
20,ABMAP26508,91.0,Bd,Roman - Saxon,833 -- 932,498.0,Femur
26,ABMAP2973,105.0,Bd,Roman - Saxon,900 -- 999,594.0,Femur
33,ABMAP16577,95.0,Bd,Medieval,1139 -- 1200,699.0,Femur
34,ABMAP16578,115.0,Bd,Medieval,1139 -- 1200,700.0,Femur
42,ABMAP549,77.6,Bd,Bronze - Iron Age,-100 -- -43,893.0,Femur
47,ABMAP17512,108.4,Bd,Medieval,1600 -- 1799,1347.0,Femur
57,ABMAP16621,84.1,Bd,Medieval,1033 -- 1199,1418.0,Femur
58,ABMAP16622,83.5,Bd,Medieval,1033 -- 1199,1420.0,Femur
65,ABMAP28023,85.9,Bd,Roman - Saxon,800 -- 1066,1706.0,Femur
67,ABMAP1271,80.3,Bd,Roman - Saxon,43 -- 410,1937.0,Femur
69,ABMAP618,94.0,Bd,Roman - Saxon,43 -- 410,1945.0,Femur
75,ABMAP8848,98.0,Bd,Medieval,1066 -- 1540,1975.0,Femur
77,ABMAP8940,83.5,Bd,Bronze - Iron Age,-299 -- -100,1992.0,Femur
80,J_GRIMM_08WA56530-472,77.3,Bd,Roman - Saxon,300 -- 400,2030.0,Femur
91,ABMAP15712,74.4,Bd,Bronze - Iron Age,-400 -- -100,2552.0,Femur
96,ABMAP15579,77.1,Bd,Bronze - Iron Age,-400 -- -100,2590.0,Femur
101,ABMAP15790,83.1,Bd,Bronze - Iron Age,-400 -- -100,2653.0,Femur
102,ABMAP15622,81.0,Bd,Bronze - Iron Age,-400 -- -100,2700.0,Femur
103,ABMAP15689,78.5,Bd,Roman - Saxon,43 -- 410,2728.0,Femur
104,ABMAP9248,72.0,Bd,Bronze - Iron Age,0 -- 99,2844.0,Femur
5,ABMAP3087,113.9,Bp,Roman - Saxon,800 -- 999,126.0,Femur
14,ABMAP25546,118.4,Bp,Roman - Saxon,833 -- 932,446.0,Femur
24,ABMAP26509,118.4,Bp,Roman - Saxon,833 -- 932,502.0,Femur
35,ABMAP20055,144.0,Bp,Medieval,1700 -- 1799,722.0,Femur
40,ABMAP577,99.7,Bp,Bronze - Iron Age,-100 -- -43,838.0,Femur
43,ABMAP549,97.0,Bp,Bronze - Iron Age,-100 -- -43,894.0,Femur
48,ABMAP17512,134.3,Bp,Medieval,1600 -- 1799,1348.0,Femur
55,ABMAP17728,149.7,Bp,Medieval,1600 -- 1799,1370.0,Femur
59,ABMAP16622,101.7,Bp,Medieval,1033 -- 1199,1421.0,Femur
68,ABMAP1276,113.3,Bp,Roman - Saxon,43 -- 410,1940.0,Femur
70,ABMAP618,111.0,Bp,Roman - Saxon,43 -- 410,1946.0,Femur
99,ABMAP15789,96.0,Bp,Bronze - Iron Age,-400 -- -100,2651.0,Femur
2,ABMAP15415,52.5,DC,Roman - Saxon,100 -- 199,97.0,Femur
6,ABMAP3087,52.4,DC,Roman - Saxon,800 -- 999,127.0,Femur
9,ABMAP25997,55.2,DC,Roman - Saxon,700 -- 732,313.0,Femur
13,ABMAP26115,56.7,DC,Roman - Saxon,733 -- 832,371.0,Femur
15,ABMAP25546,54.6,DC,Roman - Saxon,833 -- 932,447.0,Femur
25,ABMAP26509,54.6,DC,Roman - Saxon,833 -- 932,503.0,Femur
30,ABMAP2975,50.7,DC,Medieval,1200 -- 1399,635.0,Femur
36,ABMAP20055,65.8,DC,Medieval,1700 -- 1799,723.0,Femur
41,ABMAP577,49.8,DC,Bronze - Iron Age,-100 -- -43,839.0,Femur
44,ABMAP549,44.5,DC,Bronze - Iron Age,-100 -- -43,895.0,Femur
49,ABMAP17512,67.9,DC,Medieval,1600 -- 1799,1349.0,Femur
54,ABMAP18343,52.6,DC,Medieval,1600 -- 1799,1366.0,Femur
56,ABMAP17728,73.0,DC,Medieval,1600 -- 1799,1371.0,Femur
60,ABMAP16622,52.4,DC,Medieval,1033 -- 1199,1422.0,Femur
64,ABMAP16620,53.6,DC,Medieval,1033 -- 1499,1492.0,Femur
66,ABMAP1025,54.5,DC,Roman - Saxon,43 -- 410,1872.0,Femur
71,ABMAP618,55.7,DC,Roman - Saxon,43 -- 410,1947.0,Femur
88,J_GRIMM_08WA60010-163,46.5,DC,Roman - Saxon,250 -- 410,2254.0,Femur
89,ABMAP14066,55.5,DC,Medieval,1300 -- 1499,2442.0,Femur
90,ABMAP14067,62.7,DC,Medieval,1300 -- 1499,2443.0,Femur
92,ABMAP15712,44.3,DC,Bronze - Iron Age,-400 -- -100,2553.0,Femur
97,ABMAP16283,51.6,DC,Bronze - Iron Age,-400 -- -100,2602.0,Femur
98,ABMAP15788,46.5,DC,Bronze - Iron Age,-400 -- -100,2650.0,Femur
100,ABMAP15789,46.4,DC,Bronze - Iron Age,-400 -- -100,2652.0,Femur
0,ABMAP11849,47.1,SD,Roman - Saxon,43 -- 410,18.0,Femur
1,ABMAP5452,32.0,SD,Bronze - Iron Age,-299 -- 42,66.0,Femur
3,ABMAP15415,44.0,SD,Roman - Saxon,100 -- 199,98.0,Femur
8,ABMAP3087,39.2,SD,Roman - Saxon,800 -- 999,129.0,Femur
11,ABMAP25997,41.5,SD,Roman - Saxon,700 -- 732,315.0,Femur
19,ABMAP25547,42.2,SD,Roman - Saxon,833 -- 932,451.0,Femur
23,ABMAP26508,42.2,SD,Roman - Saxon,833 -- 932,501.0,Femur
27,ABMAP2973,38.8,SD,Roman - Saxon,900 -- 999,595.0,Femur
29,ABMAP2974,39.9,SD,Medieval,1200 -- 1399,634.0,Femur
32,ABMAP2975,38.1,SD,Medieval,1200 -- 1399,637.0,Femur
39,ABMAP20055,54.9,SD,Medieval,1700 -- 1799,726.0,Femur
46,ABMAP549,35.3,SD,Bronze - Iron Age,-100 -- -43,897.0,Femur
52,ABMAP17512,49.7,SD,Medieval,1600 -- 1799,1352.0,Femur
53,ABMAP17677,53.2,SD,Medieval,1600 -- 1799,1364.0,Femur
63,ABMAP16622,39.3,SD,Medieval,1033 -- 1199,1425.0,Femur
74,ABMAP618,40.1,SD,Roman - Saxon,43 -- 410,1950.0,Femur
76,ABMAP8848,46.0,SD,Medieval,1066 -- 1540,1976.0,Femur
79,ABMAP8940,33.0,SD,Bronze - Iron Age,-299 -- -100,1994.0,Femur
81,J_GRIMM_08WA58571-826,36.4,SD,Bronze - Iron Age,100 -- 150,2066.0,Femur
83,J_GRIMM_08WA58720-27,32.9,SD,Medieval,1075 -- 1125,2125.0,Femur
85,J_GRIMM_08WA58720-25,38.1,SD,Medieval,1300 -- 1400,2130.0,Femur
87,J_GRIMM_08WA58720-26,40.0,SD,Roman - Saxon,43 -- 410,2134.0,Femur
95,ABMAP15712,31.9,SD,Bronze - Iron Age,-400 -- -100,2556.0,Femur
107,ABMAP10844,35.5,SD,Roman - Saxon,43 -- 410,3038.0,Femur
