,BONEID,MEASURE,MEASTYPE,PERIOD,RANGE,Unnamed: 0,ELEMENT
2,ABMAP15378,49.7,Bd,Roman - Saxon,43 -- 410,81.0,First phalanx
9,ABMAP15393,46.6,Bd,Roman - Saxon,43 -- 410,91.0,First phalanx
15,ABMAP3077,44.1,Bd,Roman - Saxon,800 -- 999,115.0,First phalanx
19,ABMAP17357,36.5,Bd,Bronze - Iron Age,-99 -- 99,221.0,First phalanx
23,ABMAP17372,44.9,Bd,Roman - Saxon,43 -- 410,239.0,First phalanx
28,ABMAP17348,51.0,Bd,Bronze - Iron Age,-800 -- -100,257.0,First phalanx
35,ABMAP26111,46.3,Bd,Roman - Saxon,733 -- 832,299.0,First phalanx
42,ABMAP25993,42.4,Bd,Roman - Saxon,700 -- 732,316.0,First phalanx
49,ABMAP25994,47.0,Bd,Roman - Saxon,700 -- 732,337.0,First phalanx
56,ABMAP26108,43.7,Bd,Roman - Saxon,733 -- 832,364.0,First phalanx
63,ABMAP26113,45.7,Bd,Roman - Saxon,733 -- 832,385.0,First phalanx
67,ABMAP26505,43.0,Bd,Roman - Saxon,833 -- 932,420.0,First phalanx
74,ABMAP25544,46.4,Bd,Roman - Saxon,833 -- 932,434.0,First phalanx
79,ABMAP25545,47.1,Bd,Roman - Saxon,833 -- 932,439.0,First phalanx
86,ABMAP26506,47.1,Bd,Roman - Saxon,833 -- 932,486.0,First phalanx
93,ABMAP26507,46.4,Bd,Roman - Saxon,833 -- 932,493.0,First phalanx
98,ABMAP26109,45.9,Bd,Roman - Saxon,733 -- 832,529.0,First phalanx
104,ABMAP26110,46.7,Bd,Roman - Saxon,733 -- 832,539.0,First phalanx
109,ABMAP26112,45.7,Bd,Roman - Saxon,733 -- 832,544.0,First phalanx
114,ABMAP25992,42.9,Bd,Roman - Saxon,700 -- 732,552.0,First phalanx
136,ABMAP16373,44.3,Bd,Roman - Saxon,600 -- 1099,687.0,First phalanx
143,ABMAP20064,48.8,Bd,Medieval,1700 -- 1799,716.0,First phalanx
153,ABMAP576,46.7,Bd,Bronze - Iron Age,-100 -- -43,833.0,First phalanx
158,ABMAP28639,41.3,Bd,Medieval,1250 -- 1400,915.0,First phalanx
161,ABMAP28652,45.1,Bd,Medieval,1250 -- 1400,921.0,First phalanx
163,ABMAP29017,39.7,Bd,Medieval,1250 -- 1400,931.0,First phalanx
166,ABMAP29026,37.7,Bd,Medieval,1300 -- 1450,934.0,First phalanx
168,ABMAP29124,40.6,Bd,Roman - Saxon,400 -- 1066,960.0,First phalanx
174,ABMAP29233,44.9,Bd,Medieval,1450 -- 1800,989.0,First phalanx
179,ABMAP29244,41.5,Bd,Medieval,1300 -- 1450,1001.0,First phalanx
183,ABMAP29288,40.7,Bd,Medieval,1250 -- 1400,1042.0,First phalanx
186,ABMAP29298,42.2,Bd,Medieval,1250 -- 1400,1046.0,First phalanx
189,ABMAP29304,36.7,Bd,Medieval,1250 -- 1400,1051.0,First phalanx
192,ABMAP29306,39.6,Bd,Medieval,1250 -- 1400,1054.0,First phalanx
195,ABMAP29311,38.9,Bd,Medieval,1250 -- 1400,1062.0,First phalanx
198,ABMAP29315,38.1,Bd,Medieval,1100 -- 1250,1066.0,First phalanx
201,ABMAP29322,40.5,Bd,Medieval,1250 -- 1400,1074.0,First phalanx
203,ABMAP29331,39.6,Bd,Medieval,1250 -- 1400,1076.0,First phalanx
208,ABMAP29347,41.9,Bd,Medieval,1100 -- 1250,1082.0,First phalanx
211,ABMAP29357,38.0,Bd,Medieval,1100 -- 1250,1085.0,First phalanx
214,ABMAP29366,42.3,Bd,Medieval,1100 -- 1250,1090.0,First phalanx
217,ABMAP29388,44.7,Bd,Medieval,1100 -- 1250,1103.0,First phalanx
220,ABMAP29398,44.8,Bd,Medieval,1100 -- 1250,1111.0,First phalanx
222,ABMAP29399,39.6,Bd,Medieval,1100 -- 1250,1113.0,First phalanx
225,ABMAP29413,38.0,Bd,Medieval,1100 -- 1250,1118.0,First phalanx
228,ABMAP29493,37.6,Bd,Medieval,1100 -- 1250,1126.0,First phalanx
233,ABMAP29518,40.0,Bd,Roman - Saxon,950 -- 1100,1149.0,First phalanx
236,ABMAP29508,42.1,Bd,Roman - Saxon,950 -- 1100,1169.0,First phalanx
239,ABMAP28658,41.3,Bd,Medieval,1450 -- 1800,1191.0,First phalanx
242,ABMAP28679,36.1,Bd,Medieval,1300 -- 1450,1195.0,First phalanx
245,ABMAP28707,41.0,Bd,Medieval,1300 -- 1450,1200.0,First phalanx
248,ABMAP28732,36.4,Bd,Medieval,1300 -- 1450,1204.0,First phalanx
251,ABMAP28740,40.6,Bd,Medieval,1300 -- 1450,1208.0,First phalanx
254,ABMAP28742,41.1,Bd,Medieval,1300 -- 1450,1213.0,First phalanx
257,ABMAP28984,40.6,Bd,Medieval,1450 -- 1800,1230.0,First phalanx
260,ABMAP28744,39.4,Bd,Medieval,1250 -- 1400,1275.0,First phalanx
264,ABMAP28872,39.0,Bd,Medieval,1250 -- 1400,1307.0,First phalanx
270,ABMAP28894,38.0,Bd,Medieval,1250 -- 1400,1320.0,First phalanx
273,ABMAP28942,44.0,Bd,Medieval,1100 -- 1250,1333.0,First phalanx
276,ABMAP28934,42.0,Bd,Medieval,1100 -- 1250,1336.0,First phalanx
279,ABMAP28936,45.6,Bd,Medieval,1100 -- 1250,1339.0,First phalanx
282,ABMAP18428,47.4,Bd,Medieval,1600 -- 1799,1344.0,First phalanx
284,ABMAP18417,54.4,Bd,Medieval,1600 -- 1799,1359.0,First phalanx
295,ABMAP16644,41.8,Bd,Medieval,1033 -- 1199,1461.0,First phalanx
301,ABMAP16645,40.9,Bd,Medieval,1033 -- 1199,1467.0,First phalanx
311,ABMAP28265,43.0,Bd,Roman - Saxon,850 -- 899,1616.0,First phalanx
318,ABMAP13143,46.4,Bd,Roman - Saxon,650 -- 850,1693.0,First phalanx
328,ABMAP18525,45.3,Bd,Bronze - Iron Age,-1000 -- -400,1760.0,First phalanx
335,ABMAP27182,44.7,Bd,Roman - Saxon,900 -- 1099,1781.0,First phalanx
340,ABMAP27183,48.4,Bd,Roman - Saxon,900 -- 1099,1798.0,First phalanx
345,ABMAP27209,44.8,Bd,Roman - Saxon,900 -- 1099,1826.0,First phalanx
347,ABMAP1429,48.0,Bd,Roman - Saxon,43 -- 410,1847.0,First phalanx
351,ABMAP1040,46.3,Bd,Roman - Saxon,43 -- 410,1877.0,First phalanx
354,ABMAP1334,44.6,Bd,Roman - Saxon,43 -- 410,1899.0,First phalanx
362,J_GRIMM_08WA56530-1264,41.5,Bd,Roman - Saxon,300 -- 400,2040.0,First phalanx
369,J_GRIMM_08WA57960-177,40.0,Bd,Medieval,1225 -- 1350,2057.0,First phalanx
372,J_GRIMM_08WA58571-59,47.2,Bd,Roman - Saxon,43 -- 410,2067.0,First phalanx
378,J_GRIMM_08WA58720-23,39.8,Bd,Medieval,1400 -- 1500,2090.0,First phalanx
384,J_GRIMM_08WA59480-2,39.6,Bd,Roman - Saxon,43 -- 150,2135.0,First phalanx
392,J_GRIMM_08WA59480-847,39.3,Bd,Bronze - Iron Age,100 -- 150,2149.0,First phalanx
399,J_GRIMM_08WA59480-1527,41.7,Bd,Bronze - Iron Age,-100 -- 43,2181.0,First phalanx
406,J_GRIMM_08WA59480-938,43.5,Bd,Bronze - Iron Age,100 -- 150,2191.0,First phalanx
413,J_GRIMM_08WA59480-939,41.0,Bd,Bronze - Iron Age,100 -- 150,2198.0,First phalanx
420,J_GRIMM_08WA59480-940,46.7,Bd,Bronze - Iron Age,100 -- 150,2205.0,First phalanx
427,J_GRIMM_08WA59480-941,42.4,Bd,Bronze - Iron Age,100 -- 150,2212.0,First phalanx
434,J_GRIMM_08WA59480-942,42.0,Bd,Bronze - Iron Age,100 -- 150,2219.0,First phalanx
441,J_GRIMM_08WA59480-943,40.9,Bd,Bronze - Iron Age,100 -- 150,2226.0,First phalanx
448,J_GRIMM_08WA61900-246,48.5,Bd,Roman - Saxon,43 -- 410,2286.0,First phalanx
455,J_GRIMM_08WA61900-193,46.0,Bd,Medieval,1066 -- 1499,2301.0,First phalanx
462,J_GRIMM_08WA63220-730,30.6,Bd,Roman - Saxon,850 -- 1066,2311.0,First phalanx
466,J_GRIMM_08WA63220-5165,48.9,Bd,Roman - Saxon,850 -- 1066,2330.0,First phalanx
474,ABMAP9652,50.2,Bd,Medieval,1000 -- 1199,2366.0,First phalanx
481,ABMAP13874,47.0,Bd,Medieval,1300 -- 1499,2378.0,First phalanx
488,ABMAP13905,44.8,Bd,Medieval,1300 -- 1499,2402.0,First phalanx
495,ABMAP1489,42.0,Bd,Roman - Saxon,43 -- 1066,2463.0,First phalanx
499,ABMAP1542,41.1,Bd,Roman - Saxon,100 -- 399,2478.0,First phalanx
