,BONEID,MEASURE,MEASTYPE,PERIOD,RANGE,Unnamed: 0,ELEMENT
3,ABMAP5470,89.5,BT,Medieval,1500 -- 1901,73.0,Humerus
4,ABMAP2157,68.7,BT,Roman - Saxon,43 -- 199,107.0,Humerus
5,ABMAP3076,68.0,BT,Roman - Saxon,800 -- 999,114.0,Humerus
10,ABMAP3008,68.3,BT,Roman - Saxon,833 -- 966,140.0,Humerus
25,ABMAP17237,59.4,BT,Bronze - Iron Age,-99 -- 99,219.0,Humerus
27,ABMAP17101,66.0,BT,Bronze - Iron Age,-99 -- 99,235.0,Humerus
30,ABMAP30459,68.2,BT,Roman - Saxon,900 -- 1032,267.0,Humerus
33,ABMAP30460,62.2,BT,Roman - Saxon,900 -- 1032,275.0,Humerus
37,ABMAP26096,68.4,BT,Roman - Saxon,733 -- 832,346.0,Humerus
39,ABMAP26097,68.1,BT,Roman - Saxon,733 -- 832,348.0,Humerus
41,ABMAP26098,72.8,BT,Roman - Saxon,733 -- 832,363.0,Humerus
43,ABMAP26497,71.2,BT,Roman - Saxon,833 -- 932,478.0,Humerus
45,ABMAP25537,71.2,BT,Roman - Saxon,833 -- 932,536.0,Humerus
46,ABMAP5428,62.4,BT,Bronze - Iron Age,-800 -- 43,568.0,Humerus
50,ABMAP2966,68.5,BT,Roman - Saxon,900 -- 999,589.0,Humerus
55,ABMAP2967,65.1,BT,Medieval,1200 -- 1399,626.0,Humerus
59,ABMAP2968,65.4,BT,Medieval,1200 -- 1399,630.0,Humerus
63,ABMAP2971,68.3,BT,Medieval,1300 -- 1499,671.0,Humerus
68,ABMAP16520,68.7,BT,Roman - Saxon,950 -- 1139,682.0,Humerus
70,ABMAP16372,70.4,BT,Roman - Saxon,600 -- 1099,712.0,Humerus
72,ABMAP20054,83.5,BT,Medieval,1700 -- 1799,734.0,Humerus
74,ABMAP20050,93.3,BT,Medieval,1700 -- 1899,747.0,Humerus
79,ABMAP20053,84.2,BT,Medieval,1700 -- 1899,757.0,Humerus
83,ABMAP482,64.5,BT,Bronze - Iron Age,-100 -- -43,787.0,Humerus
84,ABMAP579,63.3,BT,Bronze - Iron Age,-100 -- -43,844.0,Humerus
85,ABMAP580,69.0,BT,Bronze - Iron Age,-100 -- -43,845.0,Humerus
88,ABMAP28619,66.5,BT,Medieval,1300 -- 1450,909.0,Humerus
90,ABMAP29117,65.4,BT,Medieval,1100 -- 1250,958.0,Humerus
93,ABMAP29285,68.6,BT,Medieval,1450 -- 1800,1026.0,Humerus
95,ABMAP29272,74.1,BT,Medieval,1250 -- 1400,1030.0,Humerus
98,ABMAP29365,74.9,BT,Medieval,1100 -- 1250,1088.0,Humerus
101,ABMAP29480,62.8,BT,Medieval,1100 -- 1250,1124.0,Humerus
103,ABMAP29141,61.2,BT,Medieval,1100 -- 1250,1140.0,Humerus
106,ABMAP29008,69.9,BT,Medieval,1250 -- 1400,1183.0,Humerus
109,ABMAP28704,64.0,BT,Medieval,1300 -- 1450,1198.0,Humerus
111,ABMAP28743,69.9,BT,Medieval,1300 -- 1450,1216.0,Humerus
114,ABMAP28817,63.9,BT,Medieval,1100 -- 1250,1264.0,Humerus
116,ABMAP28833,73.8,BT,Medieval,1100 -- 1250,1266.0,Humerus
118,ABMAP28981,60.1,BT,Medieval,1250 -- 1400,1273.0,Humerus
120,ABMAP28867,69.7,BT,Medieval,1300 -- 1450,1305.0,Humerus
123,ABMAP18144,90.6,BT,Medieval,1600 -- 1799,1368.0,Humerus
129,ABMAP16616,65.3,BT,Medieval,1167 -- 1399,1407.0,Humerus
132,ABMAP1867,69.2,BT,Roman - Saxon,43 -- 410,1634.0,Humerus
134,ABMAP1895,75.5,BT,Roman - Saxon,43 -- 410,1673.0,Humerus
136,ABMAP2964,69.4,BT,Roman - Saxon,900 -- 999,1680.0,Humerus
139,ABMAP18517,69.7,BT,Bronze - Iron Age,-1000 -- -400,1745.0,Humerus
142,ABMAP2969,69.0,BT,Medieval,1300 -- 1399,1771.0,Humerus
144,ABMAP2970,71.5,BT,Medieval,1300 -- 1399,1773.0,Humerus
147,ABMAP27074,74.2,BT,Roman - Saxon,900 -- 1099,1787.0,Humerus
