,BONEID,MEASURE,MEASTYPE,PERIOD,RANGE,Unnamed: 0,ELEMENT
0,ABMAP5466,50.5,LA,Bronze - Iron Age,-299 -- 99,71.0,Pelvis
1,ABMAP67,73.0,LA,Roman - Saxon,775 -- 800,213.0,Pelvis
2,ABMAP17296,62.0,LA,Bronze - Iron Age,-99 -- 99,244.0,Pelvis
4,ABMAP17049,63.6,LA,Bronze - Iron Age,-800 -- -100,247.0,Pelvis
7,ABMAP25995,61.1,LA,Roman - Saxon,700 -- 732,323.0,Pelvis
11,ABMAP25996,63.8,LA,Roman - Saxon,700 -- 732,327.0,Pelvis
36,ABMAP28123,60.4,LA,Roman - Saxon,800 -- 1066,1704.0,Pelvis
38,ABMAP18526,62.0,LA,Bronze - Iron Age,-1000 -- -400,1767.0,Pelvis
45,J_GRIMM_08WA63661-210,55.0,LA,Bronze - Iron Age,-700 -- -100,2349.0,Pelvis
56,ABMAP27257,62.5,LA,Roman - Saxon,800 -- 999,3071.0,Pelvis
3,ABMAP17296,57.9,LAR,Bronze - Iron Age,-99 -- 99,245.0,Pelvis
8,ABMAP25995,58.3,LAR,Roman - Saxon,700 -- 732,324.0,Pelvis
12,ABMAP25996,60.6,LAR,Roman - Saxon,700 -- 732,328.0,Pelvis
15,ABMAP2972,55.4,LAR,Roman - Saxon,900 -- 999,593.0,Pelvis
16,ABMAP29180,56.7,LAR,Medieval,1100 -- 1250,975.0,Pelvis
17,ABMAP29181,58.9,LAR,Medieval,1100 -- 1250,976.0,Pelvis
18,ABMAP29448,58.4,LAR,Medieval,1100 -- 1250,986.0,Pelvis
19,ABMAP29239,57.3,LAR,Medieval,1250 -- 1400,1000.0,Pelvis
20,ABMAP29296,53.9,LAR,Medieval,1250 -- 1400,1045.0,Pelvis
21,ABMAP29318,57.6,LAR,Medieval,1250 -- 1400,1069.0,Pelvis
22,ABMAP29333,56.2,LAR,Medieval,1100 -- 1250,1079.0,Pelvis
23,ABMAP29374,58.8,LAR,Medieval,1100 -- 1250,1096.0,Pelvis
24,ABMAP29407,55.8,LAR,Medieval,1450 -- 1800,1117.0,Pelvis
25,ABMAP29205,56.1,LAR,Medieval,1100 -- 1250,1130.0,Pelvis
26,ABMAP29487,60.7,LAR,Medieval,1100 -- 1250,1136.0,Pelvis
27,ABMAP28695,56.1,LAR,Medieval,1250 -- 1400,1222.0,Pelvis
28,ABMAP28830,55.6,LAR,Medieval,1300 -- 1450,1263.0,Pelvis
29,ABMAP28860,55.2,LAR,Medieval,1100 -- 1250,1301.0,Pelvis
30,ABMAP28879,54.1,LAR,Medieval,1250 -- 1400,1314.0,Pelvis
31,ABMAP28904,49.8,LAR,Medieval,1250 -- 1400,1327.0,Pelvis
32,ABMAP28935,63.0,LAR,Medieval,1100 -- 1250,1332.0,Pelvis
35,ABMAP16619,52.0,LAR,Medieval,1033 -- 1499,1491.0,Pelvis
37,ABMAP28123,55.4,LAR,Roman - Saxon,800 -- 1066,1705.0,Pelvis
39,ABMAP18526,57.4,LAR,Bronze - Iron Age,-1000 -- -400,1768.0,Pelvis
41,ABMAP9043,46.0,LAR,Bronze - Iron Age,-299 -- -100,1986.0,Pelvis
47,J_GRIMM_08WA64560-1024,62.8,LAR,Roman - Saxon,410 -- 1066,2357.0,Pelvis
52,J_GRIMM_08WA64560-817,63.4,LAR,Roman - Saxon,410 -- 1066,2362.0,Pelvis
57,ABMAP27257,57.6,LAR,Roman - Saxon,800 -- 999,3072.0,Pelvis
5,ABMAP17049,20.9,SB,Bronze - Iron Age,-800 -- -100,248.0,Pelvis
9,ABMAP25995,25.2,SB,Roman - Saxon,700 -- 732,325.0,Pelvis
13,ABMAP25996,24.8,SB,Roman - Saxon,700 -- 732,329.0,Pelvis
33,ABMAP17998,27.5,SB,Medieval,1600 -- 1799,1353.0,Pelvis
40,ABMAP18526,23.8,SB,Bronze - Iron Age,-1000 -- -400,1769.0,Pelvis
42,J_GRIMM_08WA61900-261,20.6,SB,Medieval,1066 -- 1499,2290.0,Pelvis
49,J_GRIMM_08WA64560-1024,27.8,SB,Roman - Saxon,410 -- 1066,2359.0,Pelvis
53,J_GRIMM_08WA64560-817,25.6,SB,Roman - Saxon,410 -- 1066,2363.0,Pelvis
6,ABMAP17049,41.7,SH,Bronze - Iron Age,-800 -- -100,249.0,Pelvis
10,ABMAP25995,35.5,SH,Roman - Saxon,700 -- 732,326.0,Pelvis
14,ABMAP25996,36.6,SH,Roman - Saxon,700 -- 732,330.0,Pelvis
34,ABMAP17998,41.7,SH,Medieval,1600 -- 1799,1354.0,Pelvis
44,J_GRIMM_08WA61900-261,26.6,SH,Medieval,1066 -- 1499,2292.0,Pelvis
51,J_GRIMM_08WA64560-1024,47.9,SH,Roman - Saxon,410 -- 1066,2361.0,Pelvis
55,J_GRIMM_08WA64560-817,39.1,SH,Roman - Saxon,410 -- 1066,2365.0,Pelvis
