,BONEID,MEASURE,MEASTYPE,PERIOD,RANGE,Unnamed: 0,ELEMENT
2,ABMAP15381,41.7,BG,Roman - Saxon,43 -- 410,88.0,Scapula
5,ABMAP3086,42.0,BG,Roman - Saxon,800 -- 999,122.0,Scapula
9,ABMAP58,46.0,BG,Roman - Saxon,775 -- 800,173.0,Scapula
13,ABMAP57,46.1,BG,Roman - Saxon,775 -- 800,202.0,Scapula
15,ABMAP17096,44.6,BG,Bronze - Iron Age,-99 -- 99,228.0,Scapula
19,ABMAP2962,44.5,BG,Roman - Saxon,900 -- 999,582.0,Scapula
23,ABMAP2963,46.3,BG,Roman - Saxon,900 -- 999,666.0,Scapula
27,ABMAP475,47.3,BG,Bronze - Iron Age,-100 -- -43,767.0,Scapula
31,ABMAP521,43.8,BG,Bronze - Iron Age,-100 -- -43,819.0,Scapula
36,ABMAP21043,49.4,BG,Medieval,1066 -- 1540,898.0,Scapula
53,ABMAP18119,53.5,BG,Medieval,1600 -- 1799,1355.0,Scapula
58,ABMAP16613,39.1,BG,Medieval,1033 -- 1199,1386.0,Scapula
61,ABMAP16614,44.7,BG,Medieval,1167 -- 1399,1391.0,Scapula
64,ABMAP16610,40.3,BG,Medieval,1167 -- 1399,1474.0,Scapula
67,ABMAP16611,41.5,BG,Medieval,1167 -- 1399,1493.0,Scapula
69,ABMAP3274,47.7,BG,Roman - Saxon,400 -- 1066,1609.0,Scapula
73,ABMAP1926,43.3,BG,Roman - Saxon,43 -- 410,1650.0,Scapula
77,ABMAP13142,47.8,BG,Roman - Saxon,650 -- 850,1686.0,Scapula
80,ABMAP28118,41.3,BG,Roman - Saxon,800 -- 1066,1700.0,Scapula
85,ABMAP28085,41.6,BG,Roman - Saxon,800 -- 1066,1709.0,Scapula
89,ABMAP18516,36.3,BG,Bronze - Iron Age,-1000 -- -400,1740.0,Scapula
93,ABMAP27806,47.7,BG,Roman - Saxon,950 -- 980,1803.0,Scapula
102,ABMAP1144,48.5,BG,Roman - Saxon,43 -- 410,1880.0,Scapula
106,ABMAP1161,41.4,BG,Roman - Saxon,43 -- 410,1884.0,Scapula
110,ABMAP1162,48.5,BG,Roman - Saxon,43 -- 410,1888.0,Scapula
114,ABMAP1163,38.3,BG,Roman - Saxon,43 -- 410,1892.0,Scapula
118,ABMAP1332,44.2,BG,Roman - Saxon,43 -- 410,1896.0,Scapula
119,ABMAP737,48.2,BG,Roman - Saxon,43 -- 410,1902.0,Scapula
120,ABMAP1064,43.2,BG,Roman - Saxon,43 -- 410,1951.0,Scapula
