,BONEID,ELEMENT,MEASURE,MEASTYPE,PERIOD,RANGE
5,ABMAP2024,Metacarpal,48.3,Bd,Roman - Saxon,43 -- 410
33,ABMAP11924,Metacarpal,48.3,Bd,Roman - Saxon,43 -- 410
36,ABMAP11925,Metacarpal,48.3,Bd,Roman - Saxon,43 -- 410
109,ABMAP2145,Metacarpal,44.0,Bd,Roman - Saxon,267 -- 399
156,ABMAP79,Metacarpal,48.3,Bd,Roman - Saxon,775 -- 800
163,ABMAP80,Metacarpal,48.0,Bd,Roman - Saxon,775 -- 800
167,ABMAP81,Metacarpal,48.7,Bd,Roman - Saxon,775 -- 800
183,ABMAP82,Metacarpal,48.8,Bd,Roman - Saxon,775 -- 800
269,ABMAP30462,Metacarpal,47.5,Bd,Roman - Saxon,900 -- 1032
306,ABMAP25991,Metacarpal,45.3,Bd,Roman - Saxon,700 -- 732
398,ABMAP25542,Metacarpal,50.5,Bd,Roman - Saxon,833 -- 932
408,ABMAP26503,Metacarpal,50.5,Bd,Roman - Saxon,833 -- 932
604,ABMAP2980,Metacarpal,46.1,Bd,Roman - Saxon,900 -- 999
609,ABMAP2981,Metacarpal,45.7,Bd,Roman - Saxon,900 -- 999
675,ABMAP2982,Metacarpal,45.8,Bd,Medieval,1300 -- 1499
714,ABMAP16576,Metacarpal,43.4,Bd,Medieval,1139 -- 1200
727,ABMAP20062,Metacarpal,60.6,Bd,Medieval,1700 -- 1799
749,ABMAP20060,Metacarpal,47.4,Bd,Medieval,1700 -- 1899
823,ABMAP574,Metacarpal,46.7,Bd,Bronze - Iron Age,-100 -- -43
828,ABMAP575,Metacarpal,46.7,Bd,Bronze - Iron Age,-100 -- -43
869,ABMAP542,Metacarpal,44.3,Bd,Bronze - Iron Age,-100 -- -43
888,ABMAP548,Metacarpal,39.9,Bd,Bronze - Iron Age,-100 -- -43
908,ABMAP28618,Metacarpal,43.1,Bd,Medieval,1300 -- 1450
963,ABMAP28684,Metacarpal,48.0,Bd,Medieval,1250 -- 1400
