,BONEID,ELEMENT,MEASURE,MEASTYPE,PERIOD,RANGE
6,ABMAP2024,Metacarpal,48.5,Bp,Roman - Saxon,43 -- 410
110,ABMAP2145,Metacarpal,43.4,Bp,Roman - Saxon,267 -- 399
143,ABMAP3015,Metacarpal,46.7,Bp,Roman - Saxon,833 -- 966
157,ABMAP79,Metacarpal,49.3,Bp,Roman - Saxon,775 -- 800
164,ABMAP80,Metacarpal,49.4,Bp,Roman - Saxon,775 -- 800
168,ABMAP81,Metacarpal,50.5,Bp,Roman - Saxon,775 -- 800
184,ABMAP82,Metacarpal,49.0,Bp,Roman - Saxon,775 -- 800
270,ABMAP30462,Metacarpal,49.2,Bp,Roman - Saxon,900 -- 1032
307,ABMAP25991,Metacarpal,47.2,Bp,Roman - Saxon,700 -- 732
399,ABMAP25542,Metacarpal,49.2,Bp,Roman - Saxon,833 -- 932
409,ABMAP26503,Metacarpal,49.2,Bp,Roman - Saxon,833 -- 932
605,ABMAP2980,Metacarpal,46.5,Bp,Roman - Saxon,900 -- 999
610,ABMAP2981,Metacarpal,45.5,Bp,Roman - Saxon,900 -- 999
697,ABMAP16575,Metacarpal,54.9,Bp,Medieval,1139 -- 1200
728,ABMAP20062,Metacarpal,60.0,Bp,Medieval,1700 -- 1799
763,ABMAP474,Metacarpal,47.7,Bp,Bronze - Iron Age,-100 -- -43
790,ABMAP470,Metacarpal,42.8,Bp,Bronze - Iron Age,-100 -- -43
824,ABMAP574,Metacarpal,44.8,Bp,Bronze - Iron Age,-100 -- -43
829,ABMAP575,Metacarpal,47.0,Bp,Bronze - Iron Age,-100 -- -43
870,ABMAP542,Metacarpal,42.1,Bp,Bronze - Iron Age,-100 -- -43
889,ABMAP548,Metacarpal,42.3,Bp,Bronze - Iron Age,-100 -- -43
1413,ABMAP16635,Metacarpal,47.3,Bp,Medieval,1033 -- 1199
1527,ABMAP9509,Metacarpal,43.6,Bp,Roman - Saxon,367 -- 399
1530,ABMAP9510,Metacarpal,45.3,Bp,Roman - Saxon,367 -- 399
1533,ABMAP9511,Metacarpal,45.5,Bp,Roman - Saxon,367 -- 399
1557,ABMAP9512,Metacarpal,45.2,Bp,Roman - Saxon,300 -- 399
1560,ABMAP9513,Metacarpal,45.5,Bp,Roman - Saxon,300 -- 399
1636,ABMAP1868,Metacarpal,43.6,Bp,Roman - Saxon,43 -- 410
1655,ABMAP1999,Metacarpal,48.6,Bp,Roman - Saxon,43 -- 410
1682,ABMAP1815,Metacarpal,47.4,Bp,Roman - Saxon,43 -- 410
1714,ABMAP18523,Metacarpal,44.0,Bp,Bronze - Iron Age,-1000 -- -400
1724,ABMAP18521,Metacarpal,45.7,Bp,Bronze - Iron Age,-800 -- 43
1755,ABMAP18522,Metacarpal,47.5,Bp,Bronze - Iron Age,-1000 -- -400
1793,ABMAP27339,Metacarpal,49.0,Bp,Roman - Saxon,800 -- 999
1819,ABMAP27340,Metacarpal,48.7,Bp,Roman - Saxon,800 -- 999
1832,ABMAP1017,Metacarpal,48.9,Bp,Roman - Saxon,43 -- 410
1863,ABMAP1360,Metacarpal,51.0,Bp,Roman - Saxon,43 -- 410
1874,ABMAP1039,Metacarpal,52.3,Bp,Roman - Saxon,43 -- 410
1897,ABMAP1333,Metacarpal,45.4,Bp,Roman - Saxon,43 -- 410
1906,ABMAP740,Metacarpal,46.2,Bp,Roman - Saxon,43 -- 410
1911,ABMAP741,Metacarpal,50.7,Bp,Roman - Saxon,43 -- 410
1983,ABMAP9042,Metacarpal,45.5,Bp,Bronze - Iron Age,-299 -- -100
2001,ABMAP9023,Metacarpal,46.0,Bp,Bronze - Iron Age,-299 -- -100
2014,J_GRIMM_08WA55024-494,Metacarpal,51.3,Bp,Roman - Saxon,150 -- 200
2118,J_GRIMM_08WA58720-29,Metacarpal,46.2,Bp,Medieval,1075 -- 1125
2173,J_GRIMM_08WA59480-1142,Metacarpal,44.5,Bp,Bronze - Iron Age,-400 -- 43
2264,J_GRIMM_08WA61900-91,Metacarpal,50.8,Bp,Medieval,1200 -- 1399
2319,J_GRIMM_08WA63220-1297,Metacarpal,42.9,Bp,Roman - Saxon,850 -- 1066
2394,ABMAP13903,Metacarpal,41.5,Bp,Medieval,1300 -- 1499
2422,ABMAP13914,Metacarpal,49.0,Bp,Medieval,1300 -- 1499
2546,ABMAP15711,Metacarpal,42.0,Bp,Bronze - Iron Age,-400 -- -100
2574,ABMAP16167,Metacarpal,42.2,Bp,Bronze - Iron Age,-400 -- -100
2576,ABMAP15774,Metacarpal,42.3,Bp,Roman - Saxon,43 -- 410
2588,ABMAP15578,Metacarpal,43.0,Bp,Bronze - Iron Age,-400 -- -100
2594,ABMAP16219,Metacarpal,43.2,Bp,Bronze - Iron Age,-400 -- -100
2604,ABMAP15738,Metacarpal,46.2,Bp,Bronze - Iron Age,-400 -- -100
2717,ABMAP15755,Metacarpal,41.7,Bp,Bronze - Iron Age,-800 -- -400
2746,ABMAP16135,Metacarpal,51.6,Bp,Bronze - Iron Age,-400 -- -100
2758,ABMAP8661,Metacarpal,40.0,Bp,Roman - Saxon,43 -- 100
2811,ABMAP433,Metacarpal,41.8,Bp,Bronze - Iron Age,-50 -- 75
2813,ABMAP434,Metacarpal,45.0,Bp,Bronze - Iron Age,-50 -- 75
2839,ABMAP9243,Metacarpal,44.3,Bp,Bronze - Iron Age,-99 -- 0
2848,ABMAP9245,Metacarpal,40.8,Bp,Bronze - Iron Age,-99 -- 99
2851,ABMAP9246,Metacarpal,47.2,Bp,Bronze - Iron Age,-99 -- 99
2864,ABMAP9244,Metacarpal,44.35,Bp,Bronze - Iron Age,-99 -- 0
2883,ABMAP14157,Metacarpal,50.8,Bp,Roman - Saxon,43 -- 410
2893,ABMAP14339,Metacarpal,42.9,Bp,Roman - Saxon,43 -- 410
2930,ABMAP14424,Metacarpal,42.4,Bp,Bronze - Iron Age,-100 -- -43
2946,ABMAP14318,Metacarpal,44.0,Bp,Roman - Saxon,43 -- 410
2963,ABMAP14435,Metacarpal,43.0,Bp,Roman - Saxon,43 -- 410
2972,ABMAP14436,Metacarpal,43.1,Bp,Roman - Saxon,43 -- 410
2999,ABMAP14217,Metacarpal,45.7,Bp,Roman - Saxon,43 -- 410
3012,ABMAP14293,Metacarpal,45.0,Bp,Roman - Saxon,43 -- 410
3039,ABMAP10999,Metacarpal,43.3,Bp,Roman - Saxon,43 -- 410
3074,ABMAP30907,Metacarpal,45.9,Bp,Medieval,1000 -- 1299
3086,ABMAP3190,Metacarpal,48.3,Bp,Roman - Saxon,400 -- 1066
