,BONEID,ELEMENT,MEASURE,MEASTYPE,PERIOD,RANGE
400,ABMAP25542,Metacarpal,25.3,CD,Roman - Saxon,833 -- 932
410,ABMAP26503,Metacarpal,25.3,CD,Roman - Saxon,833 -- 932
1656,ABMAP1999,Metacarpal,23.3,CD,Roman - Saxon,43 -- 410
1833,ABMAP1017,Metacarpal,24.9,CD,Roman - Saxon,43 -- 410
1864,ABMAP1360,Metacarpal,23.2,CD,Roman - Saxon,43 -- 410
2015,J_GRIMM_08WA55024-494,Metacarpal,88.5,CD,Roman - Saxon,150 -- 200
2119,J_GRIMM_08WA58720-29,Metacarpal,88.0,CD,Medieval,1075 -- 1125
2265,J_GRIMM_08WA61900-91,Metacarpal,103.0,CD,Medieval,1200 -- 1399
2547,ABMAP15711,Metacarpal,19.3,CD,Bronze - Iron Age,-400 -- -100
2624,ABMAP16208,Metacarpal,22.1,CD,Roman - Saxon,43 -- 410
2814,ABMAP434,Metacarpal,21.5,CD,Bronze - Iron Age,-50 -- 75
