,BONEID,ELEMENT,MEASURE,MEASTYPE,PERIOD,RANGE
34,ABMAP11924,Metacarpal,36.0,Dd,Roman - Saxon,43 -- 410
37,ABMAP11925,Metacarpal,36.0,Dd,Roman - Saxon,43 -- 410
964,ABMAP28684,Metacarpal,35.3,Dd,Medieval,1250 -- 1400
995,ABMAP29236,Metacarpal,33.6,Dd,Medieval,1300 -- 1450
1018,ABMAP29255,Metacarpal,32.0,Dd,Medieval,1450 -- 1800
1023,ABMAP29259,Metacarpal,34.4,Dd,Medieval,1450 -- 1800
1034,ABMAP29277,Metacarpal,33.5,Dd,Medieval,1250 -- 1400
1107,ABMAP29389,Metacarpal,36.7,Dd,Medieval,1100 -- 1250
1143,ABMAP29154,Metacarpal,32.7,Dd,Medieval,1100 -- 1250
1153,ABMAP29429,Metacarpal,31.7,Dd,Roman - Saxon,950 -- 1100
1173,ABMAP28762,Metacarpal,33.0,Dd,Medieval,1250 -- 1400
1212,ABMAP28741,Metacarpal,36.0,Dd,Medieval,1300 -- 1450
1220,ABMAP28991,Metacarpal,40.0,Dd,Medieval,1250 -- 1400
1234,ABMAP28809,Metacarpal,35.4,Dd,Medieval,1100 -- 1250
1248,ABMAP28972,Metacarpal,32.8,Dd,Medieval,1100 -- 1250
1253,ABMAP28826,Metacarpal,33.9,Dd,Medieval,1300 -- 1450
1313,ABMAP28877,Metacarpal,31.9,Dd,Medieval,1250 -- 1400
2120,J_GRIMM_08WA58720-29,Metacarpal,33.3,Dd,Medieval,1075 -- 1125
2395,ABMAP13903,Metacarpal,30.8,Dd,Medieval,1300 -- 1499
2423,ABMAP13914,Metacarpal,35.2,Dd,Medieval,1300 -- 1499
2894,ABMAP14339,Metacarpal,31.5,Dd,Roman - Saxon,43 -- 410
2931,ABMAP14424,Metacarpal,33.2,Dd,Bronze - Iron Age,-100 -- -43
2964,ABMAP14435,Metacarpal,30.1,Dd,Roman - Saxon,43 -- 410
2973,ABMAP14436,Metacarpal,30.5,Dd,Roman - Saxon,43 -- 410
3013,ABMAP14293,Metacarpal,32.2,Dd,Roman - Saxon,43 -- 410
