,BONEID,ELEMENT,MEASURE,MEASTYPE,PERIOD,RANGE
7,ABMAP2024,Metacarpal,32.3,Dp,Roman - Saxon,43 -- 410
111,ABMAP2145,Metacarpal,27.0,Dp,Roman - Saxon,267 -- 399
144,ABMAP3015,Metacarpal,30.8,Dp,Roman - Saxon,833 -- 966
271,ABMAP30462,Metacarpal,33.3,Dp,Roman - Saxon,900 -- 1032
308,ABMAP25991,Metacarpal,31.1,Dp,Roman - Saxon,700 -- 732
401,ABMAP25542,Metacarpal,30.4,Dp,Roman - Saxon,833 -- 932
411,ABMAP26503,Metacarpal,30.4,Dp,Roman - Saxon,833 -- 932
431,ABMAP25543,Metacarpal,33.6,Dp,Roman - Saxon,833 -- 932
483,ABMAP26504,Metacarpal,33.6,Dp,Roman - Saxon,833 -- 932
698,ABMAP16575,Metacarpal,36.5,Dp,Medieval,1139 -- 1200
729,ABMAP20062,Metacarpal,37.8,Dp,Medieval,1700 -- 1799
764,ABMAP474,Metacarpal,29.4,Dp,Bronze - Iron Age,-100 -- -43
791,ABMAP470,Metacarpal,27.2,Dp,Bronze - Iron Age,-100 -- -43
825,ABMAP574,Metacarpal,30.4,Dp,Bronze - Iron Age,-100 -- -43
830,ABMAP575,Metacarpal,29.4,Dp,Bronze - Iron Age,-100 -- -43
871,ABMAP542,Metacarpal,29.2,Dp,Bronze - Iron Age,-100 -- -43
890,ABMAP548,Metacarpal,28.3,Dp,Bronze - Iron Age,-100 -- -43
1414,ABMAP16635,Metacarpal,32.1,Dp,Medieval,1033 -- 1199
1637,ABMAP1868,Metacarpal,28.9,Dp,Roman - Saxon,43 -- 410
1657,ABMAP1999,Metacarpal,31.9,Dp,Roman - Saxon,43 -- 410
1683,ABMAP1815,Metacarpal,33.0,Dp,Roman - Saxon,43 -- 410
1715,ABMAP18523,Metacarpal,29.9,Dp,Bronze - Iron Age,-1000 -- -400
1725,ABMAP18521,Metacarpal,30.0,Dp,Bronze - Iron Age,-800 -- 43
1756,ABMAP18522,Metacarpal,28.9,Dp,Bronze - Iron Age,-1000 -- -400
1794,ABMAP27339,Metacarpal,32.5,Dp,Roman - Saxon,800 -- 999
1820,ABMAP27340,Metacarpal,30.8,Dp,Roman - Saxon,800 -- 999
1834,ABMAP1017,Metacarpal,35.3,Dp,Roman - Saxon,43 -- 410
1865,ABMAP1360,Metacarpal,35.0,Dp,Roman - Saxon,43 -- 410
1898,ABMAP1333,Metacarpal,31.8,Dp,Roman - Saxon,43 -- 410
1907,ABMAP740,Metacarpal,32.0,Dp,Roman - Saxon,43 -- 410
1912,ABMAP741,Metacarpal,34.7,Dp,Roman - Saxon,43 -- 410
2121,J_GRIMM_08WA58720-29,Metacarpal,30.8,Dp,Medieval,1075 -- 1125
2396,ABMAP13903,Metacarpal,28.4,Dp,Medieval,1300 -- 1499
2424,ABMAP13914,Metacarpal,32.0,Dp,Medieval,1300 -- 1499
2548,ABMAP15711,Metacarpal,27.6,Dp,Bronze - Iron Age,-400 -- -100
2575,ABMAP16167,Metacarpal,29.0,Dp,Bronze - Iron Age,-400 -- -100
2589,ABMAP15578,Metacarpal,29.0,Dp,Bronze - Iron Age,-400 -- -100
2595,ABMAP16219,Metacarpal,29.3,Dp,Bronze - Iron Age,-400 -- -100
2605,ABMAP15738,Metacarpal,33.6,Dp,Bronze - Iron Age,-400 -- -100
2718,ABMAP15755,Metacarpal,29.3,Dp,Bronze - Iron Age,-800 -- -400
2747,ABMAP16135,Metacarpal,34.4,Dp,Bronze - Iron Age,-400 -- -100
2815,ABMAP434,Metacarpal,31.0,Dp,Bronze - Iron Age,-50 -- 75
2895,ABMAP14339,Metacarpal,28.8,Dp,Roman - Saxon,43 -- 410
2932,ABMAP14424,Metacarpal,30.0,Dp,Bronze - Iron Age,-100 -- -43
2947,ABMAP14318,Metacarpal,30.2,Dp,Roman - Saxon,43 -- 410
2965,ABMAP14435,Metacarpal,30.5,Dp,Roman - Saxon,43 -- 410
2974,ABMAP14436,Metacarpal,30.5,Dp,Roman - Saxon,43 -- 410
3014,ABMAP14293,Metacarpal,29.3,Dp,Roman - Saxon,43 -- 410
3040,ABMAP10999,Metacarpal,27.5,Dp,Roman - Saxon,43 -- 410
3087,ABMAP3190,Metacarpal,34.9,Dp,Roman - Saxon,400 -- 1066
