,BONEID,ELEMENT,MEASURE,MEASTYPE,PERIOD,RANGE
158,ABMAP79,Metacarpal,219.0,GL,Roman - Saxon,775 -- 800
169,ABMAP81,Metacarpal,227.0,GL,Roman - Saxon,775 -- 800
185,ABMAP82,Metacarpal,226.0,GL,Roman - Saxon,775 -- 800
272,ABMAP30462,Metacarpal,228.1,GL,Roman - Saxon,900 -- 1032
309,ABMAP25991,Metacarpal,217.7,GL,Roman - Saxon,700 -- 732
402,ABMAP25542,Metacarpal,218.6,GL,Roman - Saxon,833 -- 932
412,ABMAP26503,Metacarpal,218.6,GL,Roman - Saxon,833 -- 932
432,ABMAP25543,Metacarpal,212.8,GL,Roman - Saxon,833 -- 932
484,ABMAP26504,Metacarpal,212.8,GL,Roman - Saxon,833 -- 932
606,ABMAP2980,Metacarpal,200.2,GL,Roman - Saxon,900 -- 999
611,ABMAP2981,Metacarpal,200.4,GL,Roman - Saxon,900 -- 999
676,ABMAP2982,Metacarpal,216.7,GL,Medieval,1300 -- 1499
694,ABMAP16575,Metacarpal,248.0,GL,Medieval,1139 -- 1200
730,ABMAP20062,Metacarpal,253.0,GL,Medieval,1700 -- 1799
765,ABMAP474,Metacarpal,210.1,GL,Bronze - Iron Age,-100 -- -43
792,ABMAP470,Metacarpal,130.9,GL,Bronze - Iron Age,-100 -- -43
826,ABMAP574,Metacarpal,195.0,GL,Bronze - Iron Age,-100 -- -43
831,ABMAP575,Metacarpal,211.0,GL,Bronze - Iron Age,-100 -- -43
872,ABMAP542,Metacarpal,186.0,GL,Bronze - Iron Age,-100 -- -43
891,ABMAP548,Metacarpal,181.0,GL,Bronze - Iron Age,-100 -- -43
996,ABMAP29236,Metacarpal,209.8,GL,Medieval,1300 -- 1450
1019,ABMAP29255,Metacarpal,206.4,GL,Medieval,1450 -- 1800
1035,ABMAP29277,Metacarpal,205.0,GL,Medieval,1250 -- 1400
1072,ABMAP29321,Metacarpal,211.6,GL,Medieval,1250 -- 1400
1094,ABMAP29370,Metacarpal,218.3,GL,Medieval,1100 -- 1250
1108,ABMAP29389,Metacarpal,226.1,GL,Medieval,1100 -- 1250
1144,ABMAP29154,Metacarpal,205.0,GL,Medieval,1100 -- 1250
1154,ABMAP29429,Metacarpal,197.1,GL,Roman - Saxon,950 -- 1100
1163,ABMAP29505,Metacarpal,209.9,GL,Roman - Saxon,950 -- 1100
1174,ABMAP28762,Metacarpal,217.0,GL,Medieval,1250 -- 1400
1249,ABMAP28972,Metacarpal,202.4,GL,Medieval,1100 -- 1250
1254,ABMAP28826,Metacarpal,199.7,GL,Medieval,1300 -- 1450
1415,ABMAP16635,Metacarpal,210.0,GL,Medieval,1033 -- 1199
1528,ABMAP9509,Metacarpal,213.1,GL,Roman - Saxon,367 -- 399
1531,ABMAP9510,Metacarpal,219.5,GL,Roman - Saxon,367 -- 399
1534,ABMAP9511,Metacarpal,223.0,GL,Roman - Saxon,367 -- 399
1558,ABMAP9512,Metacarpal,220.2,GL,Roman - Saxon,300 -- 399
1561,ABMAP9513,Metacarpal,250.0,GL,Roman - Saxon,300 -- 399
1716,ABMAP18523,Metacarpal,203.0,GL,Bronze - Iron Age,-1000 -- -400
1726,ABMAP18521,Metacarpal,209.0,GL,Bronze - Iron Age,-800 -- 43
1757,ABMAP18522,Metacarpal,216.0,GL,Bronze - Iron Age,-1000 -- -400
1795,ABMAP27339,Metacarpal,211.0,GL,Roman - Saxon,800 -- 999
1821,ABMAP27340,Metacarpal,213.0,GL,Roman - Saxon,800 -- 999
1908,ABMAP740,Metacarpal,204.0,GL,Roman - Saxon,43 -- 410
1984,ABMAP9042,Metacarpal,200.5,GL,Bronze - Iron Age,-299 -- -100
2002,ABMAP9023,Metacarpal,126.5,GL,Bronze - Iron Age,-299 -- -100
2016,J_GRIMM_08WA55024-494,Metacarpal,212.0,GL,Roman - Saxon,150 -- 200
2122,J_GRIMM_08WA58720-29,Metacarpal,208.0,GL,Medieval,1075 -- 1125
2147,J_GRIMM_08WA59480-343,Metacarpal,210.0,GL,Bronze - Iron Age,100 -- 150
2329,J_GRIMM_08WA63220-3191,Metacarpal,220.0,GL,Roman - Saxon,850 -- 1066
2397,ABMAP13903,Metacarpal,189.0,GL,Medieval,1300 -- 1499
2425,ABMAP13914,Metacarpal,206.0,GL,Medieval,1300 -- 1499
2549,ABMAP15711,Metacarpal,180.7,GL,Bronze - Iron Age,-400 -- -100
2596,ABMAP16219,Metacarpal,188.3,GL,Bronze - Iron Age,-400 -- -100
2625,ABMAP16208,Metacarpal,198.6,GL,Roman - Saxon,43 -- 410
2719,ABMAP15755,Metacarpal,202.3,GL,Bronze - Iron Age,-800 -- -400
2748,ABMAP16135,Metacarpal,223.7,GL,Bronze - Iron Age,-400 -- -100
2759,ABMAP8661,Metacarpal,187.0,GL,Roman - Saxon,43 -- 100
2816,ABMAP434,Metacarpal,206.4,GL,Bronze - Iron Age,-50 -- 75
2840,ABMAP9243,Metacarpal,202.0,GL,Bronze - Iron Age,-99 -- 0
2849,ABMAP9245,Metacarpal,204.0,GL,Bronze - Iron Age,-99 -- 99
2865,ABMAP9244,Metacarpal,211.0,GL,Bronze - Iron Age,-99 -- 0
2884,ABMAP14157,Metacarpal,271.0,GL,Roman - Saxon,43 -- 410
2896,ABMAP14339,Metacarpal,213.3,GL,Roman - Saxon,43 -- 410
2933,ABMAP14424,Metacarpal,198.4,GL,Bronze - Iron Age,-100 -- -43
2948,ABMAP14318,Metacarpal,201.5,GL,Roman - Saxon,43 -- 410
2966,ABMAP14435,Metacarpal,190.5,GL,Roman - Saxon,43 -- 410
2975,ABMAP14436,Metacarpal,190.5,GL,Roman - Saxon,43 -- 410
3000,ABMAP14217,Metacarpal,210.0,GL,Roman - Saxon,43 -- 410
3015,ABMAP14293,Metacarpal,206.2,GL,Roman - Saxon,43 -- 410
3041,ABMAP10999,Metacarpal,189.0,GL,Roman - Saxon,43 -- 410
3075,ABMAP30907,Metacarpal,214.0,GL,Medieval,1000 -- 1299
