,BONEID,ELEMENT,MEASURE,MEASTYPE,PERIOD,RANGE
159,ABMAP79,Metacarpal,210.0,GLl,Roman - Saxon,775 -- 800
165,ABMAP80,Metacarpal,216.0,GLl,Roman - Saxon,775 -- 800
170,ABMAP81,Metacarpal,218.0,GLl,Roman - Saxon,775 -- 800
186,ABMAP82,Metacarpal,217.0,GLl,Roman - Saxon,775 -- 800
607,ABMAP2980,Metacarpal,197.0,GLl,Roman - Saxon,900 -- 999
612,ABMAP2981,Metacarpal,192.7,GLl,Roman - Saxon,900 -- 999
677,ABMAP2982,Metacarpal,209.1,GLl,Medieval,1300 -- 1499
2841,ABMAP9243,Metacarpal,194.0,GLl,Bronze - Iron Age,-99 -- 0
2850,ABMAP9245,Metacarpal,197.9,GLl,Bronze - Iron Age,-99 -- 99
2866,ABMAP9244,Metacarpal,203.0,GLl,Bronze - Iron Age,-99 -- 0
2934,ABMAP14424,Metacarpal,195.3,GLl,Bronze - Iron Age,-100 -- -43
2949,ABMAP14318,Metacarpal,198.9,GLl,Roman - Saxon,43 -- 410
2967,ABMAP14435,Metacarpal,187.2,GLl,Roman - Saxon,43 -- 410
2976,ABMAP14436,Metacarpal,188.3,GLl,Roman - Saxon,43 -- 410
3001,ABMAP14217,Metacarpal,206.5,GLl,Roman - Saxon,43 -- 410
3016,ABMAP14293,Metacarpal,202.6,GLl,Roman - Saxon,43 -- 410
