,BONEID,ELEMENT,MEASURE,MEASTYPE,PERIOD,RANGE
8,ABMAP2024,Metacarpal,220.0,Ll,Roman - Saxon,43 -- 410
112,ABMAP2145,Metacarpal,190.0,Ll,Roman - Saxon,267 -- 399
273,ABMAP30462,Metacarpal,218.7,Ll,Roman - Saxon,900 -- 1032
403,ABMAP25542,Metacarpal,207.0,Ll,Roman - Saxon,833 -- 932
413,ABMAP26503,Metacarpal,207.0,Ll,Roman - Saxon,833 -- 932
695,ABMAP16575,Metacarpal,236.0,Ll,Medieval,1139 -- 1200
731,ABMAP20062,Metacarpal,242.0,Ll,Medieval,1700 -- 1799
873,ABMAP542,Metacarpal,179.9,Ll,Bronze - Iron Age,-100 -- -43
1416,ABMAP16635,Metacarpal,200.0,Ll,Medieval,1033 -- 1199
1638,ABMAP1868,Metacarpal,192.0,Ll,Roman - Saxon,43 -- 410
1658,ABMAP1999,Metacarpal,200.0,Ll,Roman - Saxon,43 -- 410
1727,ABMAP18521,Metacarpal,200.5,Ll,Bronze - Iron Age,-800 -- 43
1758,ABMAP18522,Metacarpal,207.0,Ll,Bronze - Iron Age,-1000 -- -400
1835,ABMAP1017,Metacarpal,213.1,Ll,Roman - Saxon,43 -- 410
1866,ABMAP1360,Metacarpal,220.2,Ll,Roman - Saxon,43 -- 410
1875,ABMAP1039,Metacarpal,221.0,Ll,Roman - Saxon,43 -- 410
1909,ABMAP740,Metacarpal,196.4,Ll,Roman - Saxon,43 -- 410
2550,ABMAP15711,Metacarpal,174.9,Ll,Bronze - Iron Age,-400 -- -100
2597,ABMAP16219,Metacarpal,183.9,Ll,Bronze - Iron Age,-400 -- -100
2626,ABMAP16208,Metacarpal,196.2,Ll,Roman - Saxon,43 -- 410
2720,ABMAP15755,Metacarpal,198.7,Ll,Bronze - Iron Age,-800 -- -400
2749,ABMAP16135,Metacarpal,214.5,Ll,Bronze - Iron Age,-400 -- -100
2817,ABMAP434,Metacarpal,199.2,Ll,Bronze - Iron Age,-50 -- 75
2897,ABMAP14339,Metacarpal,204.7,Ll,Roman - Saxon,43 -- 410
2935,ABMAP14424,Metacarpal,188.8,Ll,Bronze - Iron Age,-100 -- -43
2950,ABMAP14318,Metacarpal,193.6,Ll,Roman - Saxon,43 -- 410
2968,ABMAP14435,Metacarpal,182.7,Ll,Roman - Saxon,43 -- 410
2977,ABMAP14436,Metacarpal,184.3,Ll,Roman - Saxon,43 -- 410
3002,ABMAP14217,Metacarpal,200.2,Ll,Roman - Saxon,43 -- 410
3088,ABMAP3190,Metacarpal,216.0,Ll,Roman - Saxon,400 -- 1066
