,BONEID,ELEMENT,MEASURE,MEASTYPE,PERIOD,RANGE
9,ABMAP2024,Metacarpal,31.5,SD,Roman - Saxon,43 -- 410
113,ABMAP2145,Metacarpal,29.5,SD,Roman - Saxon,267 -- 399
160,ABMAP79,Metacarpal,35.7,SD,Roman - Saxon,775 -- 800
166,ABMAP80,Metacarpal,33.6,SD,Roman - Saxon,775 -- 800
171,ABMAP81,Metacarpal,36.0,SD,Roman - Saxon,775 -- 800
187,ABMAP82,Metacarpal,34.4,SD,Roman - Saxon,775 -- 800
310,ABMAP25991,Metacarpal,32.3,SD,Roman - Saxon,700 -- 732
404,ABMAP25542,Metacarpal,32.8,SD,Roman - Saxon,833 -- 932
414,ABMAP26503,Metacarpal,32.8,SD,Roman - Saxon,833 -- 932
433,ABMAP25543,Metacarpal,32.5,SD,Roman - Saxon,833 -- 932
485,ABMAP26504,Metacarpal,32.5,SD,Roman - Saxon,833 -- 932
608,ABMAP2980,Metacarpal,32.0,SD,Roman - Saxon,900 -- 999
613,ABMAP2981,Metacarpal,31.8,SD,Roman - Saxon,900 -- 999
678,ABMAP2982,Metacarpal,29.3,SD,Medieval,1300 -- 1499
696,ABMAP16575,Metacarpal,37.2,SD,Medieval,1139 -- 1200
732,ABMAP20062,Metacarpal,41.4,SD,Medieval,1700 -- 1799
750,ABMAP20060,Metacarpal,31.0,SD,Medieval,1700 -- 1899
766,ABMAP474,Metacarpal,30.3,SD,Bronze - Iron Age,-100 -- -43
793,ABMAP470,Metacarpal,26.8,SD,Bronze - Iron Age,-100 -- -43
827,ABMAP574,Metacarpal,29.2,SD,Bronze - Iron Age,-100 -- -43
832,ABMAP575,Metacarpal,29.9,SD,Bronze - Iron Age,-100 -- -43
874,ABMAP542,Metacarpal,27.2,SD,Bronze - Iron Age,-100 -- -43
892,ABMAP548,Metacarpal,27.5,SD,Bronze - Iron Age,-100 -- -43
997,ABMAP29236,Metacarpal,29.9,SD,Medieval,1300 -- 1450
1036,ABMAP29277,Metacarpal,30.4,SD,Medieval,1250 -- 1400
1073,ABMAP29321,Metacarpal,30.6,SD,Medieval,1250 -- 1400
1095,ABMAP29370,Metacarpal,30.1,SD,Medieval,1100 -- 1250
1109,ABMAP29389,Metacarpal,33.2,SD,Medieval,1100 -- 1250
1145,ABMAP29154,Metacarpal,29.2,SD,Medieval,1100 -- 1250
1155,ABMAP29429,Metacarpal,28.9,SD,Roman - Saxon,950 -- 1100
1164,ABMAP29505,Metacarpal,31.0,SD,Roman - Saxon,950 -- 1100
1175,ABMAP28762,Metacarpal,29.7,SD,Medieval,1250 -- 1400
1250,ABMAP28972,Metacarpal,30.5,SD,Medieval,1100 -- 1250
1255,ABMAP28826,Metacarpal,31.1,SD,Medieval,1300 -- 1450
1417,ABMAP16635,Metacarpal,32.0,SD,Medieval,1033 -- 1199
1639,ABMAP1868,Metacarpal,28.7,SD,Roman - Saxon,43 -- 410
1659,ABMAP1999,Metacarpal,32.0,SD,Roman - Saxon,43 -- 410
1717,ABMAP18523,Metacarpal,29.3,SD,Bronze - Iron Age,-1000 -- -400
1728,ABMAP18521,Metacarpal,30.9,SD,Bronze - Iron Age,-800 -- 43
1759,ABMAP18522,Metacarpal,30.7,SD,Bronze - Iron Age,-1000 -- -400
1796,ABMAP27339,Metacarpal,33.7,SD,Roman - Saxon,800 -- 999
1822,ABMAP27340,Metacarpal,32.0,SD,Roman - Saxon,800 -- 999
1836,ABMAP1017,Metacarpal,32.9,SD,Roman - Saxon,43 -- 410
1867,ABMAP1360,Metacarpal,33.1,SD,Roman - Saxon,43 -- 410
1876,ABMAP1039,Metacarpal,32.7,SD,Roman - Saxon,43 -- 410
1910,ABMAP740,Metacarpal,29.9,SD,Roman - Saxon,43 -- 410
1985,ABMAP9042,Metacarpal,29.5,SD,Bronze - Iron Age,-299 -- -100
2003,ABMAP9023,Metacarpal,29.5,SD,Bronze - Iron Age,-299 -- -100
2017,J_GRIMM_08WA55024-494,Metacarpal,31.6,SD,Roman - Saxon,150 -- 200
2123,J_GRIMM_08WA58720-29,Metacarpal,30.6,SD,Medieval,1075 -- 1125
2148,J_GRIMM_08WA59480-343,Metacarpal,26.9,SD,Bronze - Iron Age,100 -- 150
2266,J_GRIMM_08WA61900-91,Metacarpal,36.1,SD,Medieval,1200 -- 1399
2398,ABMAP13903,Metacarpal,27.8,SD,Medieval,1300 -- 1499
2426,ABMAP13914,Metacarpal,29.5,SD,Medieval,1300 -- 1499
2489,ABMAP1447,Metacarpal,30.3,SD,Bronze - Iron Age,-100 -- -43
2551,ABMAP15711,Metacarpal,27.6,SD,Bronze - Iron Age,-400 -- -100
2598,ABMAP16219,Metacarpal,26.0,SD,Bronze - Iron Age,-400 -- -100
2627,ABMAP16208,Metacarpal,29.1,SD,Roman - Saxon,43 -- 410
2721,ABMAP15755,Metacarpal,27.2,SD,Bronze - Iron Age,-800 -- -400
2750,ABMAP16135,Metacarpal,31.7,SD,Bronze - Iron Age,-400 -- -100
2818,ABMAP434,Metacarpal,27.6,SD,Bronze - Iron Age,-50 -- 75
2885,ABMAP14157,Metacarpal,29.0,SD,Roman - Saxon,43 -- 410
2898,ABMAP14339,Metacarpal,27.7,SD,Roman - Saxon,43 -- 410
2936,ABMAP14424,Metacarpal,29.1,SD,Bronze - Iron Age,-100 -- -43
2951,ABMAP14318,Metacarpal,31.2,SD,Roman - Saxon,43 -- 410
2969,ABMAP14435,Metacarpal,27.8,SD,Roman - Saxon,43 -- 410
