,BONEID,ELEMENT,MEASURE,MEASTYPE,PERIOD,RANGE
35,ABMAP11924,Metacarpal,23.2,TD,Roman - Saxon,43 -- 410
38,ABMAP11925,Metacarpal,23.2,TD,Roman - Saxon,43 -- 410
1797,ABMAP27339,Metacarpal,21.5,TD,Roman - Saxon,800 -- 999
2399,ABMAP13903,Metacarpal,17.6,TD,Medieval,1300 -- 1499
2427,ABMAP13914,Metacarpal,19.9,TD,Medieval,1300 -- 1499
2886,ABMAP14157,Metacarpal,23.2,TD,Roman - Saxon,43 -- 410
2937,ABMAP14424,Metacarpal,18.4,TD,Bronze - Iron Age,-100 -- -43
2952,ABMAP14318,Metacarpal,18.5,TD,Roman - Saxon,43 -- 410
2970,ABMAP14435,Metacarpal,16.3,TD,Roman - Saxon,43 -- 410
2979,ABMAP14436,Metacarpal,16.1,TD,Roman - Saxon,43 -- 410
3004,ABMAP14217,Metacarpal,18.8,TD,Roman - Saxon,43 -- 410
3018,ABMAP14293,Metacarpal,18.2,TD,Roman - Saxon,43 -- 410
3042,ABMAP10999,Metacarpal,17.0,TD,Roman - Saxon,43 -- 410
