,BONEID,ELEMENT,MEASURE,MEASTYPE,PERIOD,RANGE
102,ABMAP2153,Metatarsal,45.1,Bd,Roman - Saxon,43 -- 199
103,ABMAP2153,Metatarsal,45.9,Bp,Roman - Saxon,43 -- 199
104,ABMAP2153,Metatarsal,42.4,Dp,Roman - Saxon,43 -- 199
105,ABMAP2153,Metatarsal,191.5,Ll,Roman - Saxon,43 -- 199
106,ABMAP2153,Metatarsal,27.9,SD,Roman - Saxon,43 -- 199
145,ABMAP3025,Metatarsal,48.5,Bd,Roman - Saxon,833 -- 966
177,ABMAP85,Metatarsal,50.5,Bd,Roman - Saxon,775 -- 800
178,ABMAP85,Metatarsal,50.0,Bp,Roman - Saxon,775 -- 800
179,ABMAP85,Metatarsal,271.0,GL,Roman - Saxon,775 -- 800
180,ABMAP85,Metatarsal,30.5,SD,Roman - Saxon,775 -- 800
195,ABMAP84,Metatarsal,50.0,Bd,Roman - Saxon,840 -- 860
196,ABMAP84,Metatarsal,259.0,GLl,Roman - Saxon,840 -- 860
197,ABMAP84,Metatarsal,31.4,SD,Roman - Saxon,840 -- 860
207,ABMAP83,Metatarsal,51.5,Bd,Roman - Saxon,775 -- 800
208,ABMAP83,Metatarsal,50.0,Bp,Roman - Saxon,775 -- 800
209,ABMAP83,Metatarsal,263.0,GL,Roman - Saxon,775 -- 800
210,ABMAP83,Metatarsal,255.0,GLl,Roman - Saxon,775 -- 800
211,ABMAP83,Metatarsal,32.3,SD,Roman - Saxon,775 -- 800
250,ABMAP17069,Metatarsal,49.0,Bd,Bronze - Iron Age,-800 -- -100
251,ABMAP17069,Metatarsal,45.7,Bp,Bronze - Iron Age,-800 -- -100
252,ABMAP17069,Metatarsal,42.4,Dp,Bronze - Iron Age,-800 -- -100
253,ABMAP17069,Metatarsal,252.2,GL,Bronze - Iron Age,-800 -- -100
254,ABMAP17069,Metatarsal,249.4,Ll,Bronze - Iron Age,-800 -- -100
255,ABMAP17069,Metatarsal,29.8,SD,Bronze - Iron Age,-800 -- -100
256,ABMAP17069,Metatarsal,24.4,TD,Bronze - Iron Age,-800 -- -100
276,ABMAP30463,Metatarsal,46.0,Bd,Roman - Saxon,900 -- 1032
277,ABMAP30463,Metatarsal,260.0,GL,Roman - Saxon,900 -- 1032
278,ABMAP30463,Metatarsal,28.0,SD,Roman - Saxon,900 -- 1032
291,ABMAP26003,Metatarsal,42.5,Bd,Roman - Saxon,700 -- 732
292,ABMAP26003,Metatarsal,247.0,GL,Roman - Saxon,700 -- 732
293,ABMAP26003,Metatarsal,241.1,Ll,Roman - Saxon,700 -- 732
294,ABMAP26003,Metatarsal,28.4,SD,Roman - Saxon,700 -- 732
295,ABMAP26004,Metatarsal,42.6,Bd,Roman - Saxon,700 -- 732
296,ABMAP26004,Metatarsal,248.5,GL,Roman - Saxon,700 -- 732
297,ABMAP26004,Metatarsal,244.0,Ll,Roman - Saxon,700 -- 732
298,ABMAP26004,Metatarsal,27.9,SD,Roman - Saxon,700 -- 732
331,ABMAP26005,Metatarsal,51.6,Bd,Roman - Saxon,700 -- 732
332,ABMAP26005,Metatarsal,55.3,Bp,Roman - Saxon,700 -- 732
333,ABMAP26005,Metatarsal,47.8,Dp,Roman - Saxon,700 -- 732
334,ABMAP26005,Metatarsal,272.0,GL,Roman - Saxon,700 -- 732
335,ABMAP26005,Metatarsal,265.0,Ll,Roman - Saxon,700 -- 732
336,ABMAP26005,Metatarsal,33.9,SD,Roman - Saxon,700 -- 732
358,ABMAP26125,Metatarsal,47.6,Bd,Roman - Saxon,733 -- 832
359,ABMAP26125,Metatarsal,257.0,GL,Roman - Saxon,733 -- 832
360,ABMAP26125,Metatarsal,255.0,Ll,Roman - Saxon,733 -- 832
361,ABMAP26125,Metatarsal,30.2,SD,Roman - Saxon,733 -- 832
380,ABMAP26126,Metatarsal,46.3,Bd,Roman - Saxon,733 -- 832
381,ABMAP26126,Metatarsal,41.9,Bp,Roman - Saxon,733 -- 832
382,ABMAP26126,Metatarsal,46.9,Dp,Roman - Saxon,733 -- 832
383,ABMAP26126,Metatarsal,256.1,GL,Roman - Saxon,733 -- 832
384,ABMAP26126,Metatarsal,30.4,SD,Roman - Saxon,733 -- 832
463,ABMAP25553,Metatarsal,48.2,Bd,Roman - Saxon,833 -- 932
464,ABMAP25553,Metatarsal,48.8,Bp,Roman - Saxon,833 -- 932
465,ABMAP25553,Metatarsal,39.5,Dp,Roman - Saxon,833 -- 932
466,ABMAP25553,Metatarsal,257.4,GL,Roman - Saxon,833 -- 932
467,ABMAP25553,Metatarsal,253.6,Ll,Roman - Saxon,833 -- 932
468,ABMAP25553,Metatarsal,31.5,SD,Roman - Saxon,833 -- 932
469,ABMAP25553,Metatarsal,24.3,TD,Roman - Saxon,833 -- 932
470,ABMAP25554,Metatarsal,49.6,Bd,Roman - Saxon,833 -- 932
471,ABMAP25554,Metatarsal,48.9,Bp,Roman - Saxon,833 -- 932
472,ABMAP25554,Metatarsal,40.5,Dp,Roman - Saxon,833 -- 932
473,ABMAP25554,Metatarsal,257.0,GL,Roman - Saxon,833 -- 932
474,ABMAP25554,Metatarsal,255.0,Ll,Roman - Saxon,833 -- 932
475,ABMAP25554,Metatarsal,30.8,SD,Roman - Saxon,833 -- 932
476,ABMAP25554,Metatarsal,24.4,TD,Roman - Saxon,833 -- 932
515,ABMAP26515,Metatarsal,48.2,Bd,Roman - Saxon,833 -- 932
516,ABMAP26515,Metatarsal,48.8,Bp,Roman - Saxon,833 -- 932
517,ABMAP26515,Metatarsal,39.5,Dp,Roman - Saxon,833 -- 932
518,ABMAP26515,Metatarsal,257.4,GL,Roman - Saxon,833 -- 932
519,ABMAP26515,Metatarsal,253.6,Ll,Roman - Saxon,833 -- 932
520,ABMAP26515,Metatarsal,31.5,SD,Roman - Saxon,833 -- 932
521,ABMAP26515,Metatarsal,24.3,TD,Roman - Saxon,833 -- 932
522,ABMAP26516,Metatarsal,49.6,Bd,Roman - Saxon,833 -- 932
523,ABMAP26516,Metatarsal,48.9,Bp,Roman - Saxon,833 -- 932
524,ABMAP26516,Metatarsal,40.5,Dp,Roman - Saxon,833 -- 932
525,ABMAP26516,Metatarsal,257.0,GL,Roman - Saxon,833 -- 932
526,ABMAP26516,Metatarsal,255.0,Ll,Roman - Saxon,833 -- 932
527,ABMAP26516,Metatarsal,30.8,SD,Roman - Saxon,833 -- 932
528,ABMAP26516,Metatarsal,24.4,TD,Roman - Saxon,833 -- 932
562,ABMAP5431,Metatarsal,26.8,CD,Bronze - Iron Age,-800 -- 43
563,ABMAP5431,Metatarsal,239.7,GL,Bronze - Iron Age,-800 -- 43
564,ABMAP5431,Metatarsal,25.5,SD,Bronze - Iron Age,-800 -- 43
569,ABMAP5426,Metatarsal,41.2,Bp,Bronze - Iron Age,-800 -- 43
570,ABMAP5426,Metatarsal,24.4,CD,Bronze - Iron Age,-800 -- 43
571,ABMAP5426,Metatarsal,36.8,Dp,Bronze - Iron Age,-800 -- 43
572,ABMAP5426,Metatarsal,232.3,GL,Bronze - Iron Age,-800 -- 43
573,ABMAP5426,Metatarsal,25.6,SD,Bronze - Iron Age,-800 -- 43
574,ABMAP13832,Metatarsal,30.5,SD,Roman - Saxon,43 -- 199
575,ABMAP13832,Metatarsal,25.0,TD,Roman - Saxon,43 -- 199
650,ABMAP2983,Metatarsal,44.3,Bd,Medieval,1200 -- 1399
651,ABMAP2983,Metatarsal,40.8,Bp,Medieval,1200 -- 1399
652,ABMAP2983,Metatarsal,247.0,GL,Medieval,1200 -- 1399
653,ABMAP2983,Metatarsal,239.0,GLl,Medieval,1200 -- 1399
654,ABMAP2983,Metatarsal,31.7,SD,Medieval,1200 -- 1399
701,ABMAP16581,Metatarsal,52.7,Bp,Medieval,1139 -- 1200
702,ABMAP16581,Metatarsal,47.4,Dp,Medieval,1139 -- 1200
713,ABMAP16582,Metatarsal,42.7,Bd,Medieval,1139 -- 1200
774,ABMAP478,Metatarsal,48.3,Bd,Bronze - Iron Age,-100 -- -43
775,ABMAP478,Metatarsal,49.8,Bp,Bronze - Iron Age,-100 -- -43
776,ABMAP478,Metatarsal,42.9,Dp,Bronze - Iron Age,-100 -- -43
777,ABMAP478,Metatarsal,215.0,GL,Bronze - Iron Age,-100 -- -43
778,ABMAP478,Metatarsal,210.6,Ll,Bronze - Iron Age,-100 -- -43
779,ABMAP478,Metatarsal,28.4,SD,Bronze - Iron Age,-100 -- -43
780,ABMAP479,Metatarsal,45.4,Bp,Bronze - Iron Age,-100 -- -43
781,ABMAP479,Metatarsal,41.2,Dp,Bronze - Iron Age,-100 -- -43
782,ABMAP479,Metatarsal,249.1,GL,Bronze - Iron Age,-100 -- -43
783,ABMAP479,Metatarsal,247.2,Ll,Bronze - Iron Age,-100 -- -43
784,ABMAP479,Metatarsal,28.3,SD,Bronze - Iron Age,-100 -- -43
788,ABMAP523,Metatarsal,42.0,Bp,Bronze - Iron Age,-100 -- -43
789,ABMAP523,Metatarsal,34.8,Dp,Bronze - Iron Age,-100 -- -43
807,ABMAP496,Metatarsal,49.1,Bd,Bronze - Iron Age,-100 -- -43
808,ABMAP496,Metatarsal,47.0,Bp,Bronze - Iron Age,-100 -- -43
809,ABMAP496,Metatarsal,43.9,Dp,Bronze - Iron Age,-100 -- -43
810,ABMAP496,Metatarsal,235.0,GL,Bronze - Iron Age,-100 -- -43
811,ABMAP496,Metatarsal,241.0,Ll,Bronze - Iron Age,-100 -- -43
812,ABMAP496,Metatarsal,29.3,SD,Bronze - Iron Age,-100 -- -43
863,ABMAP584,Metatarsal,45.9,Bd,Bronze - Iron Age,-100 -- -43
864,ABMAP584,Metatarsal,44.8,Bp,Bronze - Iron Age,-100 -- -43
865,ABMAP584,Metatarsal,39.2,Dp,Bronze - Iron Age,-100 -- -43
866,ABMAP584,Metatarsal,239.0,GL,Bronze - Iron Age,-100 -- -43
867,ABMAP584,Metatarsal,29.0,SD,Bronze - Iron Age,-100 -- -43
875,ABMAP543,Metatarsal,46.0,Bd,Bronze - Iron Age,-100 -- -43
876,ABMAP543,Metatarsal,46.1,Bp,Bronze - Iron Age,-100 -- -43
877,ABMAP543,Metatarsal,40.3,Dp,Bronze - Iron Age,-100 -- -43
878,ABMAP543,Metatarsal,247.0,GL,Bronze - Iron Age,-100 -- -43
879,ABMAP543,Metatarsal,244.0,Ll,Bronze - Iron Age,-100 -- -43
880,ABMAP543,Metatarsal,27.9,SD,Bronze - Iron Age,-100 -- -43
918,ABMAP29003,Metatarsal,50.2,Bd,Medieval,1100 -- 1250
919,ABMAP29003,Metatarsal,38.1,Dd,Medieval,1100 -- 1250
927,ABMAP28571,Metatarsal,46.4,Bd,Medieval,1450 -- 1800
928,ABMAP28571,Metatarsal,37.8,Dd,Medieval,1450 -- 1800
929,ABMAP28571,Metatarsal,28.3,SD,Medieval,1450 -- 1800
944,ABMAP29036,Metatarsal,47.5,Bd,Medieval,1250 -- 1400
945,ABMAP29036,Metatarsal,34.7,Dd,Medieval,1250 -- 1400
946,ABMAP29036,Metatarsal,249.7,GL,Medieval,1250 -- 1400
947,ABMAP29036,Metatarsal,30.6,SD,Medieval,1250 -- 1400
967,ABMAP28691,Metatarsal,47.0,Bd,Medieval,1450 -- 1800
968,ABMAP28696,Metatarsal,41.2,Bd,Medieval,1300 -- 1450
969,ABMAP28696,Metatarsal,33.4,Dd,Medieval,1300 -- 1450
970,ABMAP28696,Metatarsal,242.8,GL,Medieval,1300 -- 1450
971,ABMAP28696,Metatarsal,26.0,SD,Medieval,1300 -- 1450
978,ABMAP28700,Metatarsal,244.0,GL,Medieval,1250 -- 1400
1004,ABMAP29246,Metatarsal,46.6,Bd,Medieval,1300 -- 1450
1005,ABMAP29246,Metatarsal,37.2,Dd,Medieval,1300 -- 1450
1006,ABMAP29246,Metatarsal,256.4,GL,Medieval,1300 -- 1450
1007,ABMAP29246,Metatarsal,28.5,SD,Medieval,1300 -- 1450
1008,ABMAP29248,Metatarsal,46.1,Bd,Medieval,1300 -- 1450
1009,ABMAP29248,Metatarsal,36.2,Dd,Medieval,1300 -- 1450
1010,ABMAP29248,Metatarsal,254.8,GL,Medieval,1300 -- 1450
1011,ABMAP29248,Metatarsal,27.2,SD,Medieval,1300 -- 1450
1012,ABMAP29253,Metatarsal,43.9,Bd,Medieval,1300 -- 1450
1028,ABMAP29268,Metatarsal,261.7,GL,Medieval,1450 -- 1800
1099,ABMAP29380,Metatarsal,42.9,Bd,Medieval,1100 -- 1250
1100,ABMAP29380,Metatarsal,249.4,GL,Medieval,1100 -- 1250
1101,ABMAP29380,Metatarsal,24.7,SD,Medieval,1100 -- 1250
1121,ABMAP29417,Metatarsal,49.1,Bd,Medieval,1100 -- 1250
1122,ABMAP29417,Metatarsal,38.2,Dd,Medieval,1100 -- 1250
1156,ABMAP29431,Metatarsal,43.6,Bd,Roman - Saxon,950 -- 1100
1157,ABMAP29431,Metatarsal,33.0,Dd,Roman - Saxon,950 -- 1100
1158,ABMAP29431,Metatarsal,235.4,GL,Roman - Saxon,950 -- 1100
1159,ABMAP29431,Metatarsal,26.6,SD,Roman - Saxon,950 -- 1100
1165,ABMAP29506,Metatarsal,45.2,Bd,Roman - Saxon,950 -- 1100
1166,ABMAP29506,Metatarsal,36.5,Dd,Roman - Saxon,950 -- 1100
1167,ABMAP29506,Metatarsal,262.1,GL,Roman - Saxon,950 -- 1100
1168,ABMAP29506,Metatarsal,30.1,SD,Roman - Saxon,950 -- 1100
1176,ABMAP28763,Metatarsal,44.7,Bd,Medieval,1300 -- 1450
1177,ABMAP28763,Metatarsal,34.7,Dd,Medieval,1300 -- 1450
1178,ABMAP28763,Metatarsal,28.1,SD,Medieval,1300 -- 1450
1207,ABMAP28739,Metatarsal,48.5,Bd,Medieval,1300 -- 1450
1223,ABMAP28804,Metatarsal,46.1,Bd,Medieval,1100 -- 1250
1224,ABMAP28804,Metatarsal,36.3,Dd,Medieval,1100 -- 1250
1225,ABMAP28805,Metatarsal,46.4,Bd,Medieval,1100 -- 1250
1226,ABMAP28805,Metatarsal,35.8,Dd,Medieval,1100 -- 1250
