,BONEID,ELEMENT,MEASURE,MEASTYPE,PERIOD,RANGE
103,ABMAP2153,Metatarsal,45.9,Bp,Roman - Saxon,43 -- 199
178,ABMAP85,Metatarsal,50.0,Bp,Roman - Saxon,775 -- 800
208,ABMAP83,Metatarsal,50.0,Bp,Roman - Saxon,775 -- 800
251,ABMAP17069,Metatarsal,45.7,Bp,Bronze - Iron Age,-800 -- -100
332,ABMAP26005,Metatarsal,55.3,Bp,Roman - Saxon,700 -- 732
381,ABMAP26126,Metatarsal,41.9,Bp,Roman - Saxon,733 -- 832
464,ABMAP25553,Metatarsal,48.8,Bp,Roman - Saxon,833 -- 932
471,ABMAP25554,Metatarsal,48.9,Bp,Roman - Saxon,833 -- 932
516,ABMAP26515,Metatarsal,48.8,Bp,Roman - Saxon,833 -- 932
523,ABMAP26516,Metatarsal,48.9,Bp,Roman - Saxon,833 -- 932
569,ABMAP5426,Metatarsal,41.2,Bp,Bronze - Iron Age,-800 -- 43
651,ABMAP2983,Metatarsal,40.8,Bp,Medieval,1200 -- 1399
701,ABMAP16581,Metatarsal,52.7,Bp,Medieval,1139 -- 1200
775,ABMAP478,Metatarsal,49.8,Bp,Bronze - Iron Age,-100 -- -43
780,ABMAP479,Metatarsal,45.4,Bp,Bronze - Iron Age,-100 -- -43
788,ABMAP523,Metatarsal,42.0,Bp,Bronze - Iron Age,-100 -- -43
808,ABMAP496,Metatarsal,47.0,Bp,Bronze - Iron Age,-100 -- -43
864,ABMAP584,Metatarsal,44.8,Bp,Bronze - Iron Age,-100 -- -43
876,ABMAP543,Metatarsal,46.1,Bp,Bronze - Iron Age,-100 -- -43
1394,ABMAP16637,Metatarsal,47.1,Bp,Medieval,1167 -- 1399
1419,ABMAP16640,Metatarsal,45.5,Bp,Medieval,1167 -- 1399
1449,ABMAP16641,Metatarsal,44.0,Bp,Medieval,1033 -- 1199
1455,ABMAP16642,Metatarsal,43.6,Bp,Medieval,1033 -- 1199
1496,ABMAP16638,Metatarsal,49.7,Bp,Medieval,1367 -- 1499
1505,ABMAP16636,Metatarsal,45.3,Bp,Medieval,1367 -- 1499
1628,ABMAP28538,Metatarsal,53.9,Bp,Roman - Saxon,850 -- 899
1641,ABMAP1955,Metatarsal,49.2,Bp,Roman - Saxon,43 -- 410
1646,ABMAP1963,Metatarsal,49.2,Bp,Roman - Saxon,43 -- 410
1662,ABMAP2001,Metatarsal,42.8,Bp,Roman - Saxon,43 -- 410
1678,ABMAP1892,Metatarsal,50.4,Bp,Roman - Saxon,43 -- 410
1730,ABMAP18528,Metatarsal,40.5,Bp,Bronze - Iron Age,-800 -- 43
1776,ABMAP27164,Metatarsal,49.7,Bp,Roman - Saxon,900 -- 1099
1809,ABMAP27035,Metatarsal,47.2,Bp,Roman - Saxon,900 -- 1099
1813,ABMAP27284,Metatarsal,46.3,Bp,Roman - Saxon,800 -- 999
1823,ABMAP27146,Metatarsal,53.6,Bp,Medieval,1100 -- 1399
1843,ABMAP1414,Metatarsal,41.8,Bp,Roman - Saxon,43 -- 410
1919,ABMAP743,Metatarsal,47.2,Bp,Roman - Saxon,43 -- 410
1935,ABMAP1200,Metatarsal,49.0,Bp,Roman - Saxon,43 -- 410
1943,ABMAP788,Metatarsal,48.2,Bp,Roman - Saxon,43 -- 410
2018,J_GRIMM_08WA55024-855,Metatarsal,42.9,Bp,Roman - Saxon,43 -- 150
2036,J_GRIMM_08WA56530-1260,Metatarsal,47.5,Bp,Roman - Saxon,300 -- 400
2061,J_GRIMM_08WA57960-179,Metatarsal,41.5,Bp,Medieval,1225 -- 1350
2086,J_GRIMM_08WA58571-440,Metatarsal,57.8,Bp,Roman - Saxon,43 -- 410
2174,J_GRIMM_08WA59480-1473,Metatarsal,45.7,Bp,Bronze - Iron Age,100 -- 150
2232,J_GRIMM_08WA59480-1059,Metatarsal,50.7,Bp,Medieval,1066 -- 1499
2242,J_GRIMM_08WA59560-205,Metatarsal,42.0,Bp,Bronze - Iron Age,-100 -- 43
2249,J_GRIMM_08WA59560-226,Metatarsal,46.1,Bp,Bronze - Iron Age,-100 -- 43
2294,J_GRIMM_08WA61900-135,Metatarsal,45.6,Bp,Medieval,1066 -- 1499
2308,J_GRIMM_08WA63220-5563,Metatarsal,52.8,Bp,Roman - Saxon,850 -- 1066
2320,J_GRIMM_08WA63220-5566,Metatarsal,46.1,Bp,Roman - Saxon,850 -- 1066
2346,J_GRIMM_08WA63220-5573,Metatarsal,48.1,Bp,Roman - Saxon,850 -- 1066
2429,ABMAP14055,Metatarsal,40.7,Bp,Medieval,1300 -- 1499
2472,ABMAP1492,Metatarsal,46.6,Bp,Roman - Saxon,43 -- 1066
2497,ABMAP8676,Metatarsal,49.1,Bp,Roman - Saxon,900 -- 1099
2502,ABMAP16095,Metatarsal,46.3,Bp,Bronze - Iron Age,-400 -- -100
2506,ABMAP15768,Metatarsal,44.9,Bp,Bronze - Iron Age,-400 -- -100
2510,ABMAP16229,Metatarsal,44.9,Bp,Bronze - Iron Age,-800 -- -400
2591,ABMAP15580,Metatarsal,41.5,Bp,Bronze - Iron Age,-400 -- -100
2599,ABMAP16086,Metatarsal,44.6,Bp,Bronze - Iron Age,-400 -- -100
2628,ABMAP15779,Metatarsal,42.5,Bp,Bronze - Iron Age,-800 -- -400
2659,ABMAP16099,Metatarsal,48.6,Bp,Roman - Saxon,43 -- 410
2697,ABMAP15807,Metatarsal,43.3,Bp,Bronze - Iron Age,-800 -- -400
2765,ABMAP8664,Metatarsal,45.0,Bp,Roman - Saxon,43 -- 100
2772,ABMAP303,Metatarsal,37.4,Bp,Bronze - Iron Age,-499 -- -200
2787,ABMAP427,Metatarsal,42.6,Bp,Bronze - Iron Age,-50 -- 75
2798,ABMAP429,Metatarsal,43.7,Bp,Bronze - Iron Age,-50 -- 75
2800,ABMAP430,Metatarsal,51.5,Bp,Bronze - Iron Age,-50 -- 75
2830,ABMAP304,Metatarsal,42.7,Bp,Bronze - Iron Age,-499 -- -200
2832,ABMAP305,Metatarsal,45.2,Bp,Bronze - Iron Age,-499 -- -200
2852,ABMAP9251,Metatarsal,39.6,Bp,Bronze - Iron Age,-99 -- 99
2855,ABMAP9252,Metatarsal,43.4,Bp,Bronze - Iron Age,-99 -- 99
2867,ABMAP9250,Metatarsal,45.5,Bp,Bronze - Iron Age,-99 -- 0
2874,ABMAP10606,Metatarsal,50.5,Bp,Medieval,1540 -- 1901
2876,ABMAP14302,Metatarsal,48.7,Bp,Roman - Saxon,43 -- 410
2921,ABMAP14445,Metatarsal,44.6,Bp,Roman - Saxon,43 -- 410
2992,ABMAP14438,Metatarsal,47.0,Bp,Roman - Saxon,43 -- 410
3029,ABMAP5551,Metatarsal,52.0,Bp,Modern,1900 -- 2500
3061,ABMAP10842,Metatarsal,46.2,Bp,Roman - Saxon,200 -- 410
3081,ABMAP3195,Metatarsal,48.4,Bp,Roman - Saxon,400 -- 1066
