,BONEID,ELEMENT,MEASURE,MEASTYPE,PERIOD,RANGE
562,ABMAP5431,Metatarsal,26.8,CD,Bronze - Iron Age,-800 -- 43
570,ABMAP5426,Metatarsal,24.4,CD,Bronze - Iron Age,-800 -- 43
1663,ABMAP2001,Metatarsal,25.7,CD,Roman - Saxon,43 -- 410
1844,ABMAP1414,Metatarsal,26.5,CD,Roman - Saxon,43 -- 410
2037,J_GRIMM_08WA56530-1260,Metatarsal,89.0,CD,Roman - Saxon,300 -- 400
2087,J_GRIMM_08WA58571-440,Metatarsal,112.0,CD,Roman - Saxon,43 -- 410
2175,J_GRIMM_08WA59480-1473,Metatarsal,93.0,CD,Bronze - Iron Age,100 -- 150
2233,J_GRIMM_08WA59480-1059,Metatarsal,99.0,CD,Medieval,1066 -- 1499
2239,J_GRIMM_08WA59560-55,Metatarsal,92.0,CD,Bronze - Iron Age,-100 -- 43
2243,J_GRIMM_08WA59560-205,Metatarsal,90.0,CD,Bronze - Iron Age,-100 -- 43
2250,J_GRIMM_08WA59560-226,Metatarsal,94.0,CD,Bronze - Iron Age,-100 -- 43
2295,J_GRIMM_08WA61900-135,Metatarsal,93.0,CD,Medieval,1066 -- 1499
2473,ABMAP1492,Metatarsal,24.6,CD,Roman - Saxon,43 -- 1066
2511,ABMAP16229,Metatarsal,26.8,CD,Bronze - Iron Age,-800 -- -400
2568,ABMAP15716,Metatarsal,22.1,CD,Bronze - Iron Age,-400 -- -100
2660,ABMAP16099,Metatarsal,29.4,CD,Roman - Saxon,43 -- 410
2730,ABMAP15690,Metatarsal,23.6,CD,Roman - Saxon,43 -- 410
2740,ABMAP15777,Metatarsal,28.6,CD,Bronze - Iron Age,-400 -- -100
2773,ABMAP303,Metatarsal,20.4,CD,Bronze - Iron Age,-499 -- -200
2788,ABMAP427,Metatarsal,26.8,CD,Bronze - Iron Age,-50 -- 75
2801,ABMAP430,Metatarsal,32.1,CD,Bronze - Iron Age,-50 -- 75
2833,ABMAP305,Metatarsal,27.1,CD,Bronze - Iron Age,-499 -- -200
3030,ABMAP5551,Metatarsal,29.0,CD,Modern,1900 -- 2500
