,BONEID,ELEMENT,MEASURE,MEASTYPE,PERIOD,RANGE
919,ABMAP29003,Metatarsal,38.1,Dd,Medieval,1100 -- 1250
928,ABMAP28571,Metatarsal,37.8,Dd,Medieval,1450 -- 1800
945,ABMAP29036,Metatarsal,34.7,Dd,Medieval,1250 -- 1400
969,ABMAP28696,Metatarsal,33.4,Dd,Medieval,1300 -- 1450
1005,ABMAP29246,Metatarsal,37.2,Dd,Medieval,1300 -- 1450
1009,ABMAP29248,Metatarsal,36.2,Dd,Medieval,1300 -- 1450
1122,ABMAP29417,Metatarsal,38.2,Dd,Medieval,1100 -- 1250
1157,ABMAP29431,Metatarsal,33.0,Dd,Roman - Saxon,950 -- 1100
1166,ABMAP29506,Metatarsal,36.5,Dd,Roman - Saxon,950 -- 1100
1177,ABMAP28763,Metatarsal,34.7,Dd,Medieval,1300 -- 1450
1224,ABMAP28804,Metatarsal,36.3,Dd,Medieval,1100 -- 1250
1226,ABMAP28805,Metatarsal,35.8,Dd,Medieval,1100 -- 1250
1236,ABMAP28810,Metatarsal,35.0,Dd,Medieval,1100 -- 1250
1246,ABMAP28816,Metatarsal,35.0,Dd,Medieval,1250 -- 1400
1257,ABMAP28827,Metatarsal,36.7,Dd,Medieval,1300 -- 1450
1285,ABMAP28847,Metatarsal,34.7,Dd,Medieval,1250 -- 1400
1289,ABMAP28808,Metatarsal,36.8,Dd,Medieval,1100 -- 1250
1294,ABMAP28857,Metatarsal,35.1,Dd,Medieval,1100 -- 1250
1329,ABMAP28906,Metatarsal,34.8,Dd,Medieval,1250 -- 1400
1395,ABMAP16637,Metatarsal,36.5,Dd,Medieval,1167 -- 1399
1410,ABMAP16639,Metatarsal,34.8,Dd,Medieval,1033 -- 1199
1456,ABMAP16642,Metatarsal,34.6,Dd,Medieval,1033 -- 1199
1497,ABMAP16638,Metatarsal,36.8,Dd,Medieval,1367 -- 1499
1514,ABMAP9524,Metatarsal,31.2,Dd,Roman - Saxon,333 -- 366
1517,ABMAP9525,Metatarsal,30.2,Dd,Roman - Saxon,333 -- 366
1520,ABMAP9526,Metatarsal,28.0,Dd,Roman - Saxon,333 -- 399
1540,ABMAP9527,Metatarsal,26.3,Dd,Roman - Saxon,367 -- 399
1542,ABMAP9528,Metatarsal,28.1,Dd,Roman - Saxon,367 -- 399
1545,ABMAP9529,Metatarsal,28.2,Dd,Roman - Saxon,367 -- 399
1548,ABMAP9530,Metatarsal,26.2,Dd,Roman - Saxon,367 -- 399
1551,ABMAP9531,Metatarsal,29.0,Dd,Roman - Saxon,367 -- 399
1566,ABMAP9532,Metatarsal,27.2,Dd,Roman - Saxon,300 -- 399
1569,ABMAP9533,Metatarsal,25.4,Dd,Roman - Saxon,300 -- 399
1572,ABMAP9534,Metatarsal,28.5,Dd,Roman - Saxon,300 -- 399
1584,ABMAP9520,Metatarsal,28.0,Dd,Roman - Saxon,67 -- 132
1593,ABMAP9521,Metatarsal,27.9,Dd,Roman - Saxon,100 -- 399
1595,ABMAP9522,Metatarsal,28.0,Dd,Roman - Saxon,100 -- 399
1598,ABMAP9523,Metatarsal,28.0,Dd,Roman - Saxon,300 -- 366
2039,J_GRIMM_08WA56530-1260,Metatarsal,34.0,Dd,Roman - Saxon,300 -- 400
2245,J_GRIMM_08WA59560-205,Metatarsal,31.8,Dd,Bronze - Iron Age,-100 -- 43
2252,J_GRIMM_08WA59560-226,Metatarsal,35.5,Dd,Bronze - Iron Age,-100 -- 43
2430,ABMAP14055,Metatarsal,34.2,Dd,Medieval,1300 -- 1499
2445,ABMAP14069,Metatarsal,36.5,Dd,Medieval,1300 -- 1499
2877,ABMAP14302,Metatarsal,37.5,Dd,Roman - Saxon,43 -- 410
2922,ABMAP14445,Metatarsal,35.3,Dd,Roman - Saxon,43 -- 410
2981,ABMAP14408,Metatarsal,35.0,Dd,Roman - Saxon,43 -- 410
2989,ABMAP14459,Metatarsal,34.2,Dd,Roman - Saxon,43 -- 410
3009,ABMAP14514,Metatarsal,34.3,Dd,Roman - Saxon,43 -- 410
