,BONEID,ELEMENT,MEASURE,MEASTYPE,PERIOD,RANGE
104,ABMAP2153,Metatarsal,42.4,Dp,Roman - Saxon,43 -- 199
252,ABMAP17069,Metatarsal,42.4,Dp,Bronze - Iron Age,-800 -- -100
333,ABMAP26005,Metatarsal,47.8,Dp,Roman - Saxon,700 -- 732
382,ABMAP26126,Metatarsal,46.9,Dp,Roman - Saxon,733 -- 832
465,ABMAP25553,Metatarsal,39.5,Dp,Roman - Saxon,833 -- 932
472,ABMAP25554,Metatarsal,40.5,Dp,Roman - Saxon,833 -- 932
517,ABMAP26515,Metatarsal,39.5,Dp,Roman - Saxon,833 -- 932
524,ABMAP26516,Metatarsal,40.5,Dp,Roman - Saxon,833 -- 932
571,ABMAP5426,Metatarsal,36.8,Dp,Bronze - Iron Age,-800 -- 43
702,ABMAP16581,Metatarsal,47.4,Dp,Medieval,1139 -- 1200
776,ABMAP478,Metatarsal,42.9,Dp,Bronze - Iron Age,-100 -- -43
781,ABMAP479,Metatarsal,41.2,Dp,Bronze - Iron Age,-100 -- -43
789,ABMAP523,Metatarsal,34.8,Dp,Bronze - Iron Age,-100 -- -43
809,ABMAP496,Metatarsal,43.9,Dp,Bronze - Iron Age,-100 -- -43
865,ABMAP584,Metatarsal,39.2,Dp,Bronze - Iron Age,-100 -- -43
877,ABMAP543,Metatarsal,40.3,Dp,Bronze - Iron Age,-100 -- -43
1396,ABMAP16637,Metatarsal,39.2,Dp,Medieval,1167 -- 1399
1450,ABMAP16641,Metatarsal,41.1,Dp,Medieval,1033 -- 1199
1457,ABMAP16642,Metatarsal,42.1,Dp,Medieval,1033 -- 1199
1498,ABMAP16638,Metatarsal,44.1,Dp,Medieval,1367 -- 1499
1506,ABMAP16636,Metatarsal,38.2,Dp,Medieval,1367 -- 1499
1642,ABMAP1955,Metatarsal,41.7,Dp,Roman - Saxon,43 -- 410
1647,ABMAP1963,Metatarsal,41.7,Dp,Roman - Saxon,43 -- 410
1664,ABMAP2001,Metatarsal,38.8,Dp,Roman - Saxon,43 -- 410
1731,ABMAP18528,Metatarsal,33.5,Dp,Bronze - Iron Age,-800 -- 43
1777,ABMAP27164,Metatarsal,42.9,Dp,Roman - Saxon,900 -- 1099
1814,ABMAP27284,Metatarsal,39.0,Dp,Roman - Saxon,800 -- 999
1824,ABMAP27146,Metatarsal,40.5,Dp,Medieval,1100 -- 1399
1920,ABMAP743,Metatarsal,40.6,Dp,Roman - Saxon,43 -- 410
1944,ABMAP788,Metatarsal,42.9,Dp,Roman - Saxon,43 -- 410
2431,ABMAP14055,Metatarsal,37.3,Dp,Medieval,1300 -- 1499
2474,ABMAP1492,Metatarsal,40.1,Dp,Roman - Saxon,43 -- 1066
2503,ABMAP16095,Metatarsal,40.2,Dp,Bronze - Iron Age,-400 -- -100
2507,ABMAP15768,Metatarsal,43.3,Dp,Bronze - Iron Age,-400 -- -100
2512,ABMAP16229,Metatarsal,42.1,Dp,Bronze - Iron Age,-800 -- -400
2592,ABMAP15580,Metatarsal,38.7,Dp,Bronze - Iron Age,-400 -- -100
2629,ABMAP15779,Metatarsal,34.8,Dp,Bronze - Iron Age,-800 -- -400
2661,ABMAP16099,Metatarsal,42.9,Dp,Roman - Saxon,43 -- 410
2698,ABMAP15807,Metatarsal,35.1,Dp,Bronze - Iron Age,-800 -- -400
2741,ABMAP15777,Metatarsal,43.5,Dp,Bronze - Iron Age,-400 -- -100
2789,ABMAP427,Metatarsal,39.1,Dp,Bronze - Iron Age,-50 -- 75
2802,ABMAP430,Metatarsal,45.2,Dp,Bronze - Iron Age,-50 -- 75
2834,ABMAP305,Metatarsal,41.0,Dp,Bronze - Iron Age,-499 -- -200
2878,ABMAP14302,Metatarsal,42.0,Dp,Roman - Saxon,43 -- 410
2923,ABMAP14445,Metatarsal,40.0,Dp,Roman - Saxon,43 -- 410
2993,ABMAP14438,Metatarsal,38.9,Dp,Roman - Saxon,43 -- 410
3031,ABMAP5551,Metatarsal,45.5,Dp,Modern,1900 -- 2500
3082,ABMAP3195,Metatarsal,39.3,Dp,Roman - Saxon,400 -- 1066
