,BONEID,ELEMENT,MEASURE,MEASTYPE,PERIOD,RANGE
179,ABMAP85,Metatarsal,271.0,GL,Roman - Saxon,775 -- 800
209,ABMAP83,Metatarsal,263.0,GL,Roman - Saxon,775 -- 800
253,ABMAP17069,Metatarsal,252.2,GL,Bronze - Iron Age,-800 -- -100
277,ABMAP30463,Metatarsal,260.0,GL,Roman - Saxon,900 -- 1032
292,ABMAP26003,Metatarsal,247.0,GL,Roman - Saxon,700 -- 732
296,ABMAP26004,Metatarsal,248.5,GL,Roman - Saxon,700 -- 732
334,ABMAP26005,Metatarsal,272.0,GL,Roman - Saxon,700 -- 732
359,ABMAP26125,Metatarsal,257.0,GL,Roman - Saxon,733 -- 832
383,ABMAP26126,Metatarsal,256.1,GL,Roman - Saxon,733 -- 832
466,ABMAP25553,Metatarsal,257.4,GL,Roman - Saxon,833 -- 932
473,ABMAP25554,Metatarsal,257.0,GL,Roman - Saxon,833 -- 932
518,ABMAP26515,Metatarsal,257.4,GL,Roman - Saxon,833 -- 932
525,ABMAP26516,Metatarsal,257.0,GL,Roman - Saxon,833 -- 932
563,ABMAP5431,Metatarsal,239.7,GL,Bronze - Iron Age,-800 -- 43
572,ABMAP5426,Metatarsal,232.3,GL,Bronze - Iron Age,-800 -- 43
652,ABMAP2983,Metatarsal,247.0,GL,Medieval,1200 -- 1399
777,ABMAP478,Metatarsal,215.0,GL,Bronze - Iron Age,-100 -- -43
782,ABMAP479,Metatarsal,249.1,GL,Bronze - Iron Age,-100 -- -43
810,ABMAP496,Metatarsal,235.0,GL,Bronze - Iron Age,-100 -- -43
866,ABMAP584,Metatarsal,239.0,GL,Bronze - Iron Age,-100 -- -43
878,ABMAP543,Metatarsal,247.0,GL,Bronze - Iron Age,-100 -- -43
946,ABMAP29036,Metatarsal,249.7,GL,Medieval,1250 -- 1400
970,ABMAP28696,Metatarsal,242.8,GL,Medieval,1300 -- 1450
978,ABMAP28700,Metatarsal,244.0,GL,Medieval,1250 -- 1400
1006,ABMAP29246,Metatarsal,256.4,GL,Medieval,1300 -- 1450
1010,ABMAP29248,Metatarsal,254.8,GL,Medieval,1300 -- 1450
1028,ABMAP29268,Metatarsal,261.7,GL,Medieval,1450 -- 1800
1100,ABMAP29380,Metatarsal,249.4,GL,Medieval,1100 -- 1250
1158,ABMAP29431,Metatarsal,235.4,GL,Roman - Saxon,950 -- 1100
1167,ABMAP29506,Metatarsal,262.1,GL,Roman - Saxon,950 -- 1100
1227,ABMAP28805,Metatarsal,253.0,GL,Medieval,1100 -- 1250
1237,ABMAP28810,Metatarsal,264.0,GL,Medieval,1100 -- 1250
1286,ABMAP28847,Metatarsal,267.2,GL,Medieval,1250 -- 1400
1295,ABMAP28857,Metatarsal,253.1,GL,Medieval,1100 -- 1250
1397,ABMAP16637,Metatarsal,251.0,GL,Medieval,1167 -- 1399
1451,ABMAP16641,Metatarsal,251.0,GL,Medieval,1033 -- 1199
1458,ABMAP16642,Metatarsal,250.0,GL,Medieval,1033 -- 1199
1499,ABMAP16638,Metatarsal,260.0,GL,Medieval,1367 -- 1499
1515,ABMAP9524,Metatarsal,294.0,GL,Roman - Saxon,333 -- 366
1518,ABMAP9525,Metatarsal,273.0,GL,Roman - Saxon,333 -- 366
1521,ABMAP9526,Metatarsal,264.5,GL,Roman - Saxon,333 -- 399
1543,ABMAP9528,Metatarsal,285.5,GL,Roman - Saxon,367 -- 399
1546,ABMAP9529,Metatarsal,283.0,GL,Roman - Saxon,367 -- 399
1549,ABMAP9530,Metatarsal,234.1,GL,Roman - Saxon,367 -- 399
1552,ABMAP9531,Metatarsal,256.1,GL,Roman - Saxon,367 -- 399
1567,ABMAP9532,Metatarsal,256.3,GL,Roman - Saxon,300 -- 399
1570,ABMAP9533,Metatarsal,232.3,GL,Roman - Saxon,300 -- 399
1573,ABMAP9534,Metatarsal,278.5,GL,Roman - Saxon,300 -- 399
1585,ABMAP9520,Metatarsal,265.0,GL,Roman - Saxon,67 -- 132
1596,ABMAP9522,Metatarsal,271.0,GL,Roman - Saxon,100 -- 399
1599,ABMAP9523,Metatarsal,259.5,GL,Roman - Saxon,300 -- 366
1601,ABMAP3370,Metatarsal,258.0,GL,Medieval,1000 -- 1199
1732,ABMAP18528,Metatarsal,224.5,GL,Bronze - Iron Age,-800 -- 43
1815,ABMAP27284,Metatarsal,250.0,GL,Roman - Saxon,800 -- 999
1921,ABMAP743,Metatarsal,248.0,GL,Roman - Saxon,43 -- 410
2033,J_GRIMM_08WA56530-1260,Metatarsal,245.0,GL,Roman - Saxon,300 -- 400
2062,J_GRIMM_08WA57960-179,Metatarsal,240.0,GL,Medieval,1225 -- 1350
2088,J_GRIMM_08WA58571-440,Metatarsal,297.0,GL,Roman - Saxon,43 -- 410
2237,J_GRIMM_08WA59480-2463,Metatarsal,245.0,GL,Medieval,1066 -- 1499
2246,J_GRIMM_08WA59560-205,Metatarsal,236.0,GL,Bronze - Iron Age,-100 -- 43
2253,J_GRIMM_08WA59560-226,Metatarsal,254.0,GL,Bronze - Iron Age,-100 -- 43
2296,J_GRIMM_08WA61900-135,Metatarsal,254.0,GL,Medieval,1066 -- 1499
2309,J_GRIMM_08WA63220-5563,Metatarsal,268.0,GL,Roman - Saxon,850 -- 1066
2321,J_GRIMM_08WA63220-5566,Metatarsal,246.0,GL,Roman - Saxon,850 -- 1066
2347,J_GRIMM_08WA63220-5573,Metatarsal,247.0,GL,Roman - Saxon,850 -- 1066
2432,ABMAP14055,Metatarsal,239.0,GL,Medieval,1300 -- 1499
2498,ABMAP8676,Metatarsal,250.3,GL,Roman - Saxon,900 -- 1099
2513,ABMAP16229,Metatarsal,247.8,GL,Bronze - Iron Age,-800 -- -400
2569,ABMAP15716,Metatarsal,219.0,GL,Bronze - Iron Age,-400 -- -100
2662,ABMAP16099,Metatarsal,254.5,GL,Roman - Saxon,43 -- 410
2691,ABMAP15771,Metatarsal,231.0,GL,Bronze - Iron Age,-400 -- -100
2731,ABMAP15690,Metatarsal,226.0,GL,Roman - Saxon,43 -- 410
2742,ABMAP15777,Metatarsal,245.4,GL,Bronze - Iron Age,-400 -- -100
2766,ABMAP8664,Metatarsal,248.0,GL,Roman - Saxon,43 -- 100
2774,ABMAP303,Metatarsal,215.2,GL,Bronze - Iron Age,-499 -- -200
2790,ABMAP427,Metatarsal,225.1,GL,Bronze - Iron Age,-50 -- 75
2803,ABMAP430,Metatarsal,276.0,GL,Bronze - Iron Age,-50 -- 75
2835,ABMAP305,Metatarsal,249.0,GL,Bronze - Iron Age,-499 -- -200
2856,ABMAP9252,Metatarsal,205.0,GL,Bronze - Iron Age,-99 -- 99
2879,ABMAP14302,Metatarsal,257.0,GL,Roman - Saxon,43 -- 410
2924,ABMAP14445,Metatarsal,245.0,GL,Roman - Saxon,43 -- 410
2994,ABMAP14438,Metatarsal,246.6,GL,Roman - Saxon,43 -- 410
3032,ABMAP5551,Metatarsal,300.6,GL,Modern,1900 -- 2500
3062,ABMAP10842,Metatarsal,248.5,GL,Roman - Saxon,200 -- 410
