,BONEID,ELEMENT,MEASURE,MEASTYPE,PERIOD,RANGE
105,ABMAP2153,Metatarsal,191.5,Ll,Roman - Saxon,43 -- 199
254,ABMAP17069,Metatarsal,249.4,Ll,Bronze - Iron Age,-800 -- -100
293,ABMAP26003,Metatarsal,241.1,Ll,Roman - Saxon,700 -- 732
297,ABMAP26004,Metatarsal,244.0,Ll,Roman - Saxon,700 -- 732
335,ABMAP26005,Metatarsal,265.0,Ll,Roman - Saxon,700 -- 732
360,ABMAP26125,Metatarsal,255.0,Ll,Roman - Saxon,733 -- 832
467,ABMAP25553,Metatarsal,253.6,Ll,Roman - Saxon,833 -- 932
474,ABMAP25554,Metatarsal,255.0,Ll,Roman - Saxon,833 -- 932
519,ABMAP26515,Metatarsal,253.6,Ll,Roman - Saxon,833 -- 932
526,ABMAP26516,Metatarsal,255.0,Ll,Roman - Saxon,833 -- 932
778,ABMAP478,Metatarsal,210.6,Ll,Bronze - Iron Age,-100 -- -43
783,ABMAP479,Metatarsal,247.2,Ll,Bronze - Iron Age,-100 -- -43
811,ABMAP496,Metatarsal,241.0,Ll,Bronze - Iron Age,-100 -- -43
879,ABMAP543,Metatarsal,244.0,Ll,Bronze - Iron Age,-100 -- -43
1398,ABMAP16637,Metatarsal,244.0,Ll,Medieval,1167 -- 1399
1452,ABMAP16641,Metatarsal,249.0,Ll,Medieval,1033 -- 1199
1459,ABMAP16642,Metatarsal,240.0,Ll,Medieval,1033 -- 1199
1500,ABMAP16638,Metatarsal,251.0,Ll,Medieval,1367 -- 1499
1643,ABMAP1955,Metatarsal,258.0,Ll,Roman - Saxon,43 -- 410
1648,ABMAP1963,Metatarsal,258.0,Ll,Roman - Saxon,43 -- 410
1665,ABMAP2001,Metatarsal,236.5,Ll,Roman - Saxon,43 -- 410
1733,ABMAP18528,Metatarsal,220.5,Ll,Bronze - Iron Age,-800 -- 43
1810,ABMAP27035,Metatarsal,247.5,Ll,Roman - Saxon,900 -- 1099
1816,ABMAP27284,Metatarsal,244.0,Ll,Roman - Saxon,800 -- 999
1845,ABMAP1414,Metatarsal,239.8,Ll,Roman - Saxon,43 -- 410
1922,ABMAP743,Metatarsal,242.9,Ll,Roman - Saxon,43 -- 410
2434,ABMAP14055,Metatarsal,235.5,Ll,Medieval,1300 -- 1499
2475,ABMAP1492,Metatarsal,246.1,Ll,Roman - Saxon,43 -- 1066
2663,ABMAP16099,Metatarsal,247.8,Ll,Roman - Saxon,43 -- 410
2692,ABMAP15771,Metatarsal,226.7,Ll,Bronze - Iron Age,-400 -- -100
2743,ABMAP15777,Metatarsal,239.9,Ll,Bronze - Iron Age,-400 -- -100
2775,ABMAP303,Metatarsal,210.2,Ll,Bronze - Iron Age,-499 -- -200
2791,ABMAP427,Metatarsal,218.5,Ll,Bronze - Iron Age,-50 -- 75
2804,ABMAP430,Metatarsal,271.0,Ll,Bronze - Iron Age,-50 -- 75
2836,ABMAP305,Metatarsal,241.0,Ll,Bronze - Iron Age,-499 -- -200
2881,ABMAP14302,Metatarsal,248.3,Ll,Roman - Saxon,43 -- 410
2926,ABMAP14445,Metatarsal,236.0,Ll,Roman - Saxon,43 -- 410
3033,ABMAP5551,Metatarsal,286.0,Ll,Modern,1900 -- 2500
3083,ABMAP3195,Metatarsal,252.0,Ll,Roman - Saxon,400 -- 1066
