,BONEID,ELEMENT,MEASURE,MEASTYPE,PERIOD,RANGE
106,ABMAP2153,Metatarsal,27.9,SD,Roman - Saxon,43 -- 199
180,ABMAP85,Metatarsal,30.5,SD,Roman - Saxon,775 -- 800
197,ABMAP84,Metatarsal,31.4,SD,Roman - Saxon,840 -- 860
211,ABMAP83,Metatarsal,32.3,SD,Roman - Saxon,775 -- 800
255,ABMAP17069,Metatarsal,29.8,SD,Bronze - Iron Age,-800 -- -100
278,ABMAP30463,Metatarsal,28.0,SD,Roman - Saxon,900 -- 1032
294,ABMAP26003,Metatarsal,28.4,SD,Roman - Saxon,700 -- 732
298,ABMAP26004,Metatarsal,27.9,SD,Roman - Saxon,700 -- 732
336,ABMAP26005,Metatarsal,33.9,SD,Roman - Saxon,700 -- 732
361,ABMAP26125,Metatarsal,30.2,SD,Roman - Saxon,733 -- 832
384,ABMAP26126,Metatarsal,30.4,SD,Roman - Saxon,733 -- 832
468,ABMAP25553,Metatarsal,31.5,SD,Roman - Saxon,833 -- 932
475,ABMAP25554,Metatarsal,30.8,SD,Roman - Saxon,833 -- 932
520,ABMAP26515,Metatarsal,31.5,SD,Roman - Saxon,833 -- 932
527,ABMAP26516,Metatarsal,30.8,SD,Roman - Saxon,833 -- 932
564,ABMAP5431,Metatarsal,25.5,SD,Bronze - Iron Age,-800 -- 43
573,ABMAP5426,Metatarsal,25.6,SD,Bronze - Iron Age,-800 -- 43
574,ABMAP13832,Metatarsal,30.5,SD,Roman - Saxon,43 -- 199
654,ABMAP2983,Metatarsal,31.7,SD,Medieval,1200 -- 1399
779,ABMAP478,Metatarsal,28.4,SD,Bronze - Iron Age,-100 -- -43
784,ABMAP479,Metatarsal,28.3,SD,Bronze - Iron Age,-100 -- -43
812,ABMAP496,Metatarsal,29.3,SD,Bronze - Iron Age,-100 -- -43
867,ABMAP584,Metatarsal,29.0,SD,Bronze - Iron Age,-100 -- -43
880,ABMAP543,Metatarsal,27.9,SD,Bronze - Iron Age,-100 -- -43
929,ABMAP28571,Metatarsal,28.3,SD,Medieval,1450 -- 1800
947,ABMAP29036,Metatarsal,30.6,SD,Medieval,1250 -- 1400
971,ABMAP28696,Metatarsal,26.0,SD,Medieval,1300 -- 1450
1007,ABMAP29246,Metatarsal,28.5,SD,Medieval,1300 -- 1450
1011,ABMAP29248,Metatarsal,27.2,SD,Medieval,1300 -- 1450
1101,ABMAP29380,Metatarsal,24.7,SD,Medieval,1100 -- 1250
1159,ABMAP29431,Metatarsal,26.6,SD,Roman - Saxon,950 -- 1100
1168,ABMAP29506,Metatarsal,30.1,SD,Roman - Saxon,950 -- 1100
1178,ABMAP28763,Metatarsal,28.1,SD,Medieval,1300 -- 1450
1238,ABMAP28810,Metatarsal,23.4,SD,Medieval,1100 -- 1250
1287,ABMAP28847,Metatarsal,28.2,SD,Medieval,1250 -- 1400
1296,ABMAP28857,Metatarsal,28.2,SD,Medieval,1100 -- 1250
1399,ABMAP16637,Metatarsal,29.6,SD,Medieval,1167 -- 1399
1411,ABMAP16639,Metatarsal,29.9,SD,Medieval,1033 -- 1199
1453,ABMAP16641,Metatarsal,28.3,SD,Medieval,1033 -- 1199
1460,ABMAP16642,Metatarsal,28.6,SD,Medieval,1033 -- 1199
1501,ABMAP16638,Metatarsal,31.3,SD,Medieval,1367 -- 1499
1507,ABMAP16636,Metatarsal,25.8,SD,Medieval,1367 -- 1499
1644,ABMAP1955,Metatarsal,28.0,SD,Roman - Saxon,43 -- 410
1649,ABMAP1963,Metatarsal,28.0,SD,Roman - Saxon,43 -- 410
1666,ABMAP2001,Metatarsal,26.5,SD,Roman - Saxon,43 -- 410
1734,ABMAP18528,Metatarsal,26.9,SD,Bronze - Iron Age,-800 -- 43
1775,ABMAP27164,Metatarsal,33.9,SD,Roman - Saxon,900 -- 1099
1811,ABMAP27035,Metatarsal,30.6,SD,Roman - Saxon,900 -- 1099
1817,ABMAP27284,Metatarsal,29.3,SD,Roman - Saxon,800 -- 999
1846,ABMAP1414,Metatarsal,27.1,SD,Roman - Saxon,43 -- 410
1923,ABMAP743,Metatarsal,28.0,SD,Roman - Saxon,43 -- 410
2034,J_GRIMM_08WA56530-1260,Metatarsal,28.5,SD,Roman - Saxon,300 -- 400
2063,J_GRIMM_08WA57960-179,Metatarsal,29.1,SD,Medieval,1225 -- 1350
2089,J_GRIMM_08WA58571-440,Metatarsal,35.2,SD,Roman - Saxon,43 -- 410
2176,J_GRIMM_08WA59480-1473,Metatarsal,27.5,SD,Bronze - Iron Age,100 -- 150
2234,J_GRIMM_08WA59480-1059,Metatarsal,30.6,SD,Medieval,1066 -- 1499
2238,J_GRIMM_08WA59480-2463,Metatarsal,26.0,SD,Medieval,1066 -- 1499
2240,J_GRIMM_08WA59560-55,Metatarsal,27.5,SD,Bronze - Iron Age,-100 -- 43
2247,J_GRIMM_08WA59560-205,Metatarsal,27.6,SD,Bronze - Iron Age,-100 -- 43
2297,J_GRIMM_08WA61900-135,Metatarsal,29.4,SD,Medieval,1066 -- 1499
2310,J_GRIMM_08WA63220-5563,Metatarsal,34.1,SD,Roman - Saxon,850 -- 1066
2322,J_GRIMM_08WA63220-5566,Metatarsal,28.8,SD,Roman - Saxon,850 -- 1066
2348,J_GRIMM_08WA63220-5573,Metatarsal,30.7,SD,Roman - Saxon,850 -- 1066
2435,ABMAP14055,Metatarsal,25.5,SD,Medieval,1300 -- 1499
2446,ABMAP14069,Metatarsal,28.9,SD,Medieval,1300 -- 1499
2476,ABMAP1492,Metatarsal,27.3,SD,Roman - Saxon,43 -- 1066
2499,ABMAP8676,Metatarsal,29.8,SD,Roman - Saxon,900 -- 1099
2514,ABMAP16229,Metatarsal,28.0,SD,Bronze - Iron Age,-800 -- -400
2570,ABMAP15716,Metatarsal,25.2,SD,Bronze - Iron Age,-400 -- -100
2664,ABMAP16099,Metatarsal,27.8,SD,Roman - Saxon,43 -- 410
2693,ABMAP15771,Metatarsal,26.9,SD,Bronze - Iron Age,-400 -- -100
2699,ABMAP15807,Metatarsal,26.8,SD,Bronze - Iron Age,-800 -- -400
2732,ABMAP15690,Metatarsal,24.5,SD,Roman - Saxon,43 -- 410
2744,ABMAP15777,Metatarsal,27.7,SD,Bronze - Iron Age,-400 -- -100
2776,ABMAP303,Metatarsal,23.5,SD,Bronze - Iron Age,-499 -- -200
2792,ABMAP427,Metatarsal,25.5,SD,Bronze - Iron Age,-50 -- 75
2805,ABMAP430,Metatarsal,32.8,SD,Bronze - Iron Age,-50 -- 75
2837,ABMAP305,Metatarsal,30.7,SD,Bronze - Iron Age,-499 -- -200
2927,ABMAP14445,Metatarsal,27.6,SD,Roman - Saxon,43 -- 410
2982,ABMAP14408,Metatarsal,28.8,SD,Roman - Saxon,43 -- 410
2990,ABMAP14459,Metatarsal,26.6,SD,Roman - Saxon,43 -- 410
2995,ABMAP14438,Metatarsal,30.4,SD,Roman - Saxon,43 -- 410
3034,ABMAP5551,Metatarsal,30.8,SD,Modern,1900 -- 2500
3063,ABMAP10842,Metatarsal,26.5,SD,Roman - Saxon,200 -- 410
3084,ABMAP3195,Metatarsal,30.1,SD,Roman - Saxon,400 -- 1066
