,BONEID,ELEMENT,MEASURE,MEASTYPE,PERIOD,RANGE
256,ABMAP17069,Metatarsal,24.4,TD,Bronze - Iron Age,-800 -- -100
469,ABMAP25553,Metatarsal,24.3,TD,Roman - Saxon,833 -- 932
476,ABMAP25554,Metatarsal,24.4,TD,Roman - Saxon,833 -- 932
521,ABMAP26515,Metatarsal,24.3,TD,Roman - Saxon,833 -- 932
528,ABMAP26516,Metatarsal,24.4,TD,Roman - Saxon,833 -- 932
575,ABMAP13832,Metatarsal,25.0,TD,Roman - Saxon,43 -- 199
2436,ABMAP14055,Metatarsal,20.7,TD,Medieval,1300 -- 1499
2447,ABMAP14069,Metatarsal,22.8,TD,Medieval,1300 -- 1499
2618,ABMAP16139,Metatarsal,21.6,TD,Roman - Saxon,43 -- 410
2882,ABMAP14302,Metatarsal,24.7,TD,Roman - Saxon,43 -- 410
2928,ABMAP14445,Metatarsal,23.5,TD,Roman - Saxon,43 -- 410
2983,ABMAP14408,Metatarsal,23.3,TD,Roman - Saxon,43 -- 410
2991,ABMAP14459,Metatarsal,22.4,TD,Roman - Saxon,43 -- 410
3010,ABMAP14514,Metatarsal,25.2,TD,Roman - Saxon,43 -- 410
3064,ABMAP10842,Metatarsal,22.0,TD,Roman - Saxon,200 -- 410
