,BONEID,ELEMENT,MEASURE,MEASTYPE,PERIOD,RANGE
71,ABMAP5466,Pelvis,50.5,LA,Bronze - Iron Age,-299 -- 99
213,ABMAP67,Pelvis,73.0,LA,Roman - Saxon,775 -- 800
244,ABMAP17296,Pelvis,62.0,LA,Bronze - Iron Age,-99 -- 99
245,ABMAP17296,Pelvis,57.9,LAR,Bronze - Iron Age,-99 -- 99
247,ABMAP17049,Pelvis,63.6,LA,Bronze - Iron Age,-800 -- -100
248,ABMAP17049,Pelvis,20.9,SB,Bronze - Iron Age,-800 -- -100
249,ABMAP17049,Pelvis,41.7,SH,Bronze - Iron Age,-800 -- -100
323,ABMAP25995,Pelvis,61.1,LA,Roman - Saxon,700 -- 732
324,ABMAP25995,Pelvis,58.3,LAR,Roman - Saxon,700 -- 732
325,ABMAP25995,Pelvis,25.2,SB,Roman - Saxon,700 -- 732
326,ABMAP25995,Pelvis,35.5,SH,Roman - Saxon,700 -- 732
327,ABMAP25996,Pelvis,63.8,LA,Roman - Saxon,700 -- 732
328,ABMAP25996,Pelvis,60.6,LAR,Roman - Saxon,700 -- 732
329,ABMAP25996,Pelvis,24.8,SB,Roman - Saxon,700 -- 732
330,ABMAP25996,Pelvis,36.6,SH,Roman - Saxon,700 -- 732
593,ABMAP2972,Pelvis,55.4,LAR,Roman - Saxon,900 -- 999
975,ABMAP29180,Pelvis,56.7,LAR,Medieval,1100 -- 1250
976,ABMAP29181,Pelvis,58.9,LAR,Medieval,1100 -- 1250
986,ABMAP29448,Pelvis,58.4,LAR,Medieval,1100 -- 1250
1000,ABMAP29239,Pelvis,57.3,LAR,Medieval,1250 -- 1400
1045,ABMAP29296,Pelvis,53.9,LAR,Medieval,1250 -- 1400
1069,ABMAP29318,Pelvis,57.6,LAR,Medieval,1250 -- 1400
1079,ABMAP29333,Pelvis,56.2,LAR,Medieval,1100 -- 1250
1096,ABMAP29374,Pelvis,58.8,LAR,Medieval,1100 -- 1250
1117,ABMAP29407,Pelvis,55.8,LAR,Medieval,1450 -- 1800
1130,ABMAP29205,Pelvis,56.1,LAR,Medieval,1100 -- 1250
1136,ABMAP29487,Pelvis,60.7,LAR,Medieval,1100 -- 1250
1222,ABMAP28695,Pelvis,56.1,LAR,Medieval,1250 -- 1400
1263,ABMAP28830,Pelvis,55.6,LAR,Medieval,1300 -- 1450
1301,ABMAP28860,Pelvis,55.2,LAR,Medieval,1100 -- 1250
1314,ABMAP28879,Pelvis,54.1,LAR,Medieval,1250 -- 1400
1327,ABMAP28904,Pelvis,49.8,LAR,Medieval,1250 -- 1400
1332,ABMAP28935,Pelvis,63.0,LAR,Medieval,1100 -- 1250
1353,ABMAP17998,Pelvis,27.5,SB,Medieval,1600 -- 1799
1354,ABMAP17998,Pelvis,41.7,SH,Medieval,1600 -- 1799
1491,ABMAP16619,Pelvis,52.0,LAR,Medieval,1033 -- 1499
1704,ABMAP28123,Pelvis,60.4,LA,Roman - Saxon,800 -- 1066
1705,ABMAP28123,Pelvis,55.4,LAR,Roman - Saxon,800 -- 1066
1767,ABMAP18526,Pelvis,62.0,LA,Bronze - Iron Age,-1000 -- -400
1768,ABMAP18526,Pelvis,57.4,LAR,Bronze - Iron Age,-1000 -- -400
1769,ABMAP18526,Pelvis,23.8,SB,Bronze - Iron Age,-1000 -- -400
1986,ABMAP9043,Pelvis,46.0,LAR,Bronze - Iron Age,-299 -- -100
2290,J_GRIMM_08WA61900-261,Pelvis,20.6,SB,Medieval,1066 -- 1499
2291,J_GRIMM_08WA61900-261,Pelvis,79.0,SC,Medieval,1066 -- 1499
2292,J_GRIMM_08WA61900-261,Pelvis,26.6,SH,Medieval,1066 -- 1499
2349,J_GRIMM_08WA63661-210,Pelvis,55.0,LA,Bronze - Iron Age,-700 -- -100
2350,J_GRIMM_08WA63661-210,Pelvis,54.0,LFo,Bronze - Iron Age,-700 -- -100
2357,J_GRIMM_08WA64560-1024,Pelvis,62.8,LAR,Roman - Saxon,410 -- 1066
2358,J_GRIMM_08WA64560-1024,Pelvis,69.5,LFo,Roman - Saxon,410 -- 1066
2359,J_GRIMM_08WA64560-1024,Pelvis,27.8,SB,Roman - Saxon,410 -- 1066
2360,J_GRIMM_08WA64560-1024,Pelvis,127.0,SC,Roman - Saxon,410 -- 1066
2361,J_GRIMM_08WA64560-1024,Pelvis,47.9,SH,Roman - Saxon,410 -- 1066
2362,J_GRIMM_08WA64560-817,Pelvis,63.4,LAR,Roman - Saxon,410 -- 1066
2363,J_GRIMM_08WA64560-817,Pelvis,25.6,SB,Roman - Saxon,410 -- 1066
2364,J_GRIMM_08WA64560-817,Pelvis,105.0,SC,Roman - Saxon,410 -- 1066
2365,J_GRIMM_08WA64560-817,Pelvis,39.1,SH,Roman - Saxon,410 -- 1066
3071,ABMAP27257,Pelvis,62.5,LA,Roman - Saxon,800 -- 999
3072,ABMAP27257,Pelvis,57.6,LAR,Roman - Saxon,800 -- 999
