,BONEID,ELEMENT,MEASURE,MEASTYPE,PERIOD,RANGE
71,ABMAP5466,Pelvis,50.5,LA,Bronze - Iron Age,-299 -- 99
213,ABMAP67,Pelvis,73.0,LA,Roman - Saxon,775 -- 800
244,ABMAP17296,Pelvis,62.0,LA,Bronze - Iron Age,-99 -- 99
247,ABMAP17049,Pelvis,63.6,LA,Bronze - Iron Age,-800 -- -100
323,ABMAP25995,Pelvis,61.1,LA,Roman - Saxon,700 -- 732
327,ABMAP25996,Pelvis,63.8,LA,Roman - Saxon,700 -- 732
1704,ABMAP28123,Pelvis,60.4,LA,Roman - Saxon,800 -- 1066
1767,ABMAP18526,Pelvis,62.0,LA,Bronze - Iron Age,-1000 -- -400
2349,J_GRIMM_08WA63661-210,Pelvis,55.0,LA,Bronze - Iron Age,-700 -- -100
3071,ABMAP27257,Pelvis,62.5,LA,Roman - Saxon,800 -- 999
