,BONEID,ELEMENT,MEASURE,MEASTYPE,PERIOD,RANGE
245,ABMAP17296,Pelvis,57.9,LAR,Bronze - Iron Age,-99 -- 99
324,ABMAP25995,Pelvis,58.3,LAR,Roman - Saxon,700 -- 732
328,ABMAP25996,Pelvis,60.6,LAR,Roman - Saxon,700 -- 732
593,ABMAP2972,Pelvis,55.4,LAR,Roman - Saxon,900 -- 999
975,ABMAP29180,Pelvis,56.7,LAR,Medieval,1100 -- 1250
976,ABMAP29181,Pelvis,58.9,LAR,Medieval,1100 -- 1250
986,ABMAP29448,Pelvis,58.4,LAR,Medieval,1100 -- 1250
1000,ABMAP29239,Pelvis,57.3,LAR,Medieval,1250 -- 1400
1045,ABMAP29296,Pelvis,53.9,LAR,Medieval,1250 -- 1400
1069,ABMAP29318,Pelvis,57.6,LAR,Medieval,1250 -- 1400
1079,ABMAP29333,Pelvis,56.2,LAR,Medieval,1100 -- 1250
1096,ABMAP29374,Pelvis,58.8,LAR,Medieval,1100 -- 1250
1117,ABMAP29407,Pelvis,55.8,LAR,Medieval,1450 -- 1800
1130,ABMAP29205,Pelvis,56.1,LAR,Medieval,1100 -- 1250
1136,ABMAP29487,Pelvis,60.7,LAR,Medieval,1100 -- 1250
1222,ABMAP28695,Pelvis,56.1,LAR,Medieval,1250 -- 1400
1263,ABMAP28830,Pelvis,55.6,LAR,Medieval,1300 -- 1450
1301,ABMAP28860,Pelvis,55.2,LAR,Medieval,1100 -- 1250
1314,ABMAP28879,Pelvis,54.1,LAR,Medieval,1250 -- 1400
1327,ABMAP28904,Pelvis,49.8,LAR,Medieval,1250 -- 1400
1332,ABMAP28935,Pelvis,63.0,LAR,Medieval,1100 -- 1250
1491,ABMAP16619,Pelvis,52.0,LAR,Medieval,1033 -- 1499
1705,ABMAP28123,Pelvis,55.4,LAR,Roman - Saxon,800 -- 1066
1768,ABMAP18526,Pelvis,57.4,LAR,Bronze - Iron Age,-1000 -- -400
1986,ABMAP9043,Pelvis,46.0,LAR,Bronze - Iron Age,-299 -- -100
2357,J_GRIMM_08WA64560-1024,Pelvis,62.8,LAR,Roman - Saxon,410 -- 1066
2362,J_GRIMM_08WA64560-817,Pelvis,63.4,LAR,Roman - Saxon,410 -- 1066
3072,ABMAP27257,Pelvis,57.6,LAR,Roman - Saxon,800 -- 999
