,BONEID,ELEMENT,MEASURE,MEASTYPE,PERIOD,RANGE
11,ABMAP2074,Radius,64.5,BFd,Roman - Saxon,43 -- 410
21,ABMAP11933,Radius,58.2,BFd,Roman - Saxon,43 -- 410
24,ABMAP11880,Radius,64.4,BFd,Roman - Saxon,43 -- 410
29,ABMAP11881,Radius,64.4,BFd,Roman - Saxon,43 -- 410
75,ABMAP5469,Radius,58.0,BFd,Medieval,1066 -- 1540
138,ABMAP3043,Radius,60.8,BFd,Roman - Saxon,900 -- 999
394,ABMAP26104,Radius,63.7,BFd,Roman - Saxon,733 -- 832
418,ABMAP26106,Radius,63.9,BFd,Roman - Saxon,733 -- 832
538,ABMAP26100,Radius,53.5,BFd,Roman - Saxon,733 -- 832
581,ABMAP13850,Radius,61.8,BFd,Medieval,1200 -- 1299
850,ABMAP582,Radius,55.9,BFd,Bronze - Iron Age,-100 -- -43
857,ABMAP583,Radius,61.8,BFd,Bronze - Iron Age,-100 -- -43
882,ABMAP545,Radius,54.7,BFd,Bronze - Iron Age,-100 -- -43
1482,ABMAP16617,Radius,49.5,BFd,Medieval,1367 -- 1499
1485,ABMAP16618,Radius,58.5,BFd,Medieval,1033 -- 1499
1615,ABMAP28407,Radius,55.4,BFd,Roman - Saxon,850 -- 899
1685,ABMAP1823,Radius,54.3,BFd,Roman - Saxon,43 -- 410
1748,ABMAP18520,Radius,55.6,BFd,Bronze - Iron Age,-1000 -- -400
1779,ABMAP26991,Radius,62.4,BFd,Roman - Saxon,900 -- 1099
1840,ABMAP877,Radius,65.3,BFd,Roman - Saxon,43 -- 410
1939,ABMAP1275,Radius,58.0,BFd,Roman - Saxon,43 -- 410
2074,J_GRIMM_08WA58571-68,Radius,48.4,BFd,Roman - Saxon,43 -- 410
2157,J_GRIMM_08WA59480-1343,Radius,54.2,BFd,Bronze - Iron Age,100 -- 150
2258,J_GRIMM_08WA61900-1,Radius,58.1,BFd,Medieval,1100 -- 1299
2277,J_GRIMM_08WA61900-583,Radius,64.3,BFd,Roman - Saxon,43 -- 410
2324,J_GRIMM_08WA63220-2568,Radius,60.2,BFd,Roman - Saxon,850 -- 1066
2338,J_GRIMM_08WA63220-3539,Radius,60.8,BFd,Roman - Saxon,850 -- 1066
2386,ABMAP13885,Radius,52.5,BFd,Medieval,1300 -- 1499
2462,ABMAP1451,Radius,64.0,BFd,Bronze - Iron Age,-100 -- -43
2485,ABMAP1460,Radius,61.1,BFd,Roman - Saxon,43 -- 199
2505,ABMAP16163,Radius,54.1,BFd,Bronze - Iron Age,-400 -- -100
2539,ABMAP15710,Radius,54.1,BFd,Bronze - Iron Age,-400 -- -100
2583,ABMAP15682,Radius,53.2,BFd,Bronze - Iron Age,-400 -- -100
2607,ABMAP15694,Radius,58.2,BFd,Bronze - Iron Age,-400 -- -100
2619,ABMAP16138,Radius,52.6,BFd,Roman - Saxon,43 -- 410
2621,ABMAP16141,Radius,62.1,BFd,Roman - Saxon,43 -- 410
2634,ABMAP16115,Radius,55.3,BFd,Bronze - Iron Age,-400 -- -100
2667,ABMAP15775,Radius,54.9,BFd,Bronze - Iron Age,-400 -- -100
2669,ABMAP16262,Radius,57.5,BFd,Bronze - Iron Age,-400 -- -100
2671,ABMAP15687,Radius,52.7,BFd,Bronze - Iron Age,-400 -- -100
2696,ABMAP16205,Radius,69.5,BFd,Roman - Saxon,43 -- 410
2705,ABMAP15818,Radius,67.1,BFd,Roman - Saxon,43 -- 410
2710,ABMAP15819,Radius,60.8,BFd,Roman - Saxon,43 -- 410
2793,ABMAP428,Radius,52.9,BFd,Bronze - Iron Age,-50 -- 75
2820,ABMAP435,Radius,50.5,BFd,Bronze - Iron Age,-50 -- 75
2824,ABMAP335,Radius,55.8,BFd,Bronze - Iron Age,-199 -- 0
2900,ABMAP14337,Radius,55.3,BFd,Roman - Saxon,43 -- 410
2912,ABMAP14280,Radius,61.0,BFd,Roman - Saxon,43 -- 410
2954,ABMAP14433,Radius,56.3,BFd,Roman - Saxon,43 -- 410
2957,ABMAP14434,Radius,56.5,BFd,Roman - Saxon,43 -- 410
2985,ABMAP14460,Radius,53.8,BFd,Roman - Saxon,43 -- 410
3020,ABMAP14449,Radius,57.2,BFd,Roman - Saxon,43 -- 410
3066,ABMAP10843,Radius,58.6,BFd,Roman - Saxon,200 -- 410
