,BONEID,ELEMENT,MEASURE,MEASTYPE,PERIOD,RANGE
12,ABMAP2074,Radius,75.8,BFp,Roman - Saxon,43 -- 410
76,ABMAP5469,Radius,68.0,BFp,Medieval,1066 -- 1540
108,ABMAP2132,Radius,64.6,BFp,Roman - Saxon,200 -- 399
119,ABMAP3080,Radius,65.9,BFp,Roman - Saxon,800 -- 999
311,ABMAP26101,Radius,69.3,BFp,Roman - Saxon,733 -- 832
396,ABMAP25540,Radius,67.1,BFp,Roman - Saxon,833 -- 932
406,ABMAP26500,Radius,67.1,BFp,Roman - Saxon,833 -- 932
416,ABMAP26502,Radius,68.4,BFp,Roman - Saxon,833 -- 932
427,ABMAP25541,Radius,72.5,BFp,Roman - Saxon,833 -- 932
479,ABMAP26501,Radius,72.5,BFp,Roman - Saxon,833 -- 932
795,ABMAP471,Radius,49.3,BFp,Bronze - Iron Age,-100 -- -43
805,ABMAP495,Radius,61.6,BFp,Bronze - Iron Age,-100 -- -43
814,ABMAP507,Radius,67.9,BFp,Bronze - Iron Age,-100 -- -43
851,ABMAP582,Radius,64.3,BFp,Bronze - Iron Age,-100 -- -43
858,ABMAP583,Radius,70.9,BFp,Bronze - Iron Age,-100 -- -43
883,ABMAP545,Radius,64.9,BFp,Bronze - Iron Age,-100 -- -43
1483,ABMAP16617,Radius,59.9,BFp,Medieval,1367 -- 1499
1486,ABMAP16618,Radius,67.2,BFp,Medieval,1033 -- 1499
1509,ABMAP9508,Radius,67.3,BFp,Roman - Saxon,333 -- 366
1553,ABMAP9536,Radius,70.4,BFp,Roman - Saxon,367 -- 399
1575,ABMAP9537,Radius,75.5,BFp,Roman - Saxon,300 -- 399
1631,ABMAP1865,Radius,66.9,BFp,Roman - Saxon,43 -- 410
1718,ABMAP18518,Radius,42.1,BFp,Bronze - Iron Age,-800 -- 43
1720,ABMAP18519,Radius,65.5,BFp,Bronze - Iron Age,-800 -- 43
1749,ABMAP18520,Radius,68.6,BFp,Bronze - Iron Age,-1000 -- -400
1858,ABMAP1097,Radius,75.1,BFp,Roman - Saxon,43 -- 410
1930,ABMAP1197,Radius,70.3,BFp,Roman - Saxon,43 -- 410
1952,ABMAP838,Radius,72.4,BFp,Roman - Saxon,43 -- 410
2075,J_GRIMM_08WA58571-68,Radius,58.5,BFp,Roman - Saxon,43 -- 410
2158,J_GRIMM_08WA59480-1343,Radius,67.8,BFp,Bronze - Iron Age,100 -- 150
2259,J_GRIMM_08WA61900-1,Radius,70.0,BFp,Medieval,1100 -- 1299
2272,J_GRIMM_08WA61900-668,Radius,70.4,BFp,Roman - Saxon,43 -- 410
2278,J_GRIMM_08WA61900-583,Radius,70.1,BFp,Roman - Saxon,43 -- 410
2283,J_GRIMM_08WA61900-364,Radius,62.1,BFp,Bronze - Iron Age,-700 -- 43
2327,J_GRIMM_08WA63220-2748,Radius,70.3,BFp,Roman - Saxon,850 -- 1066
2339,J_GRIMM_08WA63220-3539,Radius,71.0,BFp,Roman - Saxon,850 -- 1066
2387,ABMAP13885,Radius,66.0,BFp,Medieval,1300 -- 1499
2417,ABMAP13913,Radius,72.8,BFp,Medieval,1300 -- 1499
2540,ABMAP15710,Radius,61.9,BFp,Bronze - Iron Age,-400 -- -100
2584,ABMAP15682,Radius,63.3,BFp,Bronze - Iron Age,-400 -- -100
2608,ABMAP15694,Radius,67.0,BFp,Bronze - Iron Age,-400 -- -100
2635,ABMAP16115,Radius,63.6,BFp,Bronze - Iron Age,-400 -- -100
2672,ABMAP15687,Radius,61.9,BFp,Bronze - Iron Age,-400 -- -100
2706,ABMAP15818,Radius,79.2,BFp,Roman - Saxon,43 -- 410
2794,ABMAP428,Radius,61.9,BFp,Bronze - Iron Age,-50 -- 75
2825,ABMAP335,Radius,65.2,BFp,Bronze - Iron Age,-199 -- 0
2871,ABMAP9242,Radius,66.1,BFp,Bronze - Iron Age,0 -- 99
2901,ABMAP14337,Radius,64.8,BFp,Roman - Saxon,43 -- 410
2958,ABMAP14434,Radius,68.0,BFp,Roman - Saxon,43 -- 410
3067,ABMAP10843,Radius,68.8,BFp,Roman - Saxon,200 -- 410
