,BONEID,ELEMENT,MEASURE,MEASTYPE,PERIOD,RANGE
10,ABMAP2074,Radius,77.5,Bd,Roman - Saxon,43 -- 410
20,ABMAP11933,Radius,68.4,Bd,Roman - Saxon,43 -- 410
23,ABMAP11880,Radius,75.0,Bd,Roman - Saxon,43 -- 410
28,ABMAP11881,Radius,75.0,Bd,Roman - Saxon,43 -- 410
74,ABMAP5469,Radius,63.5,Bd,Medieval,1066 -- 1540
137,ABMAP3043,Radius,70.5,Bd,Roman - Saxon,900 -- 999
265,ABMAP8698,Radius,87.0,Bd,Roman - Saxon,310 -- 330
393,ABMAP26104,Radius,77.8,Bd,Roman - Saxon,733 -- 832
395,ABMAP25539,Radius,70.9,Bd,Roman - Saxon,833 -- 932
405,ABMAP26499,Radius,70.9,Bd,Roman - Saxon,833 -- 932
417,ABMAP26106,Radius,73.7,Bd,Roman - Saxon,733 -- 832
537,ABMAP26100,Radius,75.2,Bd,Roman - Saxon,733 -- 832
549,ABMAP26102,Radius,75.0,Bd,Roman - Saxon,733 -- 832
565,ABMAP5418,Radius,66.0,Bd,Bronze - Iron Age,-800 -- 43
580,ABMAP13850,Radius,73.4,Bd,Medieval,1200 -- 1299
794,ABMAP471,Radius,52.9,Bd,Bronze - Iron Age,-100 -- -43
804,ABMAP494,Radius,64.9,Bd,Bronze - Iron Age,-100 -- -43
813,ABMAP507,Radius,67.4,Bd,Bronze - Iron Age,-100 -- -43
849,ABMAP582,Radius,62.9,Bd,Bronze - Iron Age,-100 -- -43
856,ABMAP583,Radius,68.9,Bd,Bronze - Iron Age,-100 -- -43
881,ABMAP545,Radius,62.4,Bd,Bronze - Iron Age,-100 -- -43
972,ABMAP29092,Radius,73.2,Bd,Medieval,1100 -- 1250
987,ABMAP29217,Radius,64.9,Bd,Medieval,1100 -- 1250
992,ABMAP29235,Radius,69.6,Bd,Medieval,1300 -- 1450
1097,ABMAP29378,Radius,63.5,Bd,Medieval,1100 -- 1250
1186,ABMAP28596,Radius,69.8,Bd,Medieval,1100 -- 1250
1272,ABMAP28835,Radius,62.6,Bd,Medieval,1250 -- 1400
1302,ABMAP28861,Radius,66.0,Bd,Medieval,1100 -- 1250
1484,ABMAP16618,Radius,68.6,Bd,Medieval,1033 -- 1499
1508,ABMAP9508,Radius,72.4,Bd,Roman - Saxon,333 -- 366
1574,ABMAP9537,Radius,64.3,Bd,Roman - Saxon,300 -- 399
1579,ABMAP9538,Radius,66.6,Bd,Roman - Saxon,300 -- 399
1606,ABMAP3277,Radius,66.5,Bd,Roman - Saxon,400 -- 1066
1614,ABMAP28407,Radius,70.2,Bd,Roman - Saxon,850 -- 899
1684,ABMAP1823,Radius,64.5,Bd,Roman - Saxon,43 -- 410
1747,ABMAP18520,Radius,69.6,Bd,Bronze - Iron Age,-1000 -- -400
1778,ABMAP26991,Radius,73.9,Bd,Roman - Saxon,900 -- 1099
1938,ABMAP1275,Radius,63.2,Bd,Roman - Saxon,43 -- 410
1968,ABMAP3541,Radius,63.8,Bd,Roman - Saxon,200 -- 410
2004,ABMAP9066,Radius,71.0,Bd,Bronze - Iron Age,-299 -- -100
2073,J_GRIMM_08WA58571-68,Radius,58.7,Bd,Roman - Saxon,43 -- 410
2156,J_GRIMM_08WA59480-1343,Radius,69.0,Bd,Bronze - Iron Age,100 -- 150
2257,J_GRIMM_08WA61900-1,Radius,70.2,Bd,Medieval,1100 -- 1299
2276,J_GRIMM_08WA61900-583,Radius,68.5,Bd,Roman - Saxon,43 -- 410
2323,J_GRIMM_08WA63220-2568,Radius,71.8,Bd,Roman - Saxon,850 -- 1066
2337,J_GRIMM_08WA63220-3539,Radius,73.0,Bd,Roman - Saxon,850 -- 1066
2385,ABMAP13885,Radius,62.2,Bd,Medieval,1300 -- 1499
2416,ABMAP13913,Radius,71.0,Bd,Medieval,1300 -- 1499
2461,ABMAP1451,Radius,71.6,Bd,Bronze - Iron Age,-100 -- -43
2484,ABMAP1460,Radius,73.9,Bd,Roman - Saxon,43 -- 199
2504,ABMAP16163,Radius,61.2,Bd,Bronze - Iron Age,-400 -- -100
2538,ABMAP15710,Radius,64.0,Bd,Bronze - Iron Age,-400 -- -100
2582,ABMAP15682,Radius,65.3,Bd,Bronze - Iron Age,-400 -- -100
2606,ABMAP15694,Radius,67.7,Bd,Bronze - Iron Age,-400 -- -100
2620,ABMAP16141,Radius,72.8,Bd,Roman - Saxon,43 -- 410
2633,ABMAP16115,Radius,65.6,Bd,Bronze - Iron Age,-400 -- -100
2666,ABMAP15775,Radius,66.9,Bd,Bronze - Iron Age,-400 -- -100
2668,ABMAP16262,Radius,67.8,Bd,Bronze - Iron Age,-400 -- -100
2670,ABMAP15687,Radius,60.6,Bd,Bronze - Iron Age,-400 -- -100
2695,ABMAP16205,Radius,81.0,Bd,Roman - Saxon,43 -- 410
2709,ABMAP15819,Radius,71.5,Bd,Roman - Saxon,43 -- 410
2819,ABMAP435,Radius,62.6,Bd,Bronze - Iron Age,-50 -- 75
2899,ABMAP14337,Radius,64.5,Bd,Roman - Saxon,43 -- 410
2911,ABMAP14280,Radius,72.2,Bd,Roman - Saxon,43 -- 410
2953,ABMAP14433,Radius,63.9,Bd,Roman - Saxon,43 -- 410
2956,ABMAP14434,Radius,63.1,Bd,Roman - Saxon,43 -- 410
2984,ABMAP14460,Radius,61.7,Bd,Roman - Saxon,43 -- 410
3019,ABMAP14449,Radius,64.0,Bd,Roman - Saxon,43 -- 410
3065,ABMAP10843,Radius,71.4,Bd,Roman - Saxon,200 -- 410
