,BONEID,ELEMENT,MEASURE,MEASTYPE,PERIOD,RANGE
26,ABMAP11880,Radius,345.0,GL,Roman - Saxon,43 -- 410
31,ABMAP11881,Radius,345.0,GL,Roman - Saxon,43 -- 410
78,ABMAP5469,Radius,300.0,GL,Medieval,1066 -- 1540
429,ABMAP25541,Radius,330.0,GL,Roman - Saxon,833 -- 932
481,ABMAP26501,Radius,330.0,GL,Roman - Saxon,833 -- 932
550,ABMAP26102,Radius,248.0,GL,Roman - Saxon,733 -- 832
567,ABMAP5418,Radius,300.0,GL,Bronze - Iron Age,-800 -- 43
796,ABMAP471,Radius,210.5,GL,Bronze - Iron Age,-100 -- -43
802,ABMAP530,Radius,299.5,GL,Bronze - Iron Age,-100 -- -43
816,ABMAP507,Radius,319.0,GL,Bronze - Iron Age,-100 -- -43
853,ABMAP582,Radius,287.0,GL,Bronze - Iron Age,-100 -- -43
860,ABMAP583,Radius,304.0,GL,Bronze - Iron Age,-100 -- -43
885,ABMAP545,Radius,270.9,GL,Bronze - Iron Age,-100 -- -43
973,ABMAP29092,Radius,340.4,GL,Medieval,1100 -- 1250
988,ABMAP29217,Radius,309.6,GL,Medieval,1100 -- 1250
993,ABMAP29235,Radius,317.3,GL,Medieval,1300 -- 1450
1020,ABMAP29256,Radius,342.7,GL,Medieval,1450 -- 1800
1050,ABMAP29300,Radius,324.0,GL,Medieval,1250 -- 1400
1057,ABMAP28737,Radius,325.7,GL,Medieval,1250 -- 1400
1098,ABMAP29378,Radius,296.1,GL,Medieval,1100 -- 1250
1135,ABMAP29474,Radius,314.6,GL,Medieval,1100 -- 1250
1258,ABMAP28828,Radius,310.7,GL,Medieval,1300 -- 1450
1303,ABMAP28861,Radius,295.5,GL,Medieval,1100 -- 1250
1311,ABMAP28875,Radius,304.0,GL,Medieval,1300 -- 1450
1488,ABMAP16618,Radius,306.0,GL,Medieval,1033 -- 1499
1511,ABMAP9508,Radius,332.5,GL,Roman - Saxon,333 -- 366
1522,ABMAP9535,Radius,320.0,GL,Roman - Saxon,333 -- 399
1555,ABMAP9536,Radius,316.0,GL,Roman - Saxon,367 -- 399
1577,ABMAP9537,Radius,439.0,GL,Roman - Saxon,300 -- 399
1580,ABMAP9538,Radius,360.0,GL,Roman - Saxon,300 -- 399
1751,ABMAP18520,Radius,323.0,GL,Bronze - Iron Age,-1000 -- -400
1780,ABMAP26991,Radius,333.0,GL,Roman - Saxon,900 -- 1099
1841,ABMAP877,Radius,342.0,GL,Roman - Saxon,43 -- 410
1962,ABMAP3542,Radius,309.0,GL,Roman - Saxon,200 -- 410
1966,ABMAP3543,Radius,298.0,GL,Roman - Saxon,200 -- 410
1970,ABMAP3541,Radius,307.0,GL,Roman - Saxon,200 -- 410
2077,J_GRIMM_08WA58571-68,Radius,327.0,GL,Roman - Saxon,43 -- 410
2160,J_GRIMM_08WA59480-1343,Radius,297.0,GL,Bronze - Iron Age,100 -- 150
2261,J_GRIMM_08WA61900-1,Radius,320.0,GL,Medieval,1100 -- 1299
2281,J_GRIMM_08WA61900-583,Radius,330.0,GL,Roman - Saxon,43 -- 410
2342,J_GRIMM_08WA63220-3539,Radius,316.0,GL,Roman - Saxon,850 -- 1066
2354,J_GRIMM_08WA64560-103,Radius,312.0,GL,Roman - Saxon,410 -- 650
2389,ABMAP13885,Radius,300.0,GL,Medieval,1300 -- 1499
2419,ABMAP13913,Radius,308.0,GL,Medieval,1300 -- 1499
2542,ABMAP15710,Radius,266.1,GL,Bronze - Iron Age,-400 -- -100
2610,ABMAP15694,Radius,295.6,GL,Bronze - Iron Age,-400 -- -100
2637,ABMAP16115,Radius,281.8,GL,Bronze - Iron Age,-400 -- -100
2674,ABMAP15687,Radius,278.9,GL,Bronze - Iron Age,-400 -- -100
2707,ABMAP15818,Radius,346.1,GL,Roman - Saxon,43 -- 410
2756,ABMAP8660,Radius,294.0,GL,Roman - Saxon,43 -- 100
2796,ABMAP428,Radius,317.0,GL,Bronze - Iron Age,-50 -- 75
2821,ABMAP435,Radius,290.0,GL,Bronze - Iron Age,-50 -- 75
2827,ABMAP335,Radius,307.0,GL,Bronze - Iron Age,-199 -- 0
2903,ABMAP14337,Radius,307.6,GL,Roman - Saxon,43 -- 410
2960,ABMAP14434,Radius,278.0,GL,Roman - Saxon,43 -- 410
3069,ABMAP10843,Radius,315.0,GL,Roman - Saxon,200 -- 410
