,BONEID,ELEMENT,MEASURE,MEASTYPE,PERIOD,RANGE
14,ABMAP2074,Radius,315.0,Ll,Roman - Saxon,43 -- 410
79,ABMAP5469,Radius,290.0,Ll,Medieval,1066 -- 1540
797,ABMAP471,Radius,201.4,Ll,Bronze - Iron Age,-100 -- -43
817,ABMAP507,Radius,299.5,Ll,Bronze - Iron Age,-100 -- -43
854,ABMAP582,Radius,276.0,Ll,Bronze - Iron Age,-100 -- -43
861,ABMAP583,Radius,297.0,Ll,Bronze - Iron Age,-100 -- -43
886,ABMAP545,Radius,266.7,Ll,Bronze - Iron Age,-100 -- -43
1489,ABMAP16618,Radius,292.0,Ll,Medieval,1033 -- 1499
1607,ABMAP3277,Radius,282.0,Ll,Roman - Saxon,400 -- 1066
1752,ABMAP18520,Radius,311.0,Ll,Bronze - Iron Age,-1000 -- -400
1963,ABMAP3542,Radius,297.0,Ll,Roman - Saxon,200 -- 410
1967,ABMAP3543,Radius,293.0,Ll,Roman - Saxon,200 -- 410
1971,ABMAP3541,Radius,297.0,Ll,Roman - Saxon,200 -- 410
2390,ABMAP13885,Radius,290.7,Ll,Medieval,1300 -- 1499
2543,ABMAP15710,Radius,253.1,Ll,Bronze - Iron Age,-400 -- -100
2586,ABMAP15682,Radius,282.5,Ll,Bronze - Iron Age,-400 -- -100
2611,ABMAP15694,Radius,276.5,Ll,Bronze - Iron Age,-400 -- -100
2638,ABMAP16115,Radius,274.3,Ll,Bronze - Iron Age,-400 -- -100
2708,ABMAP15818,Radius,335.0,Ll,Roman - Saxon,43 -- 410
2715,ABMAP16078,Radius,335.0,Ll,Roman - Saxon,43 -- 410
2828,ABMAP335,Radius,296.0,Ll,Bronze - Iron Age,-199 -- 0
2904,ABMAP14337,Radius,256.4,Ll,Roman - Saxon,43 -- 410
