,BONEID,ELEMENT,MEASURE,MEASTYPE,PERIOD,RANGE
15,ABMAP2074,Radius,39.1,SD,Roman - Saxon,43 -- 410
27,ABMAP11880,Radius,38.5,SD,Roman - Saxon,43 -- 410
32,ABMAP11881,Radius,38.5,SD,Roman - Saxon,43 -- 410
80,ABMAP5469,Radius,34.2,SD,Medieval,1066 -- 1540
121,ABMAP3080,Radius,33.5,SD,Roman - Saxon,800 -- 999
430,ABMAP25541,Radius,37.5,SD,Roman - Saxon,833 -- 932
482,ABMAP26501,Radius,37.5,SD,Roman - Saxon,833 -- 932
551,ABMAP26102,Radius,36.0,SD,Roman - Saxon,733 -- 832
798,ABMAP471,Radius,29.6,SD,Bronze - Iron Age,-100 -- -43
803,ABMAP530,Radius,31.9,SD,Bronze - Iron Age,-100 -- -43
818,ABMAP507,Radius,32.1,SD,Bronze - Iron Age,-100 -- -43
855,ABMAP582,Radius,32.2,SD,Bronze - Iron Age,-100 -- -43
862,ABMAP583,Radius,35.0,SD,Bronze - Iron Age,-100 -- -43
887,ABMAP545,Radius,31.9,SD,Bronze - Iron Age,-100 -- -43
1490,ABMAP16618,Radius,34.2,SD,Medieval,1033 -- 1499
1512,ABMAP9508,Radius,57.8,SD,Roman - Saxon,333 -- 366
1523,ABMAP9535,Radius,59.0,SD,Roman - Saxon,333 -- 399
1578,ABMAP9537,Radius,37.8,SD,Roman - Saxon,300 -- 399
1719,ABMAP18518,Radius,34.5,SD,Bronze - Iron Age,-800 -- 43
1722,ABMAP18519,Radius,32.0,SD,Bronze - Iron Age,-800 -- 43
1753,ABMAP18520,Radius,35.3,SD,Bronze - Iron Age,-1000 -- -400
1842,ABMAP877,Radius,34.3,SD,Roman - Saxon,43 -- 410
1964,ABMAP3542,Radius,32.0,SD,Roman - Saxon,200 -- 410
1972,ABMAP3541,Radius,32.5,SD,Roman - Saxon,200 -- 410
1974,ABMAP35,Radius,42.0,SD,Medieval,1000 -- 1199
2078,J_GRIMM_08WA58571-68,Radius,31.3,SD,Roman - Saxon,43 -- 410
2110,J_GRIMM_08WA58720-30,Radius,38.2,SD,Medieval,1075 -- 1125
2161,J_GRIMM_08WA59480-1343,Radius,33.1,SD,Bronze - Iron Age,100 -- 150
2262,J_GRIMM_08WA61900-1,Radius,35.2,SD,Medieval,1100 -- 1299
2275,J_GRIMM_08WA61900-668,Radius,33.7,SD,Roman - Saxon,43 -- 410
2282,J_GRIMM_08WA61900-583,Radius,36.4,SD,Roman - Saxon,43 -- 410
2326,J_GRIMM_08WA63220-2568,Radius,38.0,SD,Roman - Saxon,850 -- 1066
2343,J_GRIMM_08WA63220-3539,Radius,36.7,SD,Roman - Saxon,850 -- 1066
2355,J_GRIMM_08WA64560-103,Radius,37.3,SD,Roman - Saxon,410 -- 650
2391,ABMAP13885,Radius,30.3,SD,Medieval,1300 -- 1499
2420,ABMAP13913,Radius,33.2,SD,Medieval,1300 -- 1499
2544,ABMAP15710,Radius,32.9,SD,Bronze - Iron Age,-400 -- -100
2587,ABMAP15682,Radius,31.6,SD,Bronze - Iron Age,-400 -- -100
2612,ABMAP15694,Radius,35.9,SD,Bronze - Iron Age,-400 -- -100
2639,ABMAP16115,Radius,29.9,SD,Bronze - Iron Age,-400 -- -100
2797,ABMAP428,Radius,31.1,SD,Bronze - Iron Age,-50 -- 75
2822,ABMAP435,Radius,30.7,SD,Bronze - Iron Age,-50 -- 75
2829,ABMAP335,Radius,33.2,SD,Bronze - Iron Age,-199 -- 0
2905,ABMAP14337,Radius,32.8,SD,Roman - Saxon,43 -- 410
2913,ABMAP14280,Radius,39.5,SD,Roman - Saxon,43 -- 410
2955,ABMAP14433,Radius,29.2,SD,Roman - Saxon,43 -- 410
2961,ABMAP14434,Radius,29.0,SD,Roman - Saxon,43 -- 410
3021,ABMAP14449,Radius,35.3,SD,Roman - Saxon,43 -- 410
3070,ABMAP10843,Radius,33.3,SD,Roman - Saxon,200 -- 410
