,BONEID,ELEMENT,MEASURE,MEASTYPE,PERIOD,RANGE
88,ABMAP15381,Scapula,41.7,BG,Roman - Saxon,43 -- 410
122,ABMAP3086,Scapula,42.0,BG,Roman - Saxon,800 -- 999
173,ABMAP58,Scapula,46.0,BG,Roman - Saxon,775 -- 800
202,ABMAP57,Scapula,46.1,BG,Roman - Saxon,775 -- 800
228,ABMAP17096,Scapula,44.6,BG,Bronze - Iron Age,-99 -- 99
582,ABMAP2962,Scapula,44.5,BG,Roman - Saxon,900 -- 999
666,ABMAP2963,Scapula,46.3,BG,Roman - Saxon,900 -- 999
767,ABMAP475,Scapula,47.3,BG,Bronze - Iron Age,-100 -- -43
819,ABMAP521,Scapula,43.8,BG,Bronze - Iron Age,-100 -- -43
898,ABMAP21043,Scapula,49.4,BG,Medieval,1066 -- 1540
1355,ABMAP18119,Scapula,53.5,BG,Medieval,1600 -- 1799
1386,ABMAP16613,Scapula,39.1,BG,Medieval,1033 -- 1199
1391,ABMAP16614,Scapula,44.7,BG,Medieval,1167 -- 1399
1474,ABMAP16610,Scapula,40.3,BG,Medieval,1167 -- 1399
1493,ABMAP16611,Scapula,41.5,BG,Medieval,1167 -- 1399
1609,ABMAP3274,Scapula,47.7,BG,Roman - Saxon,400 -- 1066
1650,ABMAP1926,Scapula,43.3,BG,Roman - Saxon,43 -- 410
1686,ABMAP13142,Scapula,47.8,BG,Roman - Saxon,650 -- 850
1700,ABMAP28118,Scapula,41.3,BG,Roman - Saxon,800 -- 1066
1709,ABMAP28085,Scapula,41.6,BG,Roman - Saxon,800 -- 1066
1740,ABMAP18516,Scapula,36.3,BG,Bronze - Iron Age,-1000 -- -400
1803,ABMAP27806,Scapula,47.7,BG,Roman - Saxon,950 -- 980
1880,ABMAP1144,Scapula,48.5,BG,Roman - Saxon,43 -- 410
1884,ABMAP1161,Scapula,41.4,BG,Roman - Saxon,43 -- 410
1888,ABMAP1162,Scapula,48.5,BG,Roman - Saxon,43 -- 410
1892,ABMAP1163,Scapula,38.3,BG,Roman - Saxon,43 -- 410
1896,ABMAP1332,Scapula,44.2,BG,Roman - Saxon,43 -- 410
1902,ABMAP737,Scapula,48.2,BG,Roman - Saxon,43 -- 410
1951,ABMAP1064,Scapula,43.2,BG,Roman - Saxon,43 -- 410
1997,ABMAP8944,Scapula,38.5,BG,Bronze - Iron Age,-299 -- -100
2005,ABMAP8977,Scapula,43.0,BG,Bronze - Iron Age,-299 -- -100
2113,J_GRIMM_08WA58720-32,Scapula,44.0,BG,Medieval,1075 -- 1125
2143,J_GRIMM_08WA59480-214,Scapula,40.0,BG,Roman - Saxon,43 -- 410
2352,J_GRIMM_08WA63661-186,Scapula,35.6,BG,Bronze - Iron Age,-700 -- -100
2438,ABMAP14061,Scapula,53.4,BG,Medieval,1300 -- 1499
2451,ABMAP14076,Scapula,47.8,BG,Medieval,1300 -- 1499
2455,ABMAP14082,Scapula,43.7,BG,Medieval,1300 -- 1499
2528,ABMAP15708,Scapula,37.4,BG,Bronze - Iron Age,-400 -- -100
2600,ABMAP16097,Scapula,40.0,BG,Bronze - Iron Age,-400 -- -100
2642,ABMAP15785,Scapula,40.9,BG,Bronze - Iron Age,-400 -- -100
2646,ABMAP15786,Scapula,41.7,BG,Bronze - Iron Age,-400 -- -100
2675,ABMAP16233,Scapula,45.5,BG,Bronze - Iron Age,-400 -- -100
2686,ABMAP16226,Scapula,40.0,BG,Bronze - Iron Age,-400 -- -100
2725,ABMAP16114,Scapula,45.2,BG,Bronze - Iron Age,-400 -- -100
2751,ABMAP16161,Scapula,43.5,BG,Bronze - Iron Age,-400 -- -100
2779,ABMAP334,Scapula,39.3,BG,Bronze - Iron Age,-199 -- 0
3005,ABMAP14381,Scapula,40.2,BG,Roman - Saxon,43 -- 410
