,BONEID,ELEMENT,MEASURE,MEASTYPE,PERIOD,RANGE
55,ABMAP14549,Scapula,87.0,GLP,Medieval,1600 -- 1650
123,ABMAP3086,Scapula,88.8,GLP,Roman - Saxon,800 -- 999
229,ABMAP17096,Scapula,80.8,GLP,Bronze - Iron Age,-99 -- 99
583,ABMAP2962,Scapula,85.3,GLP,Roman - Saxon,900 -- 999
667,ABMAP2963,Scapula,89.6,GLP,Roman - Saxon,900 -- 999
768,ABMAP475,Scapula,84.6,GLP,Bronze - Iron Age,-100 -- -43
820,ABMAP521,Scapula,83.0,GLP,Bronze - Iron Age,-100 -- -43
899,ABMAP21043,Scapula,94.3,GLP,Medieval,1066 -- 1540
1356,ABMAP18119,Scapula,104.5,GLP,Medieval,1600 -- 1799
1387,ABMAP16613,Scapula,83.2,GLP,Medieval,1033 -- 1199
1475,ABMAP16610,Scapula,82.0,GLP,Medieval,1167 -- 1399
1610,ABMAP3274,Scapula,93.8,GLP,Roman - Saxon,400 -- 1066
1651,ABMAP1926,Scapula,86.6,GLP,Roman - Saxon,43 -- 410
1687,ABMAP13142,Scapula,94.0,GLP,Roman - Saxon,650 -- 850
1701,ABMAP28118,Scapula,85.3,GLP,Roman - Saxon,800 -- 1066
1710,ABMAP28085,Scapula,85.7,GLP,Roman - Saxon,800 -- 1066
1741,ABMAP18516,Scapula,72.6,GLP,Bronze - Iron Age,-1000 -- -400
1804,ABMAP27806,Scapula,86.8,GLP,Roman - Saxon,950 -- 980
1859,ABMAP1359,Scapula,92.2,GLP,Roman - Saxon,43 -- 410
1881,ABMAP1144,Scapula,93.4,GLP,Roman - Saxon,43 -- 410
1885,ABMAP1161,Scapula,81.3,GLP,Roman - Saxon,43 -- 410
1889,ABMAP1162,Scapula,88.7,GLP,Roman - Saxon,43 -- 410
1893,ABMAP1163,Scapula,72.2,GLP,Roman - Saxon,43 -- 410
1998,ABMAP8944,Scapula,77.0,GLP,Bronze - Iron Age,-299 -- -100
2006,ABMAP8977,Scapula,78.5,GLP,Bronze - Iron Age,-299 -- -100
2064,J_GRIMM_08WA57960-216,Scapula,84.5,GLP,Medieval,1050 -- 1225
2114,J_GRIMM_08WA58720-32,Scapula,89.6,GLP,Medieval,1075 -- 1125
2144,J_GRIMM_08WA59480-214,Scapula,74.7,GLP,Roman - Saxon,43 -- 410
2165,J_GRIMM_08WA59480-1250,Scapula,76.6,GLP,Bronze - Iron Age,-100 -- 43
2235,J_GRIMM_08WA59480-1138,Scapula,92.1,GLP,Bronze - Iron Age,100 -- 150
2439,ABMAP14061,Scapula,103.6,GLP,Medieval,1300 -- 1499
2452,ABMAP14076,Scapula,96.0,GLP,Medieval,1300 -- 1499
2456,ABMAP14082,Scapula,89.7,GLP,Medieval,1300 -- 1499
2490,ABMAP10071,Scapula,87.6,GLP,Roman - Saxon,650 -- 950
2529,ABMAP15708,Scapula,74.0,GLP,Bronze - Iron Age,-400 -- -100
2643,ABMAP15785,Scapula,82.6,GLP,Bronze - Iron Age,-400 -- -100
2676,ABMAP16233,Scapula,85.3,GLP,Bronze - Iron Age,-400 -- -100
2726,ABMAP16114,Scapula,88.3,GLP,Bronze - Iron Age,-400 -- -100
2780,ABMAP334,Scapula,72.4,GLP,Bronze - Iron Age,-199 -- 0
3006,ABMAP14381,Scapula,77.0,GLP,Roman - Saxon,43 -- 410
3045,ABMAP10859,Scapula,85.7,GLP,Roman - Saxon,43 -- 410
3049,ABMAP10839,Scapula,84.0,GLP,Roman - Saxon,200 -- 410
