,BONEID,ELEMENT,MEASURE,MEASTYPE,PERIOD,RANGE
56,ABMAP14549,Scapula,54.5,LG,Medieval,1600 -- 1650
89,ABMAP15381,Scapula,50.0,LG,Roman - Saxon,43 -- 410
124,ABMAP3086,Scapula,52.7,LG,Roman - Saxon,800 -- 999
174,ABMAP58,Scapula,56.0,LG,Roman - Saxon,775 -- 800
230,ABMAP17096,Scapula,51.3,LG,Bronze - Iron Age,-99 -- 99
584,ABMAP2962,Scapula,55.3,LG,Roman - Saxon,900 -- 999
668,ABMAP2963,Scapula,56.9,LG,Roman - Saxon,900 -- 999
769,ABMAP475,Scapula,55.1,LG,Bronze - Iron Age,-100 -- -43
821,ABMAP521,Scapula,52.5,LG,Bronze - Iron Age,-100 -- -43
900,ABMAP21043,Scapula,49.9,LG,Medieval,1066 -- 1540
1357,ABMAP18119,Scapula,63.6,LG,Medieval,1600 -- 1799
1392,ABMAP16614,Scapula,53.3,LG,Medieval,1167 -- 1399
1611,ABMAP3274,Scapula,57.4,LG,Roman - Saxon,400 -- 1066
1652,ABMAP1926,Scapula,59.6,LG,Roman - Saxon,43 -- 410
1688,ABMAP13142,Scapula,57.1,LG,Roman - Saxon,650 -- 850
1702,ABMAP28118,Scapula,49.7,LG,Roman - Saxon,800 -- 1066
1711,ABMAP28085,Scapula,49.5,LG,Roman - Saxon,800 -- 1066
1742,ABMAP18516,Scapula,46.1,LG,Bronze - Iron Age,-1000 -- -400
1805,ABMAP27806,Scapula,51.6,LG,Roman - Saxon,950 -- 980
1853,ABMAP1014,Scapula,51.3,LG,Roman - Saxon,43 -- 410
1860,ABMAP1359,Scapula,58.8,LG,Roman - Saxon,43 -- 410
1882,ABMAP1144,Scapula,59.4,LG,Roman - Saxon,43 -- 410
1886,ABMAP1161,Scapula,52.5,LG,Roman - Saxon,43 -- 410
1890,ABMAP1162,Scapula,57.2,LG,Roman - Saxon,43 -- 410
1894,ABMAP1163,Scapula,46.6,LG,Roman - Saxon,43 -- 410
1996,ABMAP8943,Scapula,46.5,LG,Bronze - Iron Age,-299 -- -100
1999,ABMAP8944,Scapula,46.5,LG,Bronze - Iron Age,-299 -- -100
2007,ABMAP8977,Scapula,47.5,LG,Bronze - Iron Age,-299 -- -100
2115,J_GRIMM_08WA58720-32,Scapula,56.9,LG,Medieval,1075 -- 1125
2145,J_GRIMM_08WA59480-214,Scapula,49.5,LG,Roman - Saxon,43 -- 410
2166,J_GRIMM_08WA59480-1250,Scapula,47.3,LG,Bronze - Iron Age,-100 -- 43
2353,J_GRIMM_08WA63661-186,Scapula,47.3,LG,Bronze - Iron Age,-700 -- -100
2440,ABMAP14061,Scapula,63.4,LG,Medieval,1300 -- 1499
2453,ABMAP14076,Scapula,60.5,LG,Medieval,1300 -- 1499
2457,ABMAP14082,Scapula,53.7,LG,Medieval,1300 -- 1499
2491,ABMAP10071,Scapula,57.3,LG,Roman - Saxon,650 -- 950
2530,ABMAP15708,Scapula,46.1,LG,Bronze - Iron Age,-400 -- -100
2601,ABMAP16097,Scapula,48.0,LG,Bronze - Iron Age,-400 -- -100
2644,ABMAP15785,Scapula,50.1,LG,Bronze - Iron Age,-400 -- -100
2647,ABMAP15786,Scapula,51.9,LG,Bronze - Iron Age,-400 -- -100
2677,ABMAP16233,Scapula,53.3,LG,Bronze - Iron Age,-400 -- -100
2687,ABMAP16226,Scapula,51.5,LG,Bronze - Iron Age,-400 -- -100
2727,ABMAP16114,Scapula,54.3,LG,Bronze - Iron Age,-400 -- -100
2781,ABMAP334,Scapula,45.4,LG,Bronze - Iron Age,-199 -- 0
2986,ABMAP14458,Scapula,54.0,LG,Roman - Saxon,43 -- 410
3007,ABMAP14381,Scapula,46.5,LG,Roman - Saxon,43 -- 410
