,BONEID,ELEMENT,MEASURE,MEASTYPE,PERIOD,RANGE
90,ABMAP15381,Scapula,51.8,SLC,Roman - Saxon,43 -- 410
153,ABMAP60,Scapula,50.0,SLC,Roman - Saxon,775 -- 800
175,ABMAP58,Scapula,71.0,SLC,Roman - Saxon,775 -- 800
176,ABMAP59,Scapula,71.3,SLC,Roman - Saxon,775 -- 800
225,ABMAP17110,Scapula,54.3,SLC,Bronze - Iron Age,-99 -- 99
231,ABMAP17096,Scapula,60.3,SLC,Bronze - Iron Age,-99 -- 99
585,ABMAP2962,Scapula,60.5,SLC,Roman - Saxon,900 -- 999
669,ABMAP2963,Scapula,63.2,SLC,Roman - Saxon,900 -- 999
770,ABMAP475,Scapula,66.6,SLC,Bronze - Iron Age,-100 -- -43
822,ABMAP521,Scapula,66.5,SLC,Bronze - Iron Age,-100 -- -43
868,ABMAP537,Scapula,61.2,SLC,Bronze - Iron Age,-100 -- -43
901,ABMAP21043,Scapula,72.5,SLC,Medieval,1066 -- 1540
930,ABMAP29016,Scapula,53.3,SLC,Medieval,1250 -- 1400
977,ABMAP29189,Scapula,60.9,SLC,Medieval,1100 -- 1250
1024,ABMAP29261,Scapula,50.0,SLC,Medieval,1300 -- 1450
1037,ABMAP29278,Scapula,47.9,SLC,Medieval,1300 -- 1450
1049,ABMAP29299,Scapula,44.5,SLC,Medieval,1250 -- 1400
1070,ABMAP29319,Scapula,60.1,SLC,Medieval,1250 -- 1400
1116,ABMAP29406,Scapula,52.0,SLC,Medieval,1450 -- 1800
1123,ABMAP29427,Scapula,61.2,SLC,Medieval,1100 -- 1250
1148,ABMAP29520,Scapula,54.0,SLC,Roman - Saxon,950 -- 1100
1181,ABMAP28797,Scapula,48.9,SLC,Medieval,1250 -- 1400
1194,ABMAP28675,Scapula,55.5,SLC,Medieval,1300 -- 1450
1218,ABMAP28761,Scapula,60.1,SLC,Medieval,1250 -- 1400
1318,ABMAP28884,Scapula,55.8,SLC,Medieval,1250 -- 1400
1358,ABMAP18119,Scapula,71.5,SLC,Medieval,1600 -- 1799
1382,ABMAP16612,Scapula,53.0,SLC,Medieval,1367 -- 1499
1388,ABMAP16613,Scapula,55.5,SLC,Medieval,1033 -- 1199
1473,ABMAP16615,Scapula,47.1,SLC,Medieval,1167 -- 1399
1476,ABMAP16610,Scapula,55.3,SLC,Medieval,1167 -- 1399
1494,ABMAP16611,Scapula,56.5,SLC,Medieval,1167 -- 1399
1612,ABMAP3274,Scapula,68.5,SLC,Roman - Saxon,400 -- 1066
1653,ABMAP1926,Scapula,59.8,SLC,Roman - Saxon,43 -- 410
1703,ABMAP28118,Scapula,56.9,SLC,Roman - Saxon,800 -- 1066
1707,ABMAP28030,Scapula,46.1,SLC,Roman - Saxon,800 -- 1066
1712,ABMAP28085,Scapula,59.7,SLC,Roman - Saxon,800 -- 1066
1743,ABMAP18516,Scapula,52.2,SLC,Bronze - Iron Age,-1000 -- -400
1806,ABMAP27806,Scapula,55.7,SLC,Roman - Saxon,950 -- 980
1812,ABMAP27508,Scapula,62.4,SLC,Roman - Saxon,950 -- 980
1861,ABMAP1359,Scapula,60.7,SLC,Roman - Saxon,43 -- 410
1883,ABMAP1144,Scapula,62.6,SLC,Roman - Saxon,43 -- 410
1887,ABMAP1161,Scapula,53.9,SLC,Roman - Saxon,43 -- 410
1891,ABMAP1162,Scapula,66.5,SLC,Roman - Saxon,43 -- 410
1895,ABMAP1163,Scapula,51.8,SLC,Roman - Saxon,43 -- 410
2031,J_GRIMM_08WA56530-973,Scapula,63.1,SLC,Roman - Saxon,300 -- 400
2065,J_GRIMM_08WA57960-216,Scapula,58.3,SLC,Medieval,1050 -- 1225
2116,J_GRIMM_08WA58720-32,Scapula,63.6,SLC,Medieval,1075 -- 1125
2131,J_GRIMM_08WA58720-33,Scapula,61.2,SLC,Medieval,1300 -- 1400
2132,J_GRIMM_08WA58720-34,Scapula,53.7,SLC,Medieval,1300 -- 1400
2167,J_GRIMM_08WA59480-1250,Scapula,52.7,SLC,Bronze - Iron Age,-100 -- 43
2236,J_GRIMM_08WA59480-1138,Scapula,66.8,SLC,Bronze - Iron Age,100 -- 150
2437,ABMAP14060,Scapula,52.9,SLC,Medieval,1300 -- 1499
2441,ABMAP14061,Scapula,66.0,SLC,Medieval,1300 -- 1499
2454,ABMAP14076,Scapula,70.2,SLC,Medieval,1300 -- 1499
2458,ABMAP14082,Scapula,57.0,SLC,Medieval,1300 -- 1499
2492,ABMAP10071,Scapula,65.4,SLC,Roman - Saxon,650 -- 950
2531,ABMAP15708,Scapula,51.8,SLC,Bronze - Iron Age,-400 -- -100
2645,ABMAP15785,Scapula,56.4,SLC,Bronze - Iron Age,-400 -- -100
2648,ABMAP15786,Scapula,56.4,SLC,Bronze - Iron Age,-400 -- -100
2678,ABMAP16233,Scapula,63.0,SLC,Bronze - Iron Age,-400 -- -100
2782,ABMAP334,Scapula,51.3,SLC,Bronze - Iron Age,-199 -- 0
2987,ABMAP14458,Scapula,53.0,SLC,Roman - Saxon,43 -- 410
3046,ABMAP10859,Scapula,55.0,SLC,Roman - Saxon,43 -- 410
