,BONEID,ELEMENT,MEASURE,MEASTYPE,PERIOD,RANGE
3,ABMAP8672,Tibia,77.2,Bd,Medieval,1540 -- 1699
45,ABMAP11928,Tibia,68.8,Bd,Roman - Saxon,43 -- 410
50,ABMAP11929,Tibia,68.8,Bd,Roman - Saxon,43 -- 410
58,ABMAP16907,Tibia,70.1,Bd,Roman - Saxon,700 -- 899
67,ABMAP5453,Tibia,56.0,Bd,Bronze - Iron Age,-299 -- 42
69,ABMAP5454,Tibia,61.5,Bd,Bronze - Iron Age,-299 -- 42
99,ABMAP15413,Tibia,65.5,Bd,Roman - Saxon,43 -- 410
146,ABMAP3117,Tibia,70.8,Bd,Roman - Saxon,43 -- 410
154,ABMAP69,Tibia,74.0,Bd,Roman - Saxon,775 -- 800
161,ABMAP70,Tibia,74.7,Bd,Roman - Saxon,775 -- 800
204,ABMAP71,Tibia,69.5,Bd,Roman - Saxon,775 -- 800
226,ABMAP17083,Tibia,60.5,Bd,Bronze - Iron Age,-99 -- 99
232,ABMAP17122,Tibia,64.9,Bd,Bronze - Iron Age,-99 -- 99
349,ABMAP26117,Tibia,69.7,Bd,Roman - Saxon,733 -- 832
372,ABMAP26118,Tibia,75.0,Bd,Roman - Saxon,733 -- 832
452,ABMAP25549,Tibia,69.3,Bd,Roman - Saxon,833 -- 932
504,ABMAP26511,Tibia,69.3,Bd,Roman - Saxon,833 -- 932
559,ABMAP25998,Tibia,69.2,Bd,Roman - Saxon,700 -- 732
576,ABMAP13842,Tibia,72.3,Bd,Roman - Saxon,43 -- 199
596,ABMAP2976,Tibia,65.8,Bd,Roman - Saxon,900 -- 999
602,ABMAP2977,Tibia,67.0,Bd,Roman - Saxon,900 -- 999
638,ABMAP2978,Tibia,66.8,Bd,Medieval,1200 -- 1399
644,ABMAP2979,Tibia,67.0,Bd,Medieval,1200 -- 1399
703,ABMAP16579,Tibia,62.9,Bd,Medieval,1139 -- 1200
709,ABMAP16374,Tibia,69.7,Bd,Roman - Saxon,600 -- 1099
735,ABMAP20057,Tibia,86.0,Bd,Medieval,1700 -- 1799
739,ABMAP20058,Tibia,73.0,Bd,Medieval,1700 -- 1799
761,ABMAP20056,Tibia,73.3,Bd,Medieval,1700 -- 1899
771,ABMAP476,Tibia,62.3,Bd,Bronze - Iron Age,-100 -- -43
799,ABMAP529,Tibia,69.3,Bd,Bronze - Iron Age,-100 -- -43
840,ABMAP578,Tibia,64.9,Bd,Bronze - Iron Age,-100 -- -43
906,ABMAP28956,Tibia,60.7,Bd,Medieval,1250 -- 1400
907,ABMAP28603,Tibia,66.4,Bd,Medieval,1450 -- 1800
952,ABMAP29057,Tibia,66.2,Bd,Medieval,1250 -- 1400
974,ABMAP29109,Tibia,60.8,Bd,Medieval,1100 -- 1250
985,ABMAP29210,Tibia,66.2,Bd,Medieval,1100 -- 1250
1021,ABMAP29257,Tibia,62.0,Bd,Medieval,1300 -- 1450
1025,ABMAP29262,Tibia,66.2,Bd,Medieval,1300 -- 1450
1029,ABMAP29269,Tibia,70.7,Bd,Medieval,1450 -- 1800
1102,ABMAP29386,Tibia,74.1,Bd,Medieval,1100 -- 1250
1137,ABMAP29502,Tibia,63.2,Bd,Medieval,1100 -- 1250
1139,ABMAP28745,Tibia,71.4,Bd,Medieval,1250 -- 1400
1160,ABMAP29432,Tibia,63.0,Bd,Roman - Saxon,950 -- 1100
1180,ABMAP28779,Tibia,67.4,Bd,Medieval,1250 -- 1400
1203,ABMAP28724,Tibia,61.0,Bd,Medieval,1300 -- 1450
